stock,OPEN,average,Weighted Ave,Ind average,Self,Ind Self,ranked average,ranked Ind average,ranked 2 weeks,1 week,2 weeks,4 weeks,8 weeks,price
ACN,1.41718775678897,1.0175378176318166,0.9978600588845719,1.0359784857850294,68,18,46.241379310344826,11.91304347826087,70,1.00085805762178,0.978376489100328,1.02067956063268,1.06684400968427,116.540001
AVP,0.4161447504224,1.0384622462687974,1.0186821039256941,1.04909671954355,9,2,29.275862068965516,2.2,51,0.98113207509434,1.01029159487136,1.03430531709777,0.739279587970841,5.83
AMGN,1.34581590119732,1.017115057485115,0.9977249398743702,1.0097144393899595,61,7,47.195402298850574,7,52,0.982722062862101,1.00815726742601,1.08073731670155,1.16853998802856,155.690002
AMZN,2.07972221119671,1.0108679015195265,0.9915589708887906,1.002346511636357,15,1,52.229885057471265,7.2,46,1.0178999254651,1.02160591720198,1.04138357043854,1.05911053200865,809.5
ATVI,1.79147811821285,1.0149302831042117,0.9955293708823798,1.0319264925463076,73,14,49.160919540229884,11.608695652173912,36,1.00384620472053,1.0328204868835,1.19743592278809,1.27102564121078,39.0
AVGO,2.19767007514531,1.0170552654753546,0.997545490702017,1.0131472368796244,55,15,48.172413793103445,11.8,4,1.10689730501558,1.12258815633961,1.14831448166506,1.25532270332212,180.360001
BIDU,1.14637451734891,1.0272067990255132,1.0074667766952987,1.0458927181703948,7,1,34.241379310344826,8.608695652173912,66,1.00229578406314,0.98650538640899,1.03835604564883,0.973794769663487,178.589996
BIIB,1.21373362120392,1.0235496980205543,1.0039795372598075,1.0064860722842048,48,7,39.52873563218391,6.916666666666667,72,0.977562362883637,0.976157839710848,0.982337867011915,1.03198842903958,284.790009
BMRN,1.2586735599955,1.0307641615248226,1.0110732491826122,1.0215390553166348,50,6,29.896551724137932,4.75,45,0.979463928539281,1.02216029685186,1.05511080089215,1.07437052804282,86.190002
CA,1.17018962141963,1.0206774130710405,1.001086267489789,1.0334747962706883,66,17,43.40229885057471,13.217391304347826,82,1.0103690145688,0.957913969198774,0.978956907804289,0.992375724746303,32.790001
CELG,1.51547720665871,1.0213510757881388,1.0021819589185053,1.014313651051827,41,12,39.10344827586207,6.333333333333333,50,0.981755012936936,1.01059949653875,1.01520417086417,1.09904432841552,229.5892371
CERN,1.06289695828923,1.013596392215846,0.9940629984957782,1.0059555662032327,76,10,52.32183908045977,7.166666666666667,47,0.972164344031407,1.01779963959642,0.995076652288716,1.05055858570248,207.8610564
CHKP,1.37044470683328,1.017582247082336,0.9980240803765968,1.0347370269643954,48,18,47.97701149425287,13.08695652173913,10,1.09306929400948,1.09328927144759,1.11958190055925,1.1005500416045,90.900002
CHTR,2.20306541062302,1.002511213278037,0.9826804141077822,0.9949951250624337,24,5,53.310344827586206,7.615384615384615,15,1.01326146362598,1.06245303099574,1.06196309406101,1.06421690147258,306.149994
CMCSA,1.5519293047507,1.0109722353726744,0.9914291502160512,1.0114358214422794,44,5,55.04597701149425,7.6923076923076925,31,1.01541217849792,1.0388055601314,1.04197059415985,1.02501965694895,72.669998
COST,1.36739902864697,1.0094365140071067,0.9897682505943975,1.0152642388317636,14,2,55.97701149425287,5.3,56,1.00103888167763,1.00213874789677,1.0540177899426,1.0174152526664,163.649994
