stock,OPEN,average,Weighted Ave,Ind average,Self,Ind Self,ranked average,ranked Ind average,ranked 2 weeks,1 week,2 weeks,4 weeks,8 weeks,price
ACN,1.51872812776265,0.9968484006913294,0.993198332967947,1.0072973790847761,66,19,51.51724137931034,13.565217391304348,76,1.01313155608747,0.974537592574116,0,0,124.889999
AVP,0.312643911981151,1.0325858305862226,1.029059684597003,1.0416318350990579,85,5,25.275862068965516,2.2,24,0.995433789589041,1.01598173479452,0,0,4.38
AMGN,1.56978722199726,0.9944292811159753,0.9909502525312053,1.0029979616657765,13,6,52.51724137931034,6.75,87,0.924999947426465,0.909801737454238,0,0,181.600006
AMZN,2.19738898366878,0.993056932573249,0.9894829143910852,1.0022248215910676,27,2,55.632183908045974,7.4,17,0.993066768023336,1.02471649088054,0,0,855.299988
ATVI,2.26461203683116,0.9955265689080549,0.9918271995095459,1.0014773922565898,7,2,51.747126436781606,13.91304347826087,21,0.988235334482664,1.02068967588422,0,0,49.299999
AVGO,2.7474530772102,0.9875905103498749,0.983915292610916,0.982710558254072,41,6,57.42528735632184,14.45,68,0.968467264364837,0.981683564036753,0,0,225.479996
BIDU,1.11395839728956,1.0108953294014125,1.0073748433775132,1.0091235435281092,41,11,33.4367816091954,11.26086956521739,50,0.978564099630913,0.991702275336614,0,0,173.539993
BIIB,1.21467123348651,1.0030950444587075,0.9995914944078119,1.0062443203218978,44,6,45.48275862068966,7.5,83,0.977299039851226,0.961053978419916,0,0,285.01001
BMRN,1.35476435404609,1.0120922533990424,1.0084826417513917,1.0228042191659157,10,2,36.93103448275862,5.083333333333333,79,0.948582546472117,0.968524317287665,0,0,92.769997
CA,1.16840528750389,1.003051651627541,0.99947874027183,1.0067173580034248,18,5,43.39080459770115,12.695652173913043,75,0.980146549662895,0.97525956178964,0,0,32.740002
CELG,1.67281830583085,1.0120495362868014,1.0088544010024234,1.0125619262843477,48,6,45.3448275862069,5.916666666666667,63,0.980716214866085,0.984336836767869,0,0,253.4258364
CERN,1.1220697649959,0.9989820894575319,0.9953541735403791,1.0089250212637217,8,2,49.91954022988506,6.5,3,1.02242152425864,1.07318389236883,0,0,219.4329421
CHKP,1.52120869766722,0.9985547368636106,0.9951562319411859,1.0007550830842418,2,1,49.4367816091954,13.391304347826088,12,1.02329036662754,1.03270559845021,0,0,100.900002
