stock,OPEN,average,Weighted Ave,Ind average,Self,Ind Self,ranked average,ranked Ind average,ranked 2 weeks,1 week,2 weeks,4 weeks,8 weeks,price
ACN,1.36976167957577,1.01994341878606,1.00131195646627,1.02009046299986,64,15,42.448275862069,11.304347826087,47,1.01740055945846,1.00319603163349,1.02246092882156,1.01873225336394,112.639999
AVP,0.321209498610772,1.02915387102674,1.01067703428913,1.03573881924648,12,1,35.8390804597701,3,1,1.13333333333333,1.22222222222222,1.26222222222222,1.16666666666667,4.5
AMGN,1.51316766982916,1.01108282152267,0.993091725000927,1.00817764284329,36,5,53.1954022988506,7.75,73,0.990059954469124,0.979605787267539,0.975721222923944,1.00828333,175.050003
AMZN,1.96233800861607,1.01320937178892,0.993524106702165,1.01188695542477,57,6,47.2873563218391,7.4,41,1.00392767835961,1.01059167334963,0.995077296697025,1.00610095837826,763.809998
ATVI,1.84062892812279,1.02866184810802,1.00982262393422,1.02776728264691,35,10,33.9195402298851,9.47826086956522,17,1.01647117544297,1.0384327676566,1.02196159221363,1.05939608135139,40.07
AVGO,1.9873586186231,1.01911295888634,1.00075681694533,1.00928002576301,50,14,42.3103448275862,11.45,11,1.04230529580729,1.06296743483872,1.08418145613066,1.04984665708719,163.100006
BIDU,1.04090990807121,1.02302478944145,1.0045281442531,1.0262327714591,52,13,40.0804597701149,10.6086956521739,15,1.03077201453448,1.04353722758912,1.06592255634133,1.04520227436726,162.160004
BIIB,1.29083055458912,1.01744379376115,0.999270675676042,1.02693642594347,35,3,46.2528735632184,5.58333333333333,18,1.04338346468266,1.03473319078953,1.01429604440214,1.101591351,302.880005
BMRN,1.45976337021638,1.01846607247687,1.00014959408738,1.00826779899764,1,1,41.5402298850575,6.83333333333333,84,0.993297338868521,0.92937177800492,0.951280481705487,1.02531011420153,99.959999
CA,1.23656820634344,1.01087450556618,0.992685817883191,1.01606191684002,51,13,50.2068965517241,13.7826086956522,63,0.983838327051179,0.987012958902571,0.980663724059814,1.005483347,34.650002
CELG,1.50942057748732,1.01756294274867,0.998926202399931,1.04462479275764,27,5,46.6436781609195,6.5,59,1.00741450624756,0.993021606785764,0.941468954529043,1.02843687192725,228.67168
CERN,1.24906996856067,1.01348886181124,0.995218199911724,1.01998410579418,23,9,49.4597701149425,6.58333333333333,9,1.07718332118733,1.07089909615941,1.03657752117527,1.08733486807835,244.2692127
CHKP,1.14369564954264,1.02073941427342,1.00241795482977,1.02871919696791,51,16,40.4252873563218,10.5217391304348,64,1.00461373576834,0.986949670617589,1.00382284466355,1.01133667226165,75.860001
CHTR,1.70912972371884,1.01869130043429,1.00015071846218,1.01232528990656,76,12,44.264367816092,6.30769230769231,7,0.987537400268145,1.09254345275027,1.06408151791675,1.00783124940447,237.509995
CMCSA,1.44450941943617,1.01681152843291,0.998245142793718,1.02340579591106,60,10,49.9655172413793,7.30769230769231,53,0.992016543347376,0.998078104643378,0.971910097160114,1.00266116252154,67.639999
COST,1.39597539666175,1.0153379145343,0.997023100763689,1.02200427243874,38,2,51.367816091954,5.3,38,1.0010773507659,1.01179138036428,0.989944287247202,1.00754171912873,167.070007
CSCO,1.30579141397128,1.01246011144368,0.994404672198655,1.01629382194056,81,21,49.0689655172414,13.0869565217391,45,1.00584036340039,1.00519143413368,1.01687216093446,1.01200522436729,30.82
CSX,1.01490253647426,1.01953118779353,1.00125626418379,1.02203605078686,5,2,40.4827586206897,4.2,42,1.02440775212717,1.00789658972811,1.01148596513713,1.03661155650813,82.55066585
CTRP,1.62894267103294,1.01579896243671,0.997555317311521,1.01021790382521,10,1,44.7931034482759,3,8,0.999302348802958,1.08372088366319,1.08232560466806,1.02093027951717,85.4738876
CTSH,1.25102447674033,1.0213445723044,1.00301732195558,1.02561607201793,28,8,38.6436781609195,8.73913043478261,55,1.02562333581185,0.997420430500908,0.990885589209362,1.03989679965374,116.5827089
CTXS,1.21225868956304,1.01663169609098,0.998535333024652,1.0197740080429,58,15,42.0229885057471,12.4782608695652,39,0.988975246733489,1.01148896354312,1.02587902952444,1.000348126,86.170001
DISCA,0.836485889764384,1.0212936500294,1.00293291971402,1.01328932657576,18,5,41.4827586206897,6.23076923076923,31,1.01884615368956,1.01769226918081,0.999615384520441,1.06653846090857,49.90797568
DISCK,0.871478884571595,1.0203673864696,1.0018787990391,1.01674941222006,77,11,42.4252873563218,6.30769230769231,33,1.01400000008475,1.01480003988808,1.00480003991444,1.06440004038129,49.31989613
DISH,1.08192520013359,1.0193786867718,1.00115329285183,1.01675796095675,82,13,41.7816091954023,6.07692307692308,58,1.00487139516758,0.995323499610288,0.964731060015589,1.02591586118246,51.32
DLTR,1.66853232792274,1.01860668869814,1.000307196044,1.02605922048719,70,8,45.0114942528736,5.9,60,0.998147184842913,0.991765270436995,0.876376708783487,1.00298507485017,193.9504859
EA,1.90916998236413,1.01641935660262,0.997826144500099,1.02529041799471,18,4,42.1954022988506,10.0869565217391,35,1.04270039063201,1.01318874345289,1.0603290007749,1.04452854369477,76.580002
EBAY,1.45302031520795,1.01644801219741,0.99832546142843,1.02649749707865,75,8,44.9195402298851,5.4,54,1.00997743804231,0.997747022863013,1.00869005476449,1.0122304798652,76.59465654
ESRX,1.13465729957078,1.01538351750725,0.997048023917452,1.03102843826095,25,2,46.7586206896552,5.66666666666667,44,1.00566161971014,1.00684666254826,0.948518812976385,1.01132325226465,75.949997
