symbol,stock,price,,change,percentchange
American Airlines,American Airlines Group Inc,AAL stock,,-2.09,-1.26%
Apple,Apple Inc,AAPL stock,,-2.09,-1.26%
Adobe,Adobe Systems Inc,ADBE stock,,-2.09,-1.26%
Analog Devices,Analog Devices Inc,ADI stock,,-2.09,-1.26%
Automatic Data Processing,Automatic Data Processing Inc,ADP stock,,-2.09,-1.26%
Autodesk,Autodesk Inc,ADSK stock,,-2.09,-1.26%
Align Technology,Align Technology Inc,ALGN stock,,-2.09,-1.26%
Alexion,Alexion Pharmaceuticals Inc,ALXN stock,,-2.09,-1.26%
Applied Materials,Applied Materials Inc,AMAT stock,,-2.09,-1.26%
Amgen,Amgen Inc,AMGN stock,,-2.09,-1.26%
Amazon,Amazon.com Inc,AMZN stock,,-2.09,-1.26%
ASML Holding,ASML Holding NV,ASML stock,,-2.09,-1.26%
Activision Blizzard,Activision Blizzard Inc,ATVI stock,,-2.09,-1.26%
Broadcom,Broadcom Ltd,AVGO stock,,-2.09,-1.26%
Baidu,Baidu Inc ADR,BIDU stock,,-2.09,-1.26%
Biogen,Biogen Inc,BIIB stock,,-2.09,-1.26%
Booking Holdings,Booking Holdings Inc,BKNG stock,,-2.09,-1.26%
BioMarin,BioMarin Pharmaceutical Inc,BMRN stock,,-2.09,-1.26%
CA Inc,CA Inc,CA stock,,-2.09,-1.26%
Cadence Design Systems,Cadence Design Systems Inc,CDNS stock,,-2.09,-1.26%
Celgene,Celgene Corp,CELG stock,,-2.09,-1.26%
Cerner,Cerner Corp,CERN stock,,-2.09,-1.26%
Check Point Software,Check Point Software Technologies Ltd,CHKP stock,,-2.09,-1.26%
Charter,Charter Communications Inc,CHTR stock,,-2.09,-1.26%
Comcast,Comcast Corp,CMCSA stock,,-2.09,-1.26%
Costco,Costco Wholesale Corp,COST stock,,-2.09,-1.26%
Cisco,Cisco Systems Inc,CSCO stock,,-2.09,-1.26%
CSX Corp,CSX Corp,CSX stock,,-2.09,-1.26%
Cintas,Cintas Corp,CTAS stock,,-2.09,-1.26%
Ctrip,Ctrip.com International Ltd ADR,CTRP stock,,-2.09,-1.26%
Cognizant,Cognizant Technology Solutions Corp,CTSH stock,,-2.09,-1.26%
Citrix Systems,Citrix Systems Inc,CTXS stock,,-2.09,-1.26%
DISH Network,DISH Network Corp,DISH stock,,-2.09,-1.26%
Dollar Tree,Dollar Tree Inc,DLTR stock,,-2.09,-1.26%
Electronic Arts,Electronic Arts Inc,EA stock,,-2.09,-1.26%
eBay,eBay Inc,EBAY stock,,-2.09,-1.26%
Express Scripts,Express Scripts Holding Co,ESRX stock,,-2.09,-1.26%
Expedia,Expedia Group Inc,EXPE stock,,-2.09,-1.26%
Fastenal,Fastenal Co,FAST stock,,-2.09,-1.26%
Facebook Inc,Facebook Inc,FB stock,,-2.09,-1.26%
Fiserv,Fiserv Inc,FISV stock,,-2.09,-1.26%
fox,Twenty-First Century Fox Inc,FOX stock,,-2.09,-1.26%
Gilead,Gilead Sciences Inc,GILD stock,,-2.09,-1.26%
Alphabet,Alphabet Inc,GOOG stock,,-2.09,-1.26%
Hasbro,Hasbro Inc,HAS stock,,-2.09,-1.26%
Hologic,Hologic Inc,HOLX stock,,-2.09,-1.26%
Henry Schein,Henry Schein Inc,HSIC stock,,-2.09,-1.26%
IDEXX,IDEXX Laboratories Inc,IDXX stock,,-2.09,-1.26%
Illumina,Illumina Inc,ILMN stock,,-2.09,-1.26%
Incyte,Incyte Corp,INCY stock,,-2.09,-1.26%
Intel,Intel Corp,INTC stock,,-2.09,-1.26%
Intuit inc,Intuit Inc,INTU stock,,-2.09,-1.26%
Intuitive Surgical,Intuitive Surgical Inc,ISRG stock,,-2.09,-1.26%
JB Hunt,JB Hunt Transport Services Inc,JBHT stock,,-2.09,-1.26%
jingdong,JD.com Inc ADR,JD stock,,-2.09,-1.26%
Kraft Heinz,Kraft Heinz Co/The,KHC stock,,-2.09,-1.26%
KLA-Tencor,KLA-Tencor Corp,KLAC stock,,-2.09,-1.26%
Liberty Global,Liberty Global PLC,LBTYA stock,,-2.09,-1.26%
Lam Research,Lam Research Corp,LRCX stock,,-2.09,-1.26%
Marriott,Marriott International Inc/MD,MAR stock,,-2.09,-1.26%
Microchip Technology,Microchip Technology Inc,MCHP stock,,-2.09,-1.26%
Mondelez,Mondelez International Inc,MDLZ stock,,-2.09,-1.26%
MercadoLibre,MercadoLibre Inc,MELI stock,,-2.09,-1.26%
Monster Beverage,Monster Beverage Corp,MNST stock,,-2.09,-1.26%
Microsoft,Microsoft Corp,MSFT stock,,-2.09,-1.26%
Micron Technology,Micron Technology Inc,MU stock,,-2.09,-1.26%
Maxim Integrated Products,Maxim Integrated Products Inc,MXIM stock,,-2.09,-1.26%
Mylan,Mylan NV,MYL stock,,-2.09,-1.26%
Netflix,Netflix Inc,NFLX stock,,-2.09,-1.26%
NetEase,NetEase Inc ADR,NTES stock,,-2.09,-1.26%
NVIDIA,NVIDIA Corp,NVDA stock,,-2.09,-1.26%
O'Reilly Automotive,O'Reilly Automotive Inc,ORLY stock,,-2.09,-1.26%
Paychex,Paychex Inc,PAYX stock,,-2.09,-1.26%
PACCAR,PACCAR Inc,PCAR stock,,-2.09,-1.26%
PayPal,PayPal Holdings Inc,PYPL stock,,-2.09,-1.26%
QUALCOMM,QUALCOMM Inc,QCOM stock,,-2.09,-1.26%
Liberty Interactive,Liberty Interactive Corp QVC Group,QRTEA stock,,-2.09,-1.26%
Regeneron,Regeneron Pharmaceuticals Inc,REGN stock,,-2.09,-1.26%
Ross Stores,Ross Stores Inc,ROST stock,,-2.09,-1.26%
Starbucks,Starbucks Corp,SBUX stock,,-2.09,-1.26%
Shire PLC,Shire PLC ADR,SHPG stock,,-2.09,-1.26%
Sirius,Sirius XM Holdings Inc,SIRI stock,,-2.09,-1.26%
Synopsys,Synopsys Inc,SNPS stock,,-2.09,-1.26%
Seagate,Seagate Technology PLC,STX stock,,-2.09,-1.26%
Skyworks,Skyworks Solutions Inc,SWKS stock,,-2.09,-1.26%
Symantec,Symantec Corp,SYMC stock,,-2.09,-1.26%
T-Mobile,T-Mobile US Inc,TMUS stock,,-2.09,-1.26%
Tesla,Tesla Inc,TSLA stock,,-2.09,-1.26%
Take-Two,Take-Two Interactive Software Inc,TTWO stock,,-2.09,-1.26%
Texas Instruments,Texas Instruments Inc,TXN stock,,-2.09,-1.26%
Ulta,Ulta Beauty Inc,ULTA stock,,-2.09,-1.26%
Vodafone,Vodafone Group PLC ADR,VOD stock,,-2.09,-1.26%
Verisk Analytics,Verisk Analytics Inc,VRSK stock,,-2.09,-1.26%
Vertex Pharmaceuticals,Vertex Pharmaceuticals Inc,VRTX stock,,-2.09,-1.26%
Walgreens,Walgreens Boots Alliance Inc,WBA stock,,-2.09,-1.26%
Workday,Workday Inc,WDAY stock,,-2.09,-1.26%
Western Digital,Western Digital Corp,WDC stock,,-2.09,-1.26%
Wynn,Wynn Resorts Ltd,WYNN stock,,-2.09,-1.26%
Xilinx,Xilinx Inc,XLNX stock,,-2.09,-1.26%
DENTSPLY,DENTSPLY SIRONA Inc,XRAY stock,,-2.09,-1.26%
stock scandal,,stock scandal,,,
bankruptcy,,bankruptcy,,,
qqq,,qqq,,,
debt,,debt,,,
dow,,dow,,,
online trading,,online trading,,,
new regulations,,new regulations,,,
inheritance,,inheritance,,,
