date,value
2016-08-21,45.0
2016-08-22,75.0
2016-08-23,83.0
2016-08-24,83.0
2016-08-25,77.0
2016-08-26,64.0
2016-08-27,55.0
2016-08-28,50.0
2016-08-29,78.0
2016-08-30,82.0
2016-08-31,77.0
2016-09-01,74.0
2016-09-02,74.0
2016-09-03,52.0
2016-09-04,54.0
2016-09-05,67.0
2016-09-06,67.0
2016-09-07,76.0
2016-09-08,72.0
2016-09-09,72.0
2016-09-10,50.0
2016-09-11,59.0
2016-09-12,69.0
2016-09-13,67.0
2016-09-14,82.0
2016-09-15,71.0
2016-09-16,66.0
2016-09-17,44.0
2016-09-18,51.0
2016-09-19,78.0
2016-09-20,81.0
2016-09-21,73.0
2016-09-22,76.0
2016-09-23,73.0
2016-09-24,54.0
2016-09-25,46.0
2016-09-26,80.0
2016-09-27,82.0
2016-09-28,77.0
2016-09-29,100.0
2016-09-30,76.0
2016-10-01,53.0
2016-10-02,48.0
2016-10-03,76.0
2016-10-04,76.0
2016-10-05,83.0
2016-10-06,67.0
2016-10-07,69.0
2016-10-08,62.0
2016-10-09,59.0
2016-10-10,86.0
2016-10-11,72.0
2016-10-12,70.0
2016-10-13,80.0
2016-10-14,67.0
2016-10-15,45.0
2016-10-16,54.0
2016-10-17,76.0
2016-10-18,72.0
2016-10-19,80.0
2016-10-20,72.0
2016-10-21,70.0
2016-10-22,46.0
2016-10-23,60.0
2016-10-24,79.0
2016-10-25,79.0
2016-10-26,77.0
2016-10-27,66.0
2016-10-28,72.0
2016-10-29,51.0
2016-10-30,47.0
2016-10-31,69.0
2016-11-01,70.0
2016-11-02,81.0
2016-11-03,78.0
2016-11-04,60.0
2016-11-05,49.0
2016-11-06,50.0
2016-11-07,83.0
2016-11-08,84.0
2016-11-09,100.0
2016-11-10,95.0
2016-11-11,72.0
2016-11-12,51.0
2016-11-13,52.0
2016-11-14,84.0
2016-11-15,83.0
2016-11-16,70.0
2016-11-17,67.0
2016-11-18,60.0
2016-11-19,52.0
2016-11-20,55.0
2016-11-21,80.0
2016-11-22,72.0
2016-11-23,67.0
2016-11-24,68.0
2016-11-25,59.0
2016-11-26,40.0
2016-11-27,42.0
2016-11-28,74.0
2016-11-29,77.0
2016-11-30,79.0
2016-12-01,66.0
