date,ACN
2012-10-12,64
2012-10-13,54
2012-10-14,52
2012-10-15,79
2012-10-16,73
2012-10-17,80
2012-10-18,82
2012-10-19,100
2012-10-20,59
2012-10-21,69
2012-10-22,84
2012-10-23,83
2012-10-24,86
2012-10-25,77
2012-10-26,63
2012-10-27,61
2012-10-28,54
2012-10-29,73
2012-10-30,70
2012-10-31,71
2012-11-01,62
2012-11-02,59
2012-11-03,51
2012-11-04,61
2012-11-05,72
2012-11-06,68
2012-11-07,85
2012-11-08,72
2012-11-09,71
2012-11-10,61
2012-11-11,51
2012-11-12,70
2012-11-13,83
2012-11-14,76
2012-11-15,76
2012-11-16,71
2012-11-17,57
2012-11-18,44
2012-11-19,79
2012-11-20,79
2012-11-21,76
2012-11-22,62
2012-11-23,54
2012-11-24,48
2012-11-25,45
2012-11-26,69
2012-11-27,73
2012-11-28,73
2012-11-29,71
2012-11-30,65
2012-12-01,54
2012-12-02,55
2012-12-03,63
2012-12-04,70
2012-12-05,69
2012-12-06,68
2012-12-07,62
2012-12-08,48
2012-12-09,43
2012-12-10,66
2012-12-11,67
2012-12-12,59
2012-12-13,68
2012-12-14,64
2012-12-15,51
2012-12-16,44
2012-12-17,70
2012-12-18,74
2012-12-19,73
2012-12-20,66
2012-12-21,52
2012-12-22,37
2012-12-23,33
2012-12-24,41
2012-12-25,35
2012-12-26,45
2012-12-27,49
2012-12-28,50
2012-12-29,44
2012-12-30,41
2012-12-31,40
2013-01-01,42
2013-01-02,56
2013-01-03,56
2013-01-04,67
2013-01-05,55
2013-01-06,55
2013-01-07,71
2013-01-08,77
2013-01-09,70
2013-01-10,70
2013-01-11,71
2013-01-12,49
2013-01-13,52
2013-01-14,72
2013-01-15,72
2013-01-16,79
2013-01-17,76
2013-01-18,62
2013-01-19,61
2013-01-20,67
2013-01-21,80
2013-01-22,76
2013-01-23,80
2013-01-24,78
2013-01-25,74
2013-01-26,55
2013-01-27,50
2013-01-28,80
2013-01-29,84
2013-01-30,69
2013-01-31,76
2013-02-01,73
2013-02-02,58
2013-02-03,64
2013-02-04,82
2013-02-05,83
2013-02-06,81
2013-02-07,79
2013-02-08,81
2013-02-09,49
2013-02-10,60
2013-02-11,70
2013-02-12,71
2013-02-13,69
2013-02-14,72
2013-02-15,66
2013-02-16,71
2013-02-17,66
2013-02-18,77
2013-02-19,84
2013-02-20,82
2013-02-21,74
2013-02-22,78
2013-02-23,60
2013-02-24,60
2013-02-25,72
2013-02-26,75
2013-02-27,75
2013-02-28,74
2013-03-01,73
2013-03-02,51
2013-03-03,53
2013-03-04,64
2013-03-05,83
2013-03-06,69
2013-03-07,74
2013-03-08,66
2013-03-09,51
2013-03-10,51
2013-03-11,70
2013-03-12,77
2013-03-13,66
2013-03-14,76
2013-03-15,71
2013-03-16,60
2013-03-17,61
2013-03-18,75
2013-03-19,76
2013-03-20,90
2013-03-21,80
2013-03-22,63
2013-03-23,64
2013-03-24,65
2013-03-25,84
2013-03-26,73
2013-03-27,70
2013-03-28,73
2013-03-29,57
2013-03-30,52
2013-03-31,50
2013-04-01,68
2013-04-02,77
2013-04-03,80
2013-04-04,88
2013-04-05,63
2013-04-06,61
2013-04-07,59
2013-04-08,76
2013-04-09,81
2013-04-10,78
2013-04-11,73
2013-04-12,65
2013-04-13,54
2013-04-14,57
2013-04-15,74
2013-04-16,70
2013-04-17,68
2013-04-18,81
2013-04-19,73
2013-04-20,57
2013-04-21,47
2013-04-22,74
2013-04-23,72
2013-04-24,62
2013-04-25,69
2013-04-26,61
2013-04-27,43
2013-04-28,54
2013-04-29,71
2013-04-30,70
2013-05-01,68
2013-05-02,73
2013-05-03,63
2013-05-04,57
2013-05-05,41
2013-05-06,72
2013-05-07,71
2013-05-08,64
2013-05-09,71
2013-05-10,64
2013-05-11,56
2013-05-12,41
2013-05-13,70
2013-05-14,76
2013-05-15,66
2013-05-16,78
2013-05-17,63
2013-05-18,47
2013-05-19,45
2013-05-20,66
2013-05-21,67
2013-05-22,69
2013-05-23,72
2013-05-24,59
2013-05-25,41
2013-05-26,38
2013-05-27,63
2013-05-28,61
2013-05-29,69
2013-05-30,65
2013-05-31,52
2013-06-01,55
2013-06-02,48
2013-06-03,66
2013-06-04,62
2013-06-05,73
2013-06-06,66
2013-06-07,64
2013-06-08,49
2013-06-09,48
2013-06-10,61
2013-06-11,63
2013-06-12,60
2013-06-13,58
2013-06-14,68
2013-06-15,48
2013-06-16,45
2013-06-17,64
2013-06-18,61
2013-06-19,61
2013-06-20,58
2013-06-21,57
2013-06-22,46
2013-06-23,56
2013-06-24,70
2013-06-25,69
2013-06-26,83
2013-06-27,74
2013-06-28,83
2013-06-29,60
