date,ACN,isPartial
2013-11-06,69,False
2013-11-07,76,False
2013-11-08,77,False
2013-11-09,53,False
2013-11-10,53,False
2013-11-11,62,False
2013-11-12,74,False
2013-11-13,82,False
2013-11-14,74,False
2013-11-15,72,False
2013-11-16,48,False
2013-11-17,79,False
2013-11-18,69,False
2013-11-19,73,False
2013-11-20,55,False
2013-11-21,74,False
2013-11-22,68,False
2013-11-23,50,False
2013-11-24,44,False
2013-11-25,68,False
2013-11-26,81,False
2013-11-27,74,False
2013-11-28,67,False
2013-11-29,46,False
2013-11-30,47,False
2013-12-01,57,False
2013-12-02,65,False
2013-12-03,73,False
2013-12-04,77,False
2013-12-05,60,False
2013-12-06,58,False
2013-12-07,50,False
2013-12-08,62,False
2013-12-09,67,False
2013-12-10,75,False
2013-12-11,77,False
2013-12-12,60,False
2013-12-13,60,False
2013-12-14,55,False
2013-12-15,46,False
2013-12-16,67,False
2013-12-17,69,False
2013-12-18,77,False
2013-12-19,92,False
2013-12-20,82,False
2013-12-21,37,False
2013-12-22,56,False
2013-12-23,58,False
2013-12-24,58,False
2013-12-25,44,False
2013-12-26,55,False
2013-12-27,67,False
2013-12-28,50,False
2013-12-29,48,False
2013-12-30,62,False
2013-12-31,46,False
2014-01-01,41,False
2014-01-02,61,False
2014-01-03,58,False
2014-01-04,53,False
2014-01-05,61,False
2014-01-06,67,False
2014-01-07,91,False
2014-01-08,79,False
2014-01-09,76,False
2014-01-10,56,False
2014-01-11,40,False
2014-01-12,66,False
2014-01-13,75,False
2014-01-14,78,False
2014-01-15,84,False
2014-01-16,82,False
2014-01-17,86,False
2014-01-18,51,False
2014-01-19,53,False
2014-01-20,70,False
2014-01-21,98,False
2014-01-22,92,False
2014-01-23,84,False
2014-01-24,71,False
2014-01-25,62,False
2014-01-26,59,False
2014-01-27,60,False
2014-01-28,77,False
2014-01-29,89,False
2014-01-30,82,False
2014-01-31,68,False
2014-02-01,59,False
2014-02-02,60,False
2014-02-03,76,False
2014-02-04,82,False
2014-02-05,68,False
2014-02-06,71,False
2014-02-07,68,False
2014-02-08,65,False
2014-02-09,55,False
2014-02-10,79,False
2014-02-11,81,False
2014-02-12,78,False
2014-02-13,70,False
2014-02-14,62,False
2014-02-15,64,False
2014-02-16,67,False
2014-02-17,72,False
2014-02-18,86,False
2014-02-19,78,False
2014-02-20,77,False
2014-02-21,78,False
2014-02-22,55,False
2014-02-23,72,False
2014-02-24,83,False
2014-02-25,100,False
2014-02-26,88,False
2014-02-27,76,False
2014-02-28,72,False
2014-03-01,46,False
2014-03-02,60,False
2014-03-03,90,False
2014-03-04,81,False
2014-03-05,84,False
2014-03-06,82,False
2014-03-07,83,False
2014-03-08,59,False
2014-03-09,62,False
2014-03-10,75,False
2014-03-11,77,False
2014-03-12,73,False
2014-03-13,83,False
2014-03-14,78,False
2014-03-15,55,False
2014-03-16,56,False
2014-03-17,88,False
2014-03-18,91,False
2014-03-19,80,False
2014-03-20,84,False
2014-03-21,68,False
2014-03-22,53,False
2014-03-23,50,False
2014-03-24,75,False
2014-03-25,77,False
2014-03-26,75,False
2014-03-27,84,False
2014-03-28,75,False
2014-03-29,58,False
2014-03-30,57,False
2014-03-31,75,False
2014-04-01,90,False
2014-04-02,95,False
2014-04-03,81,False
2014-04-04,78,False
2014-04-05,43,False
2014-04-06,58,False
2014-04-07,91,False
2014-04-08,82,False
2014-04-09,80,False
2014-04-10,76,False
2014-04-11,72,False
2014-04-12,55,False
2014-04-13,48,False
2014-04-14,68,False
2014-04-15,90,False
2014-04-16,82,False
2014-04-17,78,False
2014-04-18,70,False
2014-04-19,55,False
2014-04-20,55,False
2014-04-21,67,False
2014-04-22,71,False
2014-04-23,75,False
2014-04-24,84,False
2014-04-25,68,False
2014-04-26,53,False
2014-04-27,78,False
2014-04-28,62,False
2014-04-29,72,False
2014-04-30,75,False
2014-05-01,73,False
2014-05-02,78,False
