date,AMGN
2015-12-26,6
2015-12-27,8
2015-12-28,19
2015-12-29,33
2015-12-30,17
2015-12-31,40
2016-01-01,0
2016-01-02,5
2016-01-03,0
2016-01-04,46
2016-01-05,37
2016-01-06,9
2016-01-07,20
2016-01-08,29
2016-01-09,13
2016-01-10,7
2016-01-11,34
2016-01-12,41
2016-01-13,32
2016-01-14,34
2016-01-15,36
2016-01-16,7
2016-01-17,0
2016-01-18,13
2016-01-19,32
2016-01-20,39
2016-01-21,37
2016-01-22,40
2016-01-23,10
2016-01-24,10
2016-01-25,42
2016-01-26,38
2016-01-27,23
2016-01-28,47
2016-01-29,55
2016-01-30,15
2016-01-31,5
2016-02-01,30
2016-02-02,24
2016-02-03,25
2016-02-04,25
2016-02-05,34
2016-02-06,5
2016-02-07,5
2016-02-08,32
2016-02-09,23
2016-02-10,19
2016-02-11,23
2016-02-12,26
2016-02-13,10
2016-02-14,5
2016-02-15,13
2016-02-16,20
2016-02-17,25
2016-02-18,31
2016-02-19,21
2016-02-20,14
2016-02-21,9
2016-02-22,41
2016-02-23,20
2016-02-24,14
2016-02-25,22
2016-02-26,17
2016-02-27,12
2016-02-28,12
2016-02-29,24
2016-03-01,24
2016-03-02,28
2016-03-03,24
2016-03-04,21
2016-03-05,12
2016-03-06,5
2016-03-07,18
2016-03-08,20
2016-03-09,34
2016-03-10,18
2016-03-11,36
2016-03-12,19
2016-03-13,0
2016-03-14,22
2016-03-15,26
2016-03-16,26
2016-03-17,29
2016-03-18,30
2016-03-19,0
2016-03-20,9
2016-03-21,26
2016-03-22,24
2016-03-23,37
2016-03-24,43
2016-03-25,21
2016-03-26,5
2016-03-27,0
2016-03-28,30
2016-03-29,32
2016-03-30,25
2016-03-31,14
2016-04-01,36
2016-04-02,14
2016-04-03,9
2016-04-04,48
2016-04-05,40
2016-04-06,36
2016-04-07,49
2016-04-08,42
2016-04-09,14
2016-04-10,14
2016-04-11,34
2016-04-12,34
2016-04-13,32
2016-04-14,37
2016-04-15,36
2016-04-16,14
2016-04-17,9
2016-04-18,18
2016-04-19,43
2016-04-20,30
2016-04-21,33
2016-04-22,19
2016-04-23,10
2016-04-24,5
2016-04-25,20
2016-04-26,40
2016-04-27,40
2016-04-28,55
2016-04-29,47
2016-04-30,15
2016-05-01,12
2016-05-02,37
2016-05-03,26
2016-05-04,33
2016-05-05,38
2016-05-06,13
2016-05-07,0
2016-05-08,5
2016-05-09,18
2016-05-10,26
2016-05-11,18
2016-05-12,14
2016-05-13,21
2016-05-14,14
2016-05-15,9
2016-05-16,24
2016-05-17,22
2016-05-18,26
2016-05-19,26
2016-05-20,38
2016-05-21,5
2016-05-22,12
2016-05-23,24
2016-05-24,26
2016-05-25,14
2016-05-26,32
2016-05-27,17
2016-05-28,5
2016-05-29,5
2016-05-30,13
2016-05-31,28
2016-06-01,16
2016-06-02,19
2016-06-03,30
2016-06-04,12
2016-06-05,19
2016-06-06,28
2016-06-07,34
2016-06-08,39
2016-06-09,29
2016-06-10,32
2016-06-11,7
2016-06-12,10
2016-06-13,18
2016-06-14,24
2016-06-15,16
2016-06-16,31
2016-06-17,13
2016-06-18,15
2016-06-19,7
2016-06-20,30
2016-06-21,29
2016-06-22,21
2016-06-23,37
2016-06-24,41
2016-06-25,7
2016-06-26,10
2016-06-27,32
2016-06-28,31
2016-06-29,27
2016-06-30,27
2016-07-01,32
2016-07-02,5
2016-07-03,5
2016-07-04,4
2016-07-05,17
2016-07-06,22
2016-07-07,30
2016-07-08,26
2016-07-09,15
2016-07-10,7
2016-07-11,54
2016-07-12,31
2016-07-13,33
2016-07-14,38
2016-07-15,28
2016-07-16,5
2016-07-17,5
2016-07-18,31
2016-07-19,25
2016-07-20,31
2016-07-21,17
2016-07-22,26
2016-07-23,10
2016-07-24,12
2016-07-25,37
2016-07-26,50
2016-07-27,100
2016-07-28,63
2016-07-29,61
2016-07-30,5
2016-07-31,5
2016-08-01,21
2016-08-02,35
2016-08-03,29
2016-08-04,32
2016-08-05,41
2016-08-06,20
2016-08-07,5
2016-08-08,19
2016-08-09,29
2016-08-10,29
2016-08-11,21
2016-08-12,34
2016-08-13,15
2016-08-14,7
2016-08-15,28
2016-08-16,31
2016-08-17,40
2016-08-18,19
2016-08-19,9
2016-08-20,12
2016-08-21,7
2016-08-22,29
2016-08-23,35
2016-08-24,25
2016-08-25,29
2016-08-26,24
2016-08-27,0
2016-08-28,5
2016-08-29,34
2016-08-30,16
2016-08-31,18
2016-09-01,28
2016-09-02,21
2016-09-03,19
2016-09-04,5
2016-09-05,4
2016-09-06,12
2016-09-07,44
2016-09-08,24
2016-09-09,17
2016-09-10,5
2016-09-11,7
