date,AMGN,isPartial
2017-10-06,10,False
2017-10-07,0,False
2017-10-08,6,False
2017-10-09,15,False
2017-10-10,29,False
2017-10-11,24,False
2017-10-12,15,False
2017-10-13,20,False
2017-10-14,6,False
2017-10-15,6,False
2017-10-16,39,False
2017-10-17,24,False
2017-10-18,29,False
2017-10-19,35,False
2017-10-20,21,False
2017-10-21,0,False
2017-10-22,16,False
2017-10-23,34,False
2017-10-24,34,False
2017-10-25,77,False
2017-10-26,73,False
2017-10-27,50,False
2017-10-28,0,False
2017-10-29,11,False
2017-10-30,24,False
2017-10-31,49,False
2017-11-01,34,False
2017-11-02,10,False
2017-11-03,40,False
2017-11-04,11,False
2017-11-05,5,False
2017-11-06,28,False
2017-11-07,38,False
2017-11-08,33,False
2017-11-09,19,False
2017-11-10,15,False
2017-11-11,0,False
2017-11-12,0,False
2017-11-13,28,False
2017-11-14,38,False
2017-11-15,33,False
2017-11-16,19,False
2017-11-17,30,False
2017-11-18,5,False
2017-11-19,0,False
2017-11-20,33,False
2017-11-21,24,False
2017-11-22,14,False
2017-11-23,15,False
2017-11-24,15,False
2017-11-25,16,False
2017-11-26,0,False
2017-11-27,41,False
2017-11-28,42,False
2017-11-29,57,False
2017-11-30,34,False
2017-12-01,54,False
2017-12-02,11,False
2017-12-03,11,False
2017-12-04,37,False
2017-12-05,37,False
2017-12-06,42,False
2017-12-07,29,False
2017-12-08,20,False
2017-12-09,0,False
2017-12-10,5,False
2017-12-11,19,False
2017-12-12,19,False
2017-12-13,33,False
2017-12-14,34,False
2017-12-15,20,False
2017-12-16,28,False
2017-12-17,0,False
2017-12-18,14,False
2017-12-19,19,False
2017-12-20,15,False
2017-12-21,41,False
2017-12-22,37,False
2017-12-23,23,False
2017-12-24,6,False
2017-12-25,0,False
2017-12-26,32,False
2017-12-27,21,False
2017-12-28,0,False
2017-12-29,42,False
2017-12-30,22,False
2017-12-31,12,False
2018-01-01,0,False
2018-01-02,20,False
2018-01-03,48,False
2018-01-04,34,False
2018-01-05,44,False
2018-01-06,27,False
2018-01-07,0,False
2018-01-08,51,False
2018-01-09,41,False
2018-01-10,61,False
2018-01-11,38,False
2018-01-12,34,False
2018-01-13,32,False
2018-01-14,5,False
2018-01-15,23,False
2018-01-16,28,False
2018-01-17,60,False
2018-01-18,60,False
2018-01-19,53,False
2018-01-20,16,False
2018-01-21,5,False
2018-01-22,51,False
2018-01-23,68,False
2018-01-24,68,False
2018-01-25,42,False
2018-01-26,57,False
2018-01-27,5,False
2018-01-28,21,False
2018-01-29,36,False
2018-01-30,54,False
2018-01-31,59,False
2018-02-01,91,False
2018-02-02,100,False
2018-02-03,21,False
2018-02-04,31,False
2018-02-05,51,False
2018-02-06,64,False
2018-02-07,55,False
2018-02-08,42,False
2018-02-09,52,False
2018-02-10,16,False
2018-02-11,11,False
2018-02-12,33,False
2018-02-13,56,False
2018-02-14,42,False
2018-02-15,19,False
2018-02-16,48,False
2018-02-17,5,False
2018-02-18,5,False
2018-02-19,14,False
2018-02-20,36,False
2018-02-21,55,False
2018-02-22,32,False
2018-02-23,38,False
2018-02-24,5,False
2018-02-25,15,False
2018-02-26,71,False
2018-02-27,45,False
2018-02-28,40,False
2018-03-01,27,False
2018-03-02,47,False
2018-03-03,5,False
2018-03-04,0,False
2018-03-05,31,False
2018-03-06,45,False
2018-03-07,50,False
2018-03-08,28,False
2018-03-09,52,False
2018-03-10,0,False
2018-03-11,0,False
2018-03-12,18,False
2018-03-13,31,False
2018-03-14,4,False
2018-03-15,41,False
2018-03-16,23,False
2018-03-17,10,False
2018-03-18,5,False
2018-03-19,36,False
2018-03-20,27,False
2018-03-21,14,False
2018-03-22,23,False
2018-03-23,24,False
2018-03-24,11,False
2018-03-25,11,False
2018-03-26,23,False
2018-03-27,28,False
2018-03-28,33,False
2018-03-29,24,False
2018-03-30,10,False
2018-03-31,11,False
2018-04-01,5,False
2018-04-02,43,False
2018-04-03,23,False
2018-04-04,55,False
2018-04-05,38,False
2018-04-06,14,False
2018-04-07,11,False
2018-04-08,0,False
2018-04-09,27,False
2018-04-10,14,False
2018-04-11,23,False
2018-04-12,51,False
2018-04-13,14,False
2018-04-14,21,False
2018-04-15,16,False
2018-04-16,36,False
2018-04-17,23,False
2018-04-18,46,False
2018-04-19,23,False
2018-04-20,19,False
2018-04-21,11,False
2018-04-22,5,False
2018-04-23,18,False
2018-04-24,63,False
2018-04-25,87,False
2018-04-26,37,False
2018-04-27,24,False
2018-04-28,11,False
2018-04-29,5,False
2018-04-30,9,False
2018-05-01,68,False
2018-05-02,36,False
2018-05-03,37,False
2018-05-04,14,False
2018-05-05,11,False
2018-05-06,0,False
2018-05-07,9,False
2018-05-08,36,False
2018-05-09,46,False
2018-05-10,33,False
2018-05-11,33,False
2018-05-12,5,False
2018-05-13,5,False
2018-05-14,28,False
2018-05-15,45,False
2018-05-16,27,False
2018-05-17,56,False
2018-05-18,87,False
2018-05-19,5,False
2018-05-20,5,False
2018-05-21,61,False
2018-05-22,32,False
2018-05-23,42,False
2018-05-24,28,False
2018-05-25,34,False
2018-05-26,11,False
2018-05-27,0,False
2018-05-28,19,False
2018-05-29,37,False
2018-05-30,70,False
2018-05-31,33,False
2018-06-01,39,False
