date,value
2017-09-17,4.0
2017-09-18,39.0
2017-09-19,23.0
2017-09-20,15.0
2017-09-21,31.0
2017-09-22,20.0
2017-09-23,9.0
2017-09-24,9.0
2017-09-25,12.0
2017-09-26,23.0
2017-09-27,31.0
2017-09-28,20.0
2017-09-29,8.0
2017-09-30,14.0
2017-10-01,4.0
2017-10-02,23.0
2017-10-03,31.0
2017-10-04,12.0
2017-10-05,47.0
2017-10-06,32.0
2017-10-07,4.0
2017-10-08,0.0
2017-10-09,23.0
2017-10-10,15.0
2017-10-11,23.0
2017-10-12,31.0
2017-10-13,28.0
2017-10-14,5.0
2017-10-15,9.0
2017-10-16,23.0
2017-10-17,34.0
2017-10-18,31.0
2017-10-19,20.0
2017-10-20,20.0
2017-10-21,9.0
2017-10-22,13.0
2017-10-23,19.0
2017-10-24,30.0
2017-10-25,100.0
2017-10-26,77.0
2017-10-27,36.0
2017-10-28,4.0
2017-10-29,4.0
2017-10-30,38.0
2017-10-31,24.0
2017-11-01,32.0
2017-11-02,27.0
2017-11-03,16.0
2017-11-04,0.0
2017-11-05,4.0
2017-11-06,22.0
2017-11-07,22.0
2017-11-08,27.0
2017-11-09,23.0
2017-11-10,32.0
2017-11-11,13.0
2017-11-12,8.0
2017-11-13,38.0
2017-11-14,26.0
2017-11-15,4.0
2017-11-16,37.0
2017-11-17,23.0
2017-11-18,0.0
2017-11-19,0.0
2017-11-20,48.0
2017-11-21,26.0
2017-11-22,22.0
2017-11-23,12.0
2017-11-24,12.0
2017-11-25,0.0
2017-11-26,13.0
2017-11-27,29.0
2017-11-28,33.0
2017-11-29,30.0
2017-11-30,19.0
2017-12-01,59.0
2017-12-02,9.0
2017-12-03,0.0
2017-12-04,26.0
2017-12-05,33.0
2017-12-06,33.0
2017-12-07,38.0
2017-12-08,32.0
2017-12-09,4.0
2017-12-10,8.0
2017-12-11,11.0
2017-12-12,33.0
2017-12-13,26.0
2017-12-14,19.0
2017-12-15,28.0
2017-12-16,0.0
2017-12-17,0.0
2017-12-18,42.0
2017-12-19,23.0
2017-12-20,32.0
2017-12-21,12.0
2017-12-22,13.0
2017-12-23,14.0
2017-12-24,10.0
2017-12-25,0.0
2017-12-26,17.0
2017-12-27,20.0
2017-12-28,16.0
2017-12-29,21.0
2017-12-30,9.0
2017-12-31,9.0
2018-01-01,5.0
2018-01-02,35.0
2018-01-03,34.0
2018-01-04,34.0
2018-01-05,19.0
2018-01-06,0.0
2018-01-07,12.0
2018-01-08,30.0
2018-01-09,29.0
2018-01-10,29.0
2018-01-11,30.0
2018-01-12,23.0
2018-01-13,13.0
2018-01-14,4.0
2018-01-15,11.0
2018-01-16,43.0
2018-01-17,29.0
2018-01-18,18.0
2018-01-19,26.0
2018-01-20,17.0
2018-01-21,4.0
2018-01-22,40.0
2018-01-23,18.0
2018-01-24,39.0
2018-01-25,40.0
2018-01-26,53.0
2018-01-27,17.0
2018-01-28,17.0
2018-01-29,36.0
2018-01-30,43.0
2018-01-31,43.0
2018-02-01,80.0
2018-02-02,95.0
2018-02-03,8.0
2018-02-04,8.0
2018-02-05,29.0
2018-02-06,50.0
2018-02-07,21.0
2018-02-08,55.0
2018-02-09,53.0
2018-02-10,21.0
2018-02-11,4.0
2018-02-12,18.0
2018-02-13,58.0
2018-02-14,37.0
2018-02-15,56.0
2018-02-16,34.0
2018-02-17,0.0
2018-02-18,4.0
2018-02-19,18.0
2018-02-20,21.0
2018-02-21,43.0
2018-02-22,26.0
2018-02-23,15.0
2018-02-24,12.0
2018-02-25,0.0
2018-02-26,25.0
2018-02-27,29.0
2018-02-28,36.0
2018-03-01,39.0
2018-03-02,19.0
2018-03-03,4.0
2018-03-04,8.0
2018-03-05,42.0
2018-03-06,43.0
2018-03-07,39.0
2018-03-08,15.0
2018-03-09,34.0
2018-03-10,21.0
2018-03-11,4.0
2018-03-12,25.0
2018-03-13,11.0
2018-03-14,22.0
2018-03-15,36.0
2018-03-16,15.0
2018-03-17,8.0
2018-03-18,4.0
2018-03-19,47.0
2018-03-20,21.0
2018-03-21,22.0
2018-03-22,22.0
2018-03-23,34.0
2018-03-24,13.0
2018-03-25,4.0
2018-03-26,47.0
2018-03-27,36.0
2018-03-28,26.0
2018-03-29,27.0
2018-03-30,8.0
2018-03-31,9.0
2018-04-01,0.0
2018-04-02,27.0
2018-04-03,36.0
2018-04-04,25.0
2018-04-05,26.0
2018-04-06,19.0
2018-04-07,13.0
2018-04-08,0.0
2018-04-09,29.0
2018-04-10,7.0
2018-04-11,29.0
2018-04-12,44.0
2018-04-13,8.0
2018-04-14,4.0
2018-04-15,0.0
2018-04-16,18.0
2018-04-17,14.0
2018-04-18,26.0
2018-04-19,15.0
2018-04-20,41.0
2018-04-21,13.0
2018-04-22,0.0
2018-04-23,14.0
2018-04-24,18.0
2018-04-25,47.0
2018-04-26,25.0
2018-04-27,19.0
2018-04-28,17.0
2018-04-29,4.0
2018-04-30,11.0
2018-05-01,39.0
2018-05-02,29.0
2018-05-03,29.0
2018-05-04,19.0
2018-05-05,17.0
2018-05-06,4.0
2018-05-07,29.0
2018-05-08,29.0
2018-05-09,25.0
2018-05-10,22.0
2018-05-11,49.0
2018-05-12,8.0
2018-05-13,0.0
2018-05-14,58.0
2018-05-15,36.0
2018-05-16,15.0
2018-05-17,15.0
2018-05-18,38.0
2018-05-19,17.0
2018-05-20,9.0
2018-05-21,33.0
2018-05-22,47.0
2018-05-23,29.0
2018-05-24,26.0
2018-05-25,35.0
2018-05-26,0.0
2018-05-27,0.0
2018-05-28,0.0
2018-05-29,15.0
2018-05-30,25.0
2018-05-31,22.0
2018-06-01,54.0
2018-06-02,9.0
2018-06-02,10.82209405501331
2018-06-03,8.281573498964804
2018-06-04,30.39041703637977
