date,AMZN
2015-12-26,5
2015-12-27,5
2015-12-28,15
2015-12-29,22
2015-12-30,20
2015-12-31,15
2016-01-01,8
2016-01-02,5
2016-01-03,6
2016-01-04,24
2016-01-05,22
2016-01-06,22
2016-01-07,25
2016-01-08,21
2016-01-09,10
2016-01-10,4
2016-01-11,15
2016-01-12,18
2016-01-13,25
2016-01-14,24
2016-01-15,28
2016-01-16,9
2016-01-17,5
2016-01-18,10
2016-01-19,20
2016-01-20,24
2016-01-21,22
2016-01-22,20
2016-01-23,7
2016-01-24,5
2016-01-25,20
2016-01-26,21
2016-01-27,24
2016-01-28,91
2016-01-29,100
2016-01-30,19
2016-01-31,8
2016-02-01,27
2016-02-02,26
2016-02-03,28
2016-02-04,23
2016-02-05,29
2016-02-06,13
2016-02-07,6
2016-02-08,27
2016-02-09,30
2016-02-10,29
2016-02-11,28
2016-02-12,22
2016-02-13,8
2016-02-14,4
2016-02-15,11
2016-02-16,21
2016-02-17,20
2016-02-18,20
2016-02-19,18
2016-02-20,8
2016-02-21,4
2016-02-22,18
2016-02-23,20
2016-02-24,17
2016-02-25,19
2016-02-26,18
2016-02-27,5
2016-02-28,3
2016-02-29,15
2016-03-01,17
2016-03-02,17
2016-03-03,17
2016-03-04,15
2016-03-05,5
2016-03-06,3
2016-03-07,15
2016-03-08,16
2016-03-09,15
2016-03-10,15
2016-03-11,16
2016-03-12,6
2016-03-13,4
2016-03-14,13
2016-03-15,14
2016-03-16,13
2016-03-17,19
2016-03-18,15
2016-03-19,6
2016-03-20,4
2016-03-21,14
2016-03-22,14
2016-03-23,14
2016-03-24,14
2016-03-25,10
2016-03-26,4
2016-03-27,3
2016-03-28,14
2016-03-29,16
2016-03-30,16
2016-03-31,14
2016-04-01,14
2016-04-02,5
2016-04-03,3
2016-04-04,13
2016-04-05,13
2016-04-06,14
2016-04-07,16
2016-04-08,16
2016-04-09,6
2016-04-10,4
2016-04-11,14
2016-04-12,14
2016-04-13,16
2016-04-14,19
2016-04-15,16
2016-04-16,7
2016-04-17,5
2016-04-18,20
2016-04-19,22
2016-04-20,18
2016-04-21,17
2016-04-22,19
2016-04-23,5
2016-04-24,6
2016-04-25,15
2016-04-26,17
2016-04-27,23
2016-04-28,78
2016-04-29,85
2016-04-30,15
2016-05-01,8
2016-05-02,31
2016-05-03,30
2016-05-04,22
2016-05-05,22
2016-05-06,20
2016-05-07,8
2016-05-08,6
2016-05-09,19
2016-05-10,34
2016-05-11,37
2016-05-12,30
2016-05-13,30
2016-05-14,11
2016-05-15,7
2016-05-16,25
2016-05-17,22
2016-05-18,21
2016-05-19,20
2016-05-20,18
2016-05-21,8
2016-05-22,6
2016-05-23,17
2016-05-24,17
2016-05-25,18
2016-05-26,19
2016-05-27,16
2016-05-28,5
2016-05-29,4
2016-05-30,6
2016-05-31,18
2016-06-01,22
2016-06-02,17
2016-06-03,17
2016-06-04,5
2016-06-05,5
2016-06-06,15
2016-06-07,18
2016-06-08,17
2016-06-09,15
2016-06-10,15
2016-06-11,6
2016-06-12,3
2016-06-13,17
2016-06-14,16
2016-06-15,14
2016-06-16,15
2016-06-17,14
2016-06-18,5
2016-06-19,4
2016-06-20,15
2016-06-21,14
2016-06-22,13
2016-06-23,13
2016-06-24,38
2016-06-25,8
2016-06-26,4
2016-06-27,23
2016-06-28,20
2016-06-29,18
2016-06-30,15
2016-07-01,16
2016-07-02,8
2016-07-03,6
2016-07-04,5
2016-07-05,16
2016-07-06,18
2016-07-07,18
2016-07-08,20
2016-07-09,9
2016-07-10,7
2016-07-11,25
2016-07-12,34
2016-07-13,29
2016-07-14,23
2016-07-15,18
2016-07-16,7
2016-07-17,6
2016-07-18,19
2016-07-19,21
2016-07-20,19
2016-07-21,21
2016-07-22,19
2016-07-23,7
2016-07-24,7
2016-07-25,18
2016-07-26,21
2016-07-27,25
2016-07-28,77
2016-07-29,71
2016-07-30,15
2016-07-31,8
2016-08-01,25
2016-08-02,21
2016-08-03,19
2016-08-04,19
2016-08-05,21
2016-08-06,8
2016-08-07,6
2016-08-08,19
2016-08-09,19
2016-08-10,15
2016-08-11,18
2016-08-12,15
2016-08-13,5
2016-08-14,4
2016-08-15,15
2016-08-16,14
2016-08-17,15
2016-08-18,13
2016-08-19,13
2016-08-20,5
2016-08-21,4
2016-08-22,12
2016-08-23,16
2016-08-24,12
2016-08-25,12
2016-08-26,14
2016-08-27,5
2016-08-28,4
2016-08-29,13
2016-08-30,15
2016-08-31,12
2016-09-01,13
2016-09-02,13
2016-09-03,5
2016-09-04,4
2016-09-05,6
2016-09-06,19
2016-09-07,18
2016-09-08,17
2016-09-09,16
2016-09-10,8
2016-09-11,5
