date,ATVI,isPartial
2013-02-19,26,False
2013-02-20,33,False
2013-02-21,15,False
2013-02-22,20,False
2013-02-23,12,False
2013-02-24,10,False
2013-02-25,16,False
2013-02-26,15,False
2013-02-27,17,False
2013-02-28,18,False
2013-03-01,20,False
2013-03-02,7,False
2013-03-03,5,False
2013-03-04,9,False
2013-03-05,28,False
2013-03-06,12,False
2013-03-07,21,False
2013-03-08,23,False
2013-03-09,5,False
2013-03-10,7,False
2013-03-11,13,False
2013-03-12,14,False
2013-03-13,6,False
2013-03-14,17,False
2013-03-15,21,False
2013-03-16,7,False
2013-03-17,10,False
2013-03-18,17,False
2013-03-19,13,False
2013-03-20,17,False
2013-03-21,12,False
2013-03-22,5,False
2013-03-23,15,False
2013-03-24,8,False
2013-03-25,12,False
2013-03-26,16,False
2013-03-27,16,False
2013-03-28,20,False
2013-03-29,10,False
2013-03-30,7,False
2013-03-31,0,False
2013-04-01,8,False
2013-04-02,9,False
2013-04-03,7,False
2013-04-04,12,False
2013-04-05,12,False
2013-04-06,3,False
2013-04-07,3,False
2013-04-08,10,False
2013-04-09,11,False
2013-04-10,9,False
2013-04-11,14,False
2013-04-12,20,False
2013-04-13,9,False
2013-04-14,10,False
2013-04-15,14,False
2013-04-16,9,False
2013-04-17,13,False
2013-04-18,13,False
2013-04-19,11,False
2013-04-20,7,False
2013-04-21,7,False
2013-04-22,10,False
2013-04-23,12,False
2013-04-24,9,False
2013-04-25,12,False
2013-04-26,6,False
2013-04-27,21,False
2013-04-28,0,False
2013-04-29,17,False
2013-04-30,13,False
2013-05-01,8,False
2013-05-02,9,False
2013-05-03,14,False
2013-05-04,7,False
2013-05-05,7,False
2013-05-06,9,False
2013-05-07,14,False
2013-05-08,32,False
2013-05-09,39,False
2013-05-10,24,False
2013-05-11,14,False
2013-05-12,7,False
2013-05-13,13,False
2013-05-14,16,False
2013-05-15,23,False
2013-05-16,10,False
2013-05-17,15,False
2013-05-18,9,False
2013-05-19,3,False
2013-05-20,13,False
2013-05-21,28,False
2013-05-22,17,False
2013-05-23,22,False
2013-05-24,9,False
2013-05-25,9,False
2013-05-26,5,False
2013-05-27,4,False
2013-05-28,11,False
2013-05-29,13,False
2013-05-30,10,False
2013-05-31,15,False
2013-06-01,14,False
2013-06-02,10,False
2013-06-03,11,False
2013-06-04,11,False
2013-06-05,14,False
2013-06-06,17,False
2013-06-07,4,False
2013-06-08,14,False
2013-06-09,3,False
2013-06-10,11,False
2013-06-11,11,False
2013-06-12,16,False
2013-06-13,9,False
2013-06-14,9,False
2013-06-15,0,False
2013-06-16,7,False
2013-06-17,20,False
2013-06-18,9,False
2013-06-19,9,False
2013-06-20,12,False
2013-06-21,18,False
2013-06-22,5,False
2013-06-23,5,False
2013-06-24,19,False
2013-06-25,16,False
2013-06-26,13,False
2013-06-27,7,False
2013-06-28,15,False
2013-06-29,7,False
2013-06-30,0,False
2013-07-01,12,False
2013-07-02,14,False
2013-07-03,7,False
2013-07-04,6,False
2013-07-05,5,False
2013-07-06,5,False
2013-07-07,11,False
2013-07-08,16,False
2013-07-09,12,False
2013-07-10,16,False
2013-07-11,13,False
2013-07-12,14,False
2013-07-13,13,False
2013-07-14,4,False
2013-07-15,13,False
2013-07-16,9,False
2013-07-17,9,False
2013-07-18,12,False
2013-07-19,15,False
2013-07-20,7,False
2013-07-21,7,False
2013-07-22,9,False
2013-07-23,14,False
2013-07-24,15,False
2013-07-25,12,False
2013-07-26,100,False
2013-07-27,27,False
2013-07-28,26,False
2013-07-29,39,False
2013-07-30,39,False
2013-07-31,23,False
2013-08-01,19,False
2013-08-02,32,False
2013-08-03,11,False
2013-08-04,5,False
2013-08-05,19,False
2013-08-06,10,False
2013-08-07,12,False
2013-08-08,14,False
2013-08-09,11,False
2013-08-10,5,False
2013-08-11,9,False
2013-08-12,16,False
2013-08-13,13,False
2013-08-14,24,False
2013-08-15,17,False
2013-08-16,17,False
2013-08-17,7,False
2013-08-18,5,False
2013-08-19,12,False
2013-08-20,23,False
2013-08-21,6,False
2013-08-22,15,False
2013-08-23,23,False
2013-08-24,7,False
2013-08-25,9,False
2013-08-26,13,False
2013-08-27,15,False
2013-08-28,15,False
2013-08-29,7,False
2013-08-30,9,False
2013-08-31,9,False
2013-09-01,5,False
2013-09-02,7,False
2013-09-03,18,False
2013-09-04,13,False
2013-09-05,21,False
2013-09-06,10,False
2013-09-07,10,False
2013-09-08,8,False
2013-09-09,22,False
2013-09-10,11,False
2013-09-11,10,False
2013-09-12,18,False
2013-09-13,13,False
2013-09-14,16,False
2013-09-15,6,False
2013-09-16,12,False
2013-09-17,14,False
2013-09-18,16,False
2013-09-19,15,False
2013-09-20,10,False
2013-09-21,11,False
2013-09-22,5,False
2013-09-23,17,False
2013-09-24,16,False
2013-09-25,15,False
2013-09-26,10,False
2013-09-27,15,False
2013-09-28,8,False
2013-09-29,10,False
2013-09-30,16,False
2013-10-01,13,False
2013-10-02,14,False
2013-10-03,5,False
2013-10-04,9,False
2013-10-05,13,False
2013-10-06,3,False
2013-10-07,12,False
2013-10-08,7,False
2013-10-09,16,False
2013-10-10,12,False
2013-10-11,17,False
2013-10-12,10,False
2013-10-13,8,False
2013-10-14,20,False
2013-10-15,19,False
2013-10-16,18,False
2013-10-17,11,False
2013-10-18,10,False
2013-10-19,5,False
2013-10-20,6,False
2013-10-21,15,False
2013-10-22,16,False
2013-10-23,15,False
2013-10-24,16,False
2013-10-25,10,False
2013-10-26,6,False
2013-10-27,11,False
2013-10-28,8,False
2013-10-29,25,False
2013-10-30,19,False
2013-10-31,15,False
2013-11-01,16,False
2013-11-02,3,False
2013-11-03,9,False
2013-11-04,27,False
2013-11-05,24,False
2013-11-06,40,False
