date,AVGO
2014-07-24,11
2014-07-25,19
2014-07-26,6
2014-07-27,13
2014-07-28,26
2014-07-29,10
2014-07-30,21
2014-07-31,13
2014-08-01,22
2014-08-02,25
2014-08-03,9
2014-08-04,26
2014-08-05,33
2014-08-06,16
2014-08-07,19
2014-08-08,17
2014-08-09,19
2014-08-10,16
2014-08-11,10
2014-08-12,15
2014-08-13,26
2014-08-14,8
2014-08-15,17
2014-08-16,16
2014-08-17,12
2014-08-18,26
2014-08-19,13
2014-08-20,23
2014-08-21,21
2014-08-22,16
2014-08-23,12
2014-08-24,12
2014-08-25,20
2014-08-26,12
2014-08-27,10
2014-08-28,33
2014-08-29,68
2014-08-30,36
2014-08-31,33
2014-09-01,13
2014-09-02,32
2014-09-03,15
2014-09-04,22
2014-09-05,23
2014-09-06,12
2014-09-07,17
2014-09-08,29
2014-09-09,33
2014-09-10,41
2014-09-11,27
2014-09-12,13
2014-09-13,15
2014-09-14,20
2014-09-15,31
2014-09-16,24
2014-09-17,10
2014-09-18,17
2014-09-19,23
2014-09-20,17
2014-09-21,34
2014-09-22,24
2014-09-23,26
2014-09-24,29
2014-09-25,29
2014-09-26,15
2014-09-27,21
2014-09-28,9
2014-09-29,14
2014-09-30,19
2014-10-01,12
2014-10-02,37
2014-10-03,37
2014-10-04,12
2014-10-05,0
2014-10-06,19
2014-10-07,14
2014-10-08,26
2014-10-09,12
2014-10-10,30
2014-10-11,17
2014-10-12,6
2014-10-13,19
2014-10-14,17
2014-10-15,14
2014-10-16,22
2014-10-17,20
2014-10-18,29
2014-10-19,8
2014-10-20,16
2014-10-21,24
2014-10-22,19
2014-10-23,29
2014-10-24,13
2014-10-25,20
2014-10-26,6
2014-10-27,25
2014-10-28,21
2014-10-29,28
2014-10-30,29
2014-10-31,20
2014-11-01,17
2014-11-02,8
2014-11-03,42
2014-11-04,38
2014-11-05,23
2014-11-06,9
2014-11-07,17
2014-11-08,20
2014-11-09,25
2014-11-10,33
2014-11-11,16
2014-11-12,34
2014-11-13,19
2014-11-14,17
2014-11-15,14
2014-11-16,5
2014-11-17,30
2014-11-18,10
2014-11-19,15
2014-11-20,24
2014-11-21,29
2014-11-22,14
2014-11-23,5
2014-11-24,21
2014-11-25,28
2014-11-26,7
2014-11-27,24
2014-11-28,7
2014-11-29,8
2014-11-30,11
2014-12-01,32
2014-12-02,32
2014-12-03,66
2014-12-04,61
2014-12-05,44
2014-12-06,11
2014-12-07,33
2014-12-08,30
2014-12-09,27
2014-12-10,25
2014-12-11,21
2014-12-12,17
2014-12-13,34
2014-12-14,16
2014-12-15,35
2014-12-16,16
2014-12-17,21
2014-12-18,34
2014-12-19,15
2014-12-20,6
2014-12-21,17
2014-12-22,17
2014-12-23,36
2014-12-24,23
2014-12-25,13
2014-12-26,31
2014-12-27,11
2014-12-28,11
2014-12-29,15
2014-12-30,25
2014-12-31,22
2015-01-01,15
2015-01-02,28
2015-01-03,5
2015-01-04,18
2015-01-05,21
2015-01-06,23
2015-01-07,40
2015-01-08,16
2015-01-09,49
2015-01-10,34
2015-01-11,10
2015-01-12,18
2015-01-13,24
2015-01-14,20
2015-01-15,20
2015-01-16,21
2015-01-17,24
2015-01-18,10
2015-01-19,22
2015-01-20,24
2015-01-21,44
2015-01-22,29
2015-01-23,21
2015-01-24,18
2015-01-25,10
2015-01-26,15
2015-01-27,18
2015-01-28,33
2015-01-29,22
2015-01-30,28
2015-01-31,21
2015-02-01,15
2015-02-02,11
2015-02-03,18
2015-02-04,15
2015-02-05,27
2015-02-06,32
2015-02-07,10
2015-02-08,8
2015-02-09,13
2015-02-10,22
2015-02-11,28
2015-02-12,20
2015-02-13,19
2015-02-14,8
2015-02-15,11
2015-02-16,14
2015-02-17,34
2015-02-18,11
2015-02-19,18
2015-02-20,33
2015-02-21,21
2015-02-22,20
2015-02-23,17
2015-02-24,41
2015-02-25,66
2015-02-26,100
2015-02-27,73
2015-02-28,20
2015-03-01,12
2015-03-02,50
2015-03-03,30
2015-03-04,35
2015-03-05,24
2015-03-06,35
2015-03-07,16
2015-03-08,18
2015-03-09,28
2015-03-10,33
2015-03-11,28
2015-03-12,29
2015-03-13,25
2015-03-14,26
2015-03-15,10
2015-03-16,37
2015-03-17,11
2015-03-18,31
2015-03-19,20
2015-03-20,23
2015-03-21,18
2015-03-22,15
2015-03-23,35
2015-03-24,26
2015-03-25,26
2015-03-26,40
2015-03-27,41
2015-03-28,17
2015-03-29,32
2015-03-30,26
2015-03-31,20
2015-04-01,16
2015-04-02,33
2015-04-03,25
2015-04-04,8
2015-04-05,19
2015-04-06,12
2015-04-07,24
2015-04-08,24
2015-04-09,29
2015-04-10,35
