date,value
2016-08-21,13.0
2016-08-22,22.0
2016-08-23,29.0
2016-08-24,29.0
2016-08-25,13.0
2016-08-26,21.0
2016-08-27,21.0
2016-08-28,5.0
2016-08-29,33.0
2016-08-30,17.0
2016-08-31,55.0
2016-09-01,100.0
2016-09-02,49.0
2016-09-03,3.0
2016-09-04,13.0
2016-09-05,7.0
2016-09-06,21.0
2016-09-07,46.0
2016-09-08,20.0
2016-09-09,22.0
2016-09-10,8.0
2016-09-11,13.0
2016-09-12,24.0
2016-09-13,28.0
2016-09-14,35.0
2016-09-15,22.0
2016-09-16,20.0
2016-09-17,20.0
2016-09-18,10.0
2016-09-19,19.0
2016-09-20,23.0
2016-09-21,17.0
2016-09-22,25.0
2016-09-23,32.0
2016-09-24,3.0
2016-09-25,7.0
2016-09-26,11.0
2016-09-27,15.0
2016-09-28,21.0
2016-09-29,17.0
2016-09-30,34.0
2016-10-01,17.0
2016-10-02,5.0
2016-10-03,21.0
2016-10-04,21.0
2016-10-05,19.0
2016-10-06,17.0
2016-10-07,24.0
2016-10-08,7.0
2016-10-09,7.0
2016-10-10,19.0
2016-10-11,17.0
2016-10-12,19.0
2016-10-13,17.0
2016-10-14,11.0
2016-10-15,17.0
2016-10-16,10.0
2016-10-17,20.0
2016-10-18,19.0
2016-10-19,21.0
2016-10-20,22.0
2016-10-21,30.0
2016-10-22,7.0
2016-10-23,7.0
2016-10-24,31.0
2016-10-25,23.0
2016-10-26,26.0
2016-10-27,21.0
2016-10-28,18.0
2016-10-29,0.0
2016-10-30,2.0
2016-10-31,17.0
2016-11-01,32.0
2016-11-02,48.0
2016-11-03,31.0
2016-11-04,15.0
2016-11-05,7.0
2016-11-06,12.0
2016-11-07,14.0
2016-11-08,22.0
2016-11-09,27.0
2016-11-10,31.0
2016-11-11,26.0
2016-11-12,12.0
2016-11-13,14.0
2016-11-14,18.0
2016-11-15,4.0
2016-11-16,16.0
2016-11-17,29.0
2016-11-18,36.0
2016-11-19,10.0
2016-11-20,7.0
2016-11-21,10.0
2016-11-22,26.0
2016-11-23,21.0
2016-11-24,15.0
2016-11-25,23.0
