date,AVP
2014-03-16,33
2014-03-17,31
2014-03-18,37
2014-03-19,38
2014-03-20,33
2014-03-21,35
2014-03-22,36
2014-03-23,26
2014-03-24,42
2014-03-25,39
2014-03-26,37
2014-03-27,38
2014-03-28,36
2014-03-29,40
2014-03-30,35
2014-03-31,39
2014-04-01,34
2014-04-02,35
2014-04-03,38
2014-04-04,38
2014-04-05,38
2014-04-06,31
2014-04-07,36
2014-04-08,41
2014-04-09,37
2014-04-10,31
2014-04-11,38
2014-04-12,31
2014-04-13,30
2014-04-14,39
2014-04-15,37
2014-04-16,36
2014-04-17,38
2014-04-18,37
2014-04-19,39
2014-04-20,24
2014-04-21,34
2014-04-22,37
2014-04-23,35
2014-04-24,36
2014-04-25,32
2014-04-26,32
2014-04-27,32
2014-04-28,33
2014-04-29,35
2014-04-30,30
2014-05-01,37
2014-05-02,48
2014-05-03,28
2014-05-04,30
2014-05-05,37
2014-05-06,37
2014-05-07,37
2014-05-08,41
2014-05-09,33
2014-05-10,29
2014-05-11,35
2014-05-12,42
2014-05-13,37
2014-05-14,38
2014-05-15,35
2014-05-16,100
2014-05-17,38
2014-05-18,41
2014-05-19,36
2014-05-20,41
2014-05-21,37
2014-05-22,47
2014-05-23,42
2014-05-24,38
2014-05-25,27
2014-05-26,42
2014-05-27,39
2014-05-28,39
2014-05-29,35
2014-05-30,40
2014-05-31,47
2014-06-01,44
2014-06-02,35
2014-06-03,42
2014-06-04,42
2014-06-05,33
2014-06-06,38
2014-06-07,29
2014-06-08,37
2014-06-09,32
2014-06-10,38
2014-06-11,35
2014-06-12,32
2014-06-13,35
2014-06-14,36
2014-06-15,32
2014-06-16,33
2014-06-17,39
2014-06-18,30
2014-06-19,38
2014-06-20,36
2014-06-21,32
2014-06-22,30
2014-06-23,41
2014-06-24,39
2014-06-25,35
2014-06-26,31
2014-06-27,32
2014-06-28,36
2014-06-29,37
2014-06-30,37
2014-07-01,42
2014-07-02,33
2014-07-03,41
2014-07-04,41
2014-07-05,37
2014-07-06,40
2014-07-07,42
2014-07-08,37
2014-07-09,36
2014-07-10,40
2014-07-11,34
2014-07-12,26
2014-07-13,30
2014-07-14,38
2014-07-15,37
2014-07-16,35
2014-07-17,37
2014-07-18,32
2014-07-19,27
2014-07-20,26
2014-07-21,35
2014-07-22,38
2014-07-23,44
2014-07-24,43
2014-07-25,34
2014-07-26,37
2014-07-27,30
2014-07-28,40
2014-07-29,43
2014-07-30,35
2014-07-31,36
2014-08-01,33
2014-08-02,32
2014-08-03,33
2014-08-04,40
2014-08-05,43
2014-08-06,45
2014-08-07,38
2014-08-08,39
2014-08-09,41
2014-08-10,39
2014-08-11,34
2014-08-12,39
2014-08-13,41
2014-08-14,40
2014-08-15,40
2014-08-16,38
2014-08-17,48
2014-08-18,36
2014-08-19,38
2014-08-20,37
2014-08-21,32
2014-08-22,32
2014-08-23,34
2014-08-24,35
2014-08-25,42
2014-08-26,38
2014-08-27,34
2014-08-28,40
2014-08-29,33
2014-08-30,46
2014-08-31,43
2014-09-01,32
2014-09-02,38
2014-09-03,40
2014-09-04,44
2014-09-05,40
2014-09-06,43
2014-09-07,34
2014-09-08,34
2014-09-09,36
2014-09-10,38
2014-09-11,39
2014-09-12,39
2014-09-13,27
2014-09-14,29
2014-09-15,37
2014-09-16,37
2014-09-17,40
2014-09-18,41
2014-09-19,42
2014-09-20,45
2014-09-21,38
2014-09-22,41
2014-09-23,40
2014-09-24,38
2014-09-25,36
2014-09-26,34
2014-09-27,32
2014-09-28,22
2014-09-29,30
2014-09-30,45
2014-10-01,42
2014-10-02,40
2014-10-03,38
2014-10-04,33
2014-10-05,28
2014-10-06,39
2014-10-07,43
2014-10-08,61
2014-10-09,61
2014-10-10,44
2014-10-11,37
2014-10-12,45
2014-10-13,45
2014-10-14,46
2014-10-15,47
2014-10-16,47
2014-10-17,45
2014-10-18,43
2014-10-19,49
2014-10-20,42
2014-10-21,46
2014-10-22,40
2014-10-23,39
2014-10-24,34
2014-10-25,34
2014-10-26,38
2014-10-27,38
2014-10-28,44
2014-10-29,40
2014-10-30,38
2014-10-31,44
2014-11-01,33
2014-11-02,35
2014-11-03,44
2014-11-04,41
2014-11-05,38
2014-11-06,40
2014-11-07,30
2014-11-08,35
2014-11-09,33
2014-11-10,38
2014-11-11,40
2014-11-12,37
2014-11-13,32
2014-11-14,31
2014-11-15,38
2014-11-16,35
2014-11-17,34
2014-11-18,39
2014-11-19,38
2014-11-20,31
2014-11-21,36
2014-11-22,35
2014-11-23,34
2014-11-24,38
2014-11-25,35
2014-11-26,36
2014-11-27,36
2014-11-28,32
2014-11-29,36
2014-11-30,32
2014-12-01,35
