date,BIDU
2014-03-16,56
2014-03-17,73
2014-03-18,75
2014-03-19,81
2014-03-20,78
2014-03-21,72
2014-03-22,66
2014-03-23,50
2014-03-24,80
2014-03-25,72
2014-03-26,76
2014-03-27,80
2014-03-28,74
2014-03-29,64
2014-03-30,59
2014-03-31,75
2014-04-01,86
2014-04-02,81
2014-04-03,76
2014-04-04,75
2014-04-05,57
2014-04-06,53
2014-04-07,81
2014-04-08,82
2014-04-09,75
2014-04-10,68
2014-04-11,70
2014-04-12,62
2014-04-13,59
2014-04-14,81
2014-04-15,78
2014-04-16,76
2014-04-17,75
2014-04-18,53
2014-04-19,58
2014-04-20,55
2014-04-21,65
2014-04-22,73
2014-04-23,76
2014-04-24,76
2014-04-25,74
2014-04-26,66
2014-04-27,56
2014-04-28,74
2014-04-29,74
2014-04-30,71
2014-05-01,72
2014-05-02,68
2014-05-03,70
2014-05-04,68
2014-05-05,82
2014-05-06,71
2014-05-07,74
2014-05-08,77
2014-05-09,65
2014-05-10,53
2014-05-11,48
2014-05-12,67
2014-05-13,78
2014-05-14,74
2014-05-15,79
2014-05-16,68
2014-05-17,60
2014-05-18,55
2014-05-19,73
2014-05-20,77
2014-05-21,74
2014-05-22,73
2014-05-23,79
2014-05-24,67
2014-05-25,59
2014-05-26,82
2014-05-27,75
2014-05-28,72
2014-05-29,82
2014-05-30,76
2014-05-31,60
2014-06-01,69
2014-06-02,78
2014-06-03,82
2014-06-04,63
2014-06-05,75
2014-06-06,65
2014-06-07,60
2014-06-08,62
2014-06-09,77
2014-06-10,80
2014-06-11,67
2014-06-12,56
2014-06-13,72
2014-06-14,61
2014-06-15,58
2014-06-16,79
2014-06-17,75
2014-06-18,81
2014-06-19,59
2014-06-20,74
2014-06-21,61
2014-06-22,56
2014-06-23,62
2014-06-24,75
2014-06-25,71
2014-06-26,68
2014-06-27,79
2014-06-28,56
2014-06-29,58
2014-06-30,84
2014-07-01,97
2014-07-02,83
2014-07-03,80
2014-07-04,75
2014-07-05,64
2014-07-06,62
2014-07-07,86
2014-07-08,69
2014-07-09,75
2014-07-10,84
2014-07-11,81
2014-07-12,66
2014-07-13,57
2014-07-14,78
2014-07-15,89
2014-07-16,84
2014-07-17,81
2014-07-18,79
2014-07-19,67
2014-07-20,56
2014-07-21,80
2014-07-22,79
2014-07-23,89
2014-07-24,100
2014-07-25,93
2014-07-26,68
2014-07-27,58
2014-07-28,97
2014-07-29,82
2014-07-30,88
2014-07-31,76
2014-08-01,88
2014-08-02,74
2014-08-03,66
2014-08-04,88
2014-08-05,82
2014-08-06,85
2014-08-07,82
2014-08-08,75
2014-08-09,65
2014-08-10,52
2014-08-11,76
2014-08-12,75
2014-08-13,76
2014-08-14,79
2014-08-15,82
2014-08-16,66
2014-08-17,57
2014-08-18,75
2014-08-19,73
2014-08-20,75
2014-08-21,76
2014-08-22,71
2014-08-23,53
2014-08-24,66
2014-08-25,80
2014-08-26,72
2014-08-27,79
2014-08-28,74
2014-08-29,71
2014-08-30,58
2014-08-31,56
2014-09-01,80
2014-09-02,78
2014-09-03,79
2014-09-04,71
2014-09-05,76
2014-09-06,56
2014-09-07,49
2014-09-08,65
2014-09-09,69
2014-09-10,67
2014-09-11,68
2014-09-12,72
2014-09-13,54
2014-09-14,55
2014-09-15,77
2014-09-16,76
2014-09-17,85
2014-09-18,73
2014-09-19,86
2014-09-20,58
2014-09-21,55
2014-09-22,70
2014-09-23,66
2014-09-24,80
2014-09-25,82
2014-09-26,74
2014-09-27,63
2014-09-28,58
2014-09-29,86
2014-09-30,73
2014-10-01,87
2014-10-02,78
2014-10-03,74
2014-10-04,61
2014-10-05,52
2014-10-06,72
2014-10-07,69
2014-10-08,74
2014-10-09,68
2014-10-10,64
2014-10-11,53
2014-10-12,56
2014-10-13,73
2014-10-14,72
2014-10-15,65
2014-10-16,68
2014-10-17,71
2014-10-18,62
2014-10-19,56
2014-10-20,71
2014-10-21,71
2014-10-22,71
2014-10-23,74
2014-10-24,72
2014-10-25,61
2014-10-26,51
2014-10-27,74
2014-10-28,82
2014-10-29,84
2014-10-30,81
2014-10-31,76
2014-11-01,74
2014-11-02,61
2014-11-03,83
2014-11-04,79
2014-11-05,72
2014-11-06,74
2014-11-07,72
2014-11-08,55
2014-11-09,50
2014-11-10,72
2014-11-11,77
2014-11-12,77
2014-11-13,75
2014-11-14,72
2014-11-15,55
2014-11-16,58
2014-11-17,89
2014-11-18,72
2014-11-19,84
2014-11-20,70
2014-11-21,75
2014-11-22,65
2014-11-23,52
2014-11-24,76
2014-11-25,74
2014-11-26,73
2014-11-27,63
2014-11-28,65
2014-11-29,53
2014-11-30,53
2014-12-01,84
