date,BIIB
2017-01-19,32
2017-01-20,41
2017-01-21,18
2017-01-22,13
2017-01-23,20
2017-01-24,31
2017-01-25,60
2017-01-26,84
2017-01-27,52
2017-01-28,23
2017-01-29,23
2017-01-30,24
2017-01-31,37
2017-02-01,28
2017-02-02,100
2017-02-03,60
2017-02-04,25
2017-02-05,13
2017-02-06,32
2017-02-07,36
2017-02-08,34
2017-02-09,31
2017-02-10,46
2017-02-11,15
2017-02-12,15
2017-02-13,40
2017-02-14,48
2017-02-15,62
2017-02-16,34
2017-02-17,35
2017-02-18,20
2017-02-19,15
2017-02-20,14
2017-02-21,30
2017-02-22,49
2017-02-23,41
2017-02-24,36
2017-02-25,7
2017-02-26,20
2017-02-27,27
2017-02-28,37
2017-03-01,43
2017-03-02,35
2017-03-03,46
2017-03-04,24
2017-03-05,13
2017-03-06,31
2017-03-07,29
2017-03-08,32
2017-03-09,25
2017-03-10,23
2017-03-11,15
2017-03-12,16
2017-03-13,29
2017-03-14,26
2017-03-15,18
2017-03-16,73
2017-03-17,49
2017-03-18,13
2017-03-19,8
2017-03-20,38
2017-03-21,36
2017-03-22,42
2017-03-23,34
2017-03-24,25
2017-03-25,22
2017-03-26,16
2017-03-27,31
2017-03-28,37
2017-03-29,38
2017-03-30,41
2017-03-31,43
2017-04-01,15
