date,value
2017-09-17,0.0
2017-09-18,19.0
2017-09-19,19.0
2017-09-20,29.0
2017-09-21,26.0
2017-09-22,20.0
2017-09-23,11.0
2017-09-24,0.0
2017-09-25,19.0
2017-09-26,13.0
2017-09-27,19.0
2017-09-28,16.0
2017-09-29,17.0
2017-09-30,11.0
2017-10-01,4.0
2017-10-02,29.0
2017-10-03,13.0
2017-10-04,10.0
2017-10-05,23.0
2017-10-06,23.0
2017-10-07,4.0
2017-10-08,7.0
2017-10-09,26.0
2017-10-10,16.0
2017-10-11,29.0
2017-10-12,36.0
2017-10-13,27.0
2017-10-14,19.0
2017-10-15,4.0
2017-10-16,25.0
2017-10-17,41.0
2017-10-18,16.0
2017-10-19,36.0
2017-10-20,27.0
2017-10-21,7.0
2017-10-22,0.0
2017-10-23,37.0
2017-10-24,100.0
2017-10-25,57.0
2017-10-26,41.0
2017-10-27,23.0
2017-10-28,4.0
2017-10-29,14.0
2017-10-30,22.0
2017-10-31,26.0
2017-11-01,33.0
2017-11-02,26.0
2017-11-03,29.0
2017-11-04,7.0
2017-11-05,10.0
2017-11-06,18.0
2017-11-07,31.0
2017-11-08,25.0
2017-11-09,12.0
2017-11-10,32.0
2017-11-11,4.0
2017-11-12,7.0
2017-11-13,25.0
2017-11-14,22.0
2017-11-15,9.0
2017-11-16,18.0
2017-11-17,0.0
2017-11-18,0.0
2017-11-19,7.0
2017-11-20,24.0
2017-11-21,18.0
2017-11-22,22.0
2017-11-23,6.0
2017-11-24,10.0
2017-11-25,7.0
2017-11-26,10.0
2017-11-27,12.0
2017-11-28,18.0
2017-11-29,28.0
2017-11-30,16.0
2017-12-01,23.0
2017-12-02,7.0
2017-12-03,3.0
2017-12-04,15.0
2017-12-05,30.0
2017-12-06,21.0
2017-12-07,6.0
2017-12-08,26.0
2017-12-09,4.0
2017-12-10,7.0
2017-12-11,24.0
2017-12-12,21.0
2017-12-13,18.0
2017-12-14,25.0
2017-12-15,16.0
2017-12-16,4.0
2017-12-17,0.0
2017-12-18,19.0
2017-12-19,19.0
2017-12-20,23.0
2017-12-21,30.0
2017-12-22,18.0
2017-12-23,19.0
2017-12-24,12.0
2017-12-25,8.0
2017-12-26,7.0
2017-12-27,16.0
2017-12-28,10.0
2017-12-29,10.0
2017-12-30,4.0
2017-12-31,12.0
2018-01-01,4.0
2018-01-02,16.0
2018-01-03,50.0
2018-01-04,28.0
2018-01-05,16.0
2018-01-06,11.0
2018-01-07,3.0
2018-01-08,34.0
2018-01-09,18.0
2018-01-10,24.0
2018-01-11,19.0
2018-01-12,22.0
2018-01-13,10.0
2018-01-14,10.0
2018-01-15,12.0
2018-01-16,32.0
2018-01-17,21.0
2018-01-18,21.0
2018-01-19,31.0
2018-01-20,14.0
2018-01-21,7.0
2018-01-22,27.0
2018-01-23,27.0
2018-01-24,21.0
2018-01-25,39.0
2018-01-26,22.0
2018-01-27,14.0
2018-01-28,3.0
2018-01-29,30.0
2018-01-30,27.0
2018-01-31,29.0
2018-02-01,27.0
2018-02-02,13.0
2018-02-03,14.0
2018-02-04,7.0
2018-02-05,27.0
2018-02-06,24.0
2018-02-07,21.0
2018-02-08,12.0
2018-02-09,34.0
2018-02-10,14.0
2018-02-11,3.0
2018-02-12,9.0
2018-02-13,24.0
2018-02-14,33.0
2018-02-15,34.0
2018-02-16,31.0
2018-02-17,0.0
2018-02-18,10.0
2018-02-19,6.0
2018-02-20,35.0
2018-02-21,29.0
2018-02-22,21.0
2018-02-23,25.0
2018-02-24,10.0
2018-02-25,10.0
2018-02-26,21.0
2018-02-27,24.0
2018-02-28,32.0
2018-03-01,18.0
2018-03-02,34.0
2018-03-03,17.0
2018-03-04,23.0
2018-03-05,17.0
2018-03-06,21.0
2018-03-07,12.0
2018-03-08,18.0
2018-03-09,22.0
2018-03-10,14.0
2018-03-11,7.0
2018-03-12,20.0
2018-03-13,18.0
2018-03-14,18.0
2018-03-15,18.0
2018-03-16,9.0
2018-03-17,3.0
2018-03-18,7.0
2018-03-19,24.0
2018-03-20,23.0
2018-03-21,24.0
2018-03-22,27.0
2018-03-23,28.0
2018-03-24,10.0
2018-03-25,0.0
2018-03-26,24.0
2018-03-27,24.0
2018-03-28,25.0
2018-03-29,13.0
2018-03-30,10.0
2018-03-31,7.0
2018-04-01,0.0
2018-04-02,13.0
2018-04-03,15.0
2018-04-04,24.0
2018-04-05,9.0
2018-04-06,13.0
2018-04-07,7.0
2018-04-08,14.0
2018-04-09,27.0
2018-04-10,24.0
2018-04-11,24.0
2018-04-12,21.0
2018-04-13,16.0
2018-04-14,7.0
2018-04-15,3.0
2018-04-16,9.0
2018-04-17,12.0
2018-04-18,36.0
2018-04-19,18.0
2018-04-20,19.0
2018-04-21,4.0
2018-04-22,3.0
2018-04-23,23.0
2018-04-24,41.0
2018-04-25,30.0
2018-04-26,18.0
2018-04-27,22.0
2018-04-28,4.0
2018-04-29,10.0
2018-04-30,30.0
2018-05-01,29.0
2018-05-02,18.0
2018-05-03,21.0
2018-05-04,31.0
2018-05-05,4.0
