date,value
2016-08-21,10.0
2016-08-22,63.0
2016-08-23,73.0
2016-08-24,36.0
2016-08-25,100.0
2016-08-26,24.0
2016-08-27,22.0
2016-08-28,21.0
2016-08-29,9.0
2016-08-30,31.0
2016-08-31,18.0
2016-09-01,13.0
2016-09-02,28.0
2016-09-03,11.0
2016-09-04,0.0
2016-09-05,18.0
2016-09-06,35.0
2016-09-07,22.0
2016-09-08,13.0
2016-09-09,54.0
2016-09-10,10.0
2016-09-11,0.0
2016-09-12,22.0
2016-09-13,17.0
2016-09-14,9.0
2016-09-15,31.0
2016-09-16,9.0
2016-09-17,10.0
2016-09-18,0.0
2016-09-19,30.0
2016-09-20,39.0
2016-09-21,26.0
2016-09-22,48.0
2016-09-23,9.0
2016-09-24,10.0
2016-09-25,10.0
2016-09-26,22.0
2016-09-27,26.0
2016-09-28,17.0
2016-09-29,39.0
2016-09-30,18.0
2016-10-01,10.0
2016-10-02,19.0
2016-10-03,13.0
2016-10-04,25.0
2016-10-05,56.0
2016-10-06,26.0
2016-10-07,18.0
2016-10-08,0.0
2016-10-09,10.0
2016-10-10,35.0
2016-10-11,13.0
2016-10-12,17.0
2016-10-13,17.0
2016-10-14,27.0
2016-10-15,10.0
2016-10-16,10.0
2016-10-17,21.0
2016-10-18,21.0
2016-10-19,17.0
2016-10-20,25.0
2016-10-21,31.0
2016-10-22,10.0
2016-10-23,10.0
2016-10-24,30.0
2016-10-25,17.0
2016-10-26,12.0
2016-10-27,43.0
2016-10-28,18.0
2016-10-29,20.0
2016-10-30,20.0
2016-10-31,18.0
2016-11-01,9.0
2016-11-02,26.0
2016-11-03,34.0
2016-11-04,26.0
2016-11-05,10.0
2016-11-06,9.0
2016-11-07,25.0
2016-11-08,8.0
2016-11-09,23.0
2016-11-10,55.0
2016-11-11,22.0
2016-11-12,19.0
2016-11-13,0.0
2016-11-14,33.0
2016-11-15,42.0
2016-11-16,12.0
2016-11-17,38.0
2016-11-18,17.0
2016-11-19,24.0
2016-11-20,0.0
2016-11-21,33.0
2016-11-22,8.0
2016-11-23,30.0
2016-11-24,26.0
2016-11-25,17.0
2016-11-26,14.0
2016-11-27,0.0
2016-11-28,8.0
2016-11-29,16.0
2016-11-30,17.0
2016-12-01,17.0
2016-12-02,17.0
2016-12-03,19.0
2016-12-04,9.0
2016-12-05,25.0
2016-12-06,12.0
2016-12-07,17.0
2016-12-08,26.0
2016-12-09,36.0
2016-12-10,22.0
2016-12-11,10.0
2016-12-12,17.0
2016-12-13,12.0
2016-12-14,8.0
2016-12-15,8.0
2016-12-16,0.0
2016-12-17,10.0
2016-12-18,10.0
2016-12-19,8.0
2016-12-20,17.0
2016-12-21,13.0
2016-12-22,22.0
2016-12-23,38.0
2016-12-24,0.0
2016-12-25,11.0
2016-12-26,9.0
2016-12-27,22.0
2016-12-28,13.0
2016-12-29,18.0
2016-12-30,9.0
2016-12-31,10.0
2017-01-01,11.0
2017-01-02,9.0
2017-01-03,21.0
2017-01-04,25.0
2017-01-05,8.0
2017-01-06,13.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,20.0
2017-01-10,16.0
2017-01-11,8.0
2017-01-12,33.0
2017-01-13,17.0
2017-01-14,19.0
2017-01-15,9.0
2017-01-16,8.0
2017-01-17,8.0
2017-01-18,12.0
2017-01-19,20.0
2017-01-20,25.0
2017-01-21,9.0
2017-01-22,9.0
2017-01-23,16.0
2017-01-24,37.0
2017-01-25,32.0
2017-01-26,16.0
2017-01-27,25.0
2017-01-28,14.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,8.0
2017-02-01,36.0
2017-02-02,24.0
2017-02-03,21.0
2017-02-04,18.0
2017-02-05,0.0
2017-02-06,12.0
2017-02-07,32.0
2017-02-08,36.0
2017-02-09,32.0
2017-02-10,8.0
2017-02-11,9.0
2017-02-12,0.0
2017-02-13,16.0
2017-02-14,16.0
2017-02-15,24.0
2017-02-16,16.0
2017-02-17,13.0
2017-02-18,0.0
2017-02-19,9.0
2017-02-20,8.0
2017-02-21,16.0
2017-02-22,16.0
2017-02-23,32.0
2017-02-24,21.0
2017-02-25,9.0
2017-02-26,19.0
2017-02-27,20.0
2017-02-28,16.0
2017-03-01,32.0
2017-03-02,24.0
2017-03-03,8.0
2017-03-04,0.0
2017-03-05,9.0
2017-03-06,20.0
2017-03-07,8.0
2017-03-08,24.0
2017-03-09,16.0
2017-03-10,29.0
2017-03-11,18.0
2017-03-12,9.0
2017-03-13,16.0
2017-03-14,16.0
2017-03-15,23.0
2017-03-16,20.0
2017-03-17,33.0
2017-03-18,9.0
2017-03-19,0.0
2017-03-20,20.0
2017-03-21,16.0
2017-03-22,19.0
2017-03-23,8.0
2017-03-24,8.0
2017-03-25,9.0
2017-03-26,0.0
2017-03-27,16.0
2017-03-28,8.0
2017-03-29,16.0
2017-03-30,0.0
2017-03-31,17.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,24.0
2017-04-04,16.0
2017-04-05,16.0
2017-04-06,8.0
2017-04-07,8.0
2017-04-08,0.0
2017-04-09,10.0
2017-04-10,29.0
2017-04-11,12.0
2017-04-12,33.0
2017-04-13,21.0
2017-04-14,28.0
2017-04-15,10.0
2017-04-16,0.0
