date,BMRN,isPartial
2013-11-06,20,False
2013-11-07,20,False
2013-11-08,32,False
2013-11-09,12,False
2013-11-10,0,False
2013-11-11,30,False
2013-11-12,30,False
2013-11-13,10,False
2013-11-14,40,False
2013-11-15,32,False
2013-11-16,24,False
2013-11-17,23,False
2013-11-18,40,False
2013-11-19,60,False
2013-11-20,100,False
2013-11-21,50,False
2013-11-22,10,False
2013-11-23,12,False
2013-11-24,0,False
2013-11-25,39,False
2013-11-26,10,False
2013-11-27,30,False
2013-11-28,0,False
2013-11-29,21,False
2013-11-30,0,False
2013-12-01,0,False
2013-12-02,19,False
2013-12-03,30,False
2013-12-04,20,False
2013-12-05,0,False
2013-12-06,21,False
2013-12-07,0,False
2013-12-08,0,False
2013-12-09,10,False
2013-12-10,0,False
2013-12-11,10,False
2013-12-12,0,False
2013-12-13,0,False
2013-12-14,0,False
2013-12-15,0,False
2013-12-16,0,False
2013-12-17,20,False
2013-12-18,10,False
2013-12-19,0,False
2013-12-20,22,False
2013-12-21,0,False
2013-12-22,0,False
2013-12-23,0,False
2013-12-24,12,False
2013-12-25,13,False
2013-12-26,34,False
2013-12-27,0,False
2013-12-28,12,False
2013-12-29,0,False
2013-12-30,0,False
2013-12-31,0,False
2014-01-01,0,False
2014-01-02,0,False
2014-01-03,10,False
2014-01-04,0,False
2014-01-05,0,False
2014-01-06,20,False
2014-01-07,30,False
2014-01-08,0,False
2014-01-09,30,False
2014-01-10,31,False
2014-01-11,23,False
2014-01-12,0,False
2014-01-13,19,False
2014-01-14,10,False
2014-01-15,10,False
2014-01-16,0,False
2014-01-17,0,False
2014-01-18,12,False
2014-01-19,0,False
2014-01-20,19,False
2014-01-21,0,False
2014-01-22,28,False
2014-01-23,10,False
2014-01-24,10,False
2014-01-25,0,False
2014-01-26,11,False
2014-01-27,28,False
2014-01-28,0,False
2014-01-29,9,False
2014-01-30,19,False
2014-01-31,10,False
2014-02-01,11,False
2014-02-02,11,False
2014-02-03,19,False
2014-02-04,0,False
2014-02-05,0,False
2014-02-06,13,False
2014-02-07,0,False
2014-02-08,22,False
2014-02-09,0,False
2014-02-10,9,False
2014-02-11,28,False
2014-02-12,28,False
2014-02-13,10,False
2014-02-14,30,False
2014-02-15,34,False
2014-02-16,11,False
2014-02-17,29,False
2014-02-18,0,False
2014-02-19,0,False
2014-02-20,19,False
2014-02-21,50,False
2014-02-22,33,False
2014-02-23,11,False
2014-02-24,0,False
2014-02-25,19,False
2014-02-26,19,False
2014-02-27,29,False
2014-02-28,0,False
2014-03-01,11,False
2014-03-02,11,False
2014-03-03,19,False
2014-03-04,39,False
2014-03-05,19,False
2014-03-06,0,False
2014-03-07,20,False
2014-03-08,0,False
2014-03-09,0,False
2014-03-10,29,False
2014-03-11,0,False
2014-03-12,0,False
2014-03-13,29,False
2014-03-14,0,False
2014-03-15,0,False
2014-03-16,11,False
2014-03-17,38,False
2014-03-18,38,False
2014-03-19,0,False
