date,CA,isPartial
2015-04-10,90,False
2015-04-11,86,False
2015-04-12,76,False
2015-04-13,89,False
2015-04-14,87,False
2015-04-15,91,False
2015-04-16,88,False
2015-04-17,88,False
2015-04-18,83,False
2015-04-19,79,False
2015-04-20,86,False
2015-04-21,87,False
2015-04-22,89,False
2015-04-23,88,False
2015-04-24,92,False
2015-04-25,85,False
2015-04-26,78,False
2015-04-27,86,False
2015-04-28,88,False
2015-04-29,85,False
2015-04-30,92,False
2015-05-01,92,False
2015-05-02,82,False
2015-05-03,74,False
2015-05-04,88,False
2015-05-05,86,False
2015-05-06,88,False
2015-05-07,89,False
2015-05-08,92,False
2015-05-09,88,False
2015-05-10,76,False
2015-05-11,87,False
2015-05-12,87,False
2015-05-13,87,False
2015-05-14,88,False
2015-05-15,92,False
2015-05-16,85,False
2015-05-17,77,False
2015-05-18,87,False
2015-05-19,87,False
2015-05-20,86,False
2015-05-21,88,False
2015-05-22,90,False
2015-05-23,84,False
2015-05-24,78,False
2015-05-25,73,False
2015-05-26,88,False
2015-05-27,87,False
2015-05-28,90,False
2015-05-29,86,False
2015-05-30,86,False
2015-05-31,79,False
2015-06-01,90,False
2015-06-02,88,False
2015-06-03,92,False
2015-06-04,89,False
2015-06-05,92,False
2015-06-06,83,False
2015-06-07,78,False
2015-06-08,90,False
2015-06-09,92,False
2015-06-10,87,False
2015-06-11,90,False
2015-06-12,91,False
2015-06-13,86,False
2015-06-14,78,False
2015-06-15,88,False
2015-06-16,86,False
2015-06-17,88,False
2015-06-18,90,False
2015-06-19,91,False
2015-06-20,85,False
2015-06-21,80,False
2015-06-22,88,False
2015-06-23,93,False
2015-06-24,92,False
2015-06-25,91,False
2015-06-26,91,False
2015-06-27,88,False
2015-06-28,81,False
2015-06-29,91,False
2015-06-30,91,False
2015-07-01,93,False
2015-07-02,90,False
2015-07-03,86,False
2015-07-04,85,False
2015-07-05,78,False
2015-07-06,88,False
2015-07-07,94,False
2015-07-08,89,False
2015-07-09,90,False
2015-07-10,89,False
2015-07-11,88,False
2015-07-12,81,False
2015-07-13,88,False
2015-07-14,87,False
2015-07-15,93,False
2015-07-16,100,False
2015-07-17,97,False
2015-07-18,96,False
2015-07-19,88,False
2015-07-20,95,False
2015-07-21,95,False
2015-07-22,90,False
2015-07-23,93,False
2015-07-24,93,False
2015-07-25,87,False
2015-07-26,82,False
2015-07-27,91,False
2015-07-28,88,False
2015-07-29,93,False
2015-07-30,93,False
2015-07-31,94,False
2015-08-01,90,False
2015-08-02,86,False
2015-08-03,95,False
2015-08-04,94,False
2015-08-05,94,False
2015-08-06,92,False
2015-08-07,92,False
2015-08-08,86,False
2015-08-09,80,False
2015-08-10,90,False
2015-08-11,92,False
2015-08-12,91,False
2015-08-13,89,False
2015-08-14,92,False
2015-08-15,89,False
2015-08-16,80,False
2015-08-17,94,False
2015-08-18,90,False
2015-08-19,90,False
2015-08-20,87,False
2015-08-21,90,False
2015-08-22,85,False
2015-08-23,77,False
2015-08-24,87,False
2015-08-25,85,False
2015-08-26,87,False
2015-08-27,86,False
2015-08-28,89,False
2015-08-29,86,False
2015-08-30,78,False
2015-08-31,88,False
2015-09-01,85,False
2015-09-02,87,False
2015-09-03,85,False
2015-09-04,87,False
2015-09-05,80,False
2015-09-06,76,False
2015-09-07,74,False
2015-09-08,86,False
2015-09-09,89,False
2015-09-10,88,False
2015-09-11,88,False
2015-09-12,82,False
2015-09-13,81,False
2015-09-14,92,False
2015-09-15,90,False
2015-09-16,87,False
2015-09-17,86,False
2015-09-18,87,False
2015-09-19,80,False
2015-09-20,75,False
2015-09-21,88,False
2015-09-22,88,False
2015-09-23,82,False
2015-09-24,88,False
2015-09-25,89,False
2015-09-26,81,False
2015-09-27,74,False
2015-09-28,85,False
2015-09-29,83,False
2015-09-30,82,False
2015-10-01,85,False
2015-10-02,84,False
2015-10-03,81,False
2015-10-04,75,False
2015-10-05,87,False
2015-10-06,89,False
2015-10-07,86,False
2015-10-08,84,False
2015-10-09,87,False
2015-10-10,84,False
2015-10-11,76,False
2015-10-12,86,False
2015-10-13,85,False
2015-10-14,84,False
2015-10-15,89,False
2015-10-16,90,False
2015-10-17,84,False
2015-10-18,76,False
2015-10-19,86,False
2015-10-20,84,False
2015-10-21,83,False
2015-10-22,83,False
2015-10-23,87,False
2015-10-24,79,False
2015-10-25,74,False
2015-10-26,86,False
2015-10-27,84,False
2015-10-28,83,False
2015-10-29,83,False
2015-10-30,83,False
2015-10-31,75,False
2015-11-01,73,False
2015-11-02,88,False
2015-11-03,87,False
2015-11-04,84,False
2015-11-05,82,False
2015-11-06,85,False
2015-11-07,79,False
2015-11-08,76,False
2015-11-09,84,False
2015-11-10,81,False
2015-11-11,79,False
2015-11-12,80,False
2015-11-13,81,False
2015-11-14,75,False
2015-11-15,71,False
2015-11-16,81,False
2015-11-17,79,False
2015-11-18,79,False
2015-11-19,78,False
2015-11-20,80,False
2015-11-21,77,False
2015-11-22,70,False
2015-11-23,82,False
2015-11-24,81,False
2015-11-25,76,False
2015-11-26,62,False
2015-11-27,66,False
2015-11-28,70,False
2015-11-29,67,False
2015-11-30,79,False
2015-12-01,79,False
2015-12-02,87,False
2015-12-03,89,False
2015-12-04,83,False
2015-12-05,79,False
2015-12-06,71,False
2015-12-07,80,False
2015-12-08,81,False
2015-12-09,78,False
2015-12-10,80,False
2015-12-11,81,False
2015-12-12,78,False
2015-12-13,71,False
2015-12-14,83,False
2015-12-15,83,False
2015-12-16,79,False
2015-12-17,79,False
2015-12-18,82,False
2015-12-19,79,False
2015-12-20,75,False
2015-12-21,87,False
2015-12-22,88,False
2015-12-23,85,False
2015-12-24,84,False
2015-12-25,71,False
2015-12-26,76,False
