date,CA
2012-10-12,93
2012-10-13,87
2012-10-14,79
2012-10-15,90
2012-10-16,90
2012-10-17,90
2012-10-18,92
2012-10-19,93
2012-10-20,88
2012-10-21,83
2012-10-22,92
2012-10-23,89
2012-10-24,91
2012-10-25,91
2012-10-26,93
2012-10-27,86
2012-10-28,76
2012-10-29,85
2012-10-30,87
2012-10-31,88
2012-11-01,87
2012-11-02,92
2012-11-03,85
2012-11-04,79
2012-11-05,90
2012-11-06,96
2012-11-07,100
2012-11-08,92
2012-11-09,92
2012-11-10,87
2012-11-11,76
2012-11-12,82
2012-11-13,86
2012-11-14,88
2012-11-15,90
2012-11-16,91
2012-11-17,86
2012-11-18,77
2012-11-19,86
2012-11-20,85
2012-11-21,82
2012-11-22,66
2012-11-23,71
2012-11-24,79
2012-11-25,74
2012-11-26,85
2012-11-27,86
2012-11-28,90
2012-11-29,89
2012-11-30,91
2012-12-01,89
2012-12-02,79
2012-12-03,85
2012-12-04,88
2012-12-05,86
2012-12-06,85
2012-12-07,86
2012-12-08,83
2012-12-09,72
2012-12-10,82
2012-12-11,87
2012-12-12,87
2012-12-13,88
2012-12-14,86
2012-12-15,84
2012-12-16,76
2012-12-17,87
2012-12-18,89
2012-12-19,88
2012-12-20,89
2012-12-21,89
2012-12-22,87
2012-12-23,82
2012-12-24,86
2012-12-25,72
2012-12-26,89
2012-12-27,91
2012-12-28,94
2012-12-29,89
2012-12-30,82
2012-12-31,92
2013-01-01,84
2013-01-02,91
2013-01-03,93
2013-01-04,94
2013-01-05,87
2013-01-06,81
2013-01-07,91
2013-01-08,90
2013-01-09,89
2013-01-10,92
2013-01-11,92
2013-01-12,85
2013-01-13,76
2013-01-14,87
2013-01-15,88
2013-01-16,86
2013-01-17,87
2013-01-18,88
2013-01-19,84
2013-01-20,76
2013-01-21,84
2013-01-22,89
2013-01-23,90
2013-01-24,90
2013-01-25,92
2013-01-26,87
2013-01-27,78
2013-01-28,88
2013-01-29,88
2013-01-30,88
2013-01-31,86
2013-02-01,89
2013-02-02,86
2013-02-03,74
2013-02-04,83
2013-02-05,91
2013-02-06,89
2013-02-07,90
2013-02-08,91
2013-02-09,84
2013-02-10,77
2013-02-11,86
2013-02-12,91
2013-02-13,88
2013-02-14,87
2013-02-15,85
2013-02-16,85
2013-02-17,77
2013-02-18,81
2013-02-19,89
2013-02-20,91
2013-02-21,88
2013-02-22,90
2013-02-23,85
2013-02-24,75
2013-02-25,85
2013-02-26,87
2013-02-27,89
2013-02-28,89
2013-03-01,90
2013-03-02,86
2013-03-03,80
2013-03-04,88
2013-03-05,90
2013-03-06,92
2013-03-07,91
2013-03-08,91
2013-03-09,88
2013-03-10,79
2013-03-11,91
2013-03-12,90
2013-03-13,88
2013-03-14,88
2013-03-15,91
2013-03-16,86
2013-03-17,78
2013-03-18,89
2013-03-19,91
2013-03-20,91
2013-03-21,91
2013-03-22,90
2013-03-23,85
2013-03-24,79
2013-03-25,91
2013-03-26,91
2013-03-27,92
2013-03-28,95
2013-03-29,97
2013-03-30,89
2013-03-31,81
2013-04-01,92
2013-04-02,91
2013-04-03,91
2013-04-04,91
2013-04-05,91
2013-04-06,86
2013-04-07,78
2013-04-08,91
2013-04-09,92
2013-04-10,90
2013-04-11,90
2013-04-12,90
2013-04-13,86
2013-04-14,80
2013-04-15,90
2013-04-16,91
2013-04-17,88
2013-04-18,87
2013-04-19,88
2013-04-20,83
2013-04-21,78
2013-04-22,89
2013-04-23,89
2013-04-24,89
2013-04-25,90
2013-04-26,88
2013-04-27,83
2013-04-28,76
2013-04-29,89
2013-04-30,90
2013-05-01,95
2013-05-02,93
2013-05-03,94
2013-05-04,88
2013-05-05,83
2013-05-06,92
2013-05-07,92
2013-05-08,90
2013-05-09,91
2013-05-10,92
2013-05-11,87
2013-05-12,79
2013-05-13,90
2013-05-14,91
2013-05-15,90
2013-05-16,93
2013-05-17,91
2013-05-18,88
2013-05-19,82
2013-05-20,89
2013-05-21,89
2013-05-22,89
2013-05-23,89
2013-05-24,94
2013-05-25,87
2013-05-26,79
2013-05-27,75
2013-05-28,92
2013-05-29,93
2013-05-30,93
2013-05-31,93
2013-06-01,89
2013-06-02,82
2013-06-03,92
2013-06-04,92
2013-06-05,91
2013-06-06,92
2013-06-07,92
2013-06-08,90
2013-06-09,81
2013-06-10,91
2013-06-11,92
2013-06-12,91
2013-06-13,91
2013-06-14,92
2013-06-15,87
2013-06-16,80
2013-06-17,92
2013-06-18,94
2013-06-19,90
2013-06-20,92
2013-06-21,93
2013-06-22,90
2013-06-23,84
2013-06-24,93
2013-06-25,94
2013-06-26,93
2013-06-27,91
2013-06-28,96
2013-06-29,95
