date,value
2010-08-24,92
2010-08-25,96
2010-08-26,90
2010-08-27,94
2010-08-28,91
2010-08-29,80
2010-08-30,93
2010-08-31,92
2010-09-01,93
2010-09-02,87
2010-09-03,88
2010-09-04,90
2010-09-05,78
2010-09-06,70
2010-09-07,89
2010-09-08,91
2010-09-09,89
2010-09-10,100
2010-09-11,86
2010-09-12,80
2010-09-13,86
2010-09-14,86
2010-09-15,86
2010-09-16,88
2010-09-17,89
2010-09-18,85
2010-09-19,77
2010-09-20,87
2010-09-21,85
2010-09-22,88
2010-09-23,84
2010-09-24,87
2010-09-25,82
2010-09-26,72
2010-09-27,87
2010-09-28,89
2010-09-29,88
2010-09-30,86
2010-10-01,89
2010-10-02,82
2010-10-03,75
2010-10-04,89
2010-10-05,89
2010-10-06,82
2010-10-07,88
2010-10-08,89
2010-10-09,83
2010-10-10,76
2010-10-11,89
2010-10-12,84
2010-10-13,83
2010-10-14,84
2010-10-15,87
2010-10-16,84
2010-10-17,75
2010-10-18,87
2010-10-19,83
2010-10-20,83
2010-10-21,83
2010-10-22,88
2010-10-23,82
2010-10-24,72
2010-10-25,83
2010-10-26,83
2010-10-27,85
2010-10-28,88
2010-10-29,85
2010-10-30,82
2010-10-31,73
2010-11-01,80
2010-11-02,91
2010-11-03,97
2010-11-04,86
2010-11-05,88
2010-11-06,82
2010-11-07,72
2010-11-08,81
2010-11-09,83
2010-11-10,85
2010-11-11,80
2010-11-12,83
2010-11-13,81
2010-11-14,70
2010-11-15,83
2010-11-16,82
2010-11-17,83
2010-11-18,82
2010-11-19,84
2010-11-20,80
2010-11-21,70
2010-11-22,81
2010-11-23,81
2010-11-24,75
2010-11-25,61
2010-11-26,64
2010-11-27,77
2010-11-28,71
2010-11-29,77
2010-11-30,79
2010-12-01,85
2010-12-02,86
2010-12-03,84
2010-12-04,83
2010-12-05,74
2010-12-06,82
2010-12-07,85
2010-12-08,88
2010-12-09,86
2010-12-10,88
2010-12-11,82
2010-12-12,74
2010-12-13,83
2010-12-14,87
2010-12-15,88
2010-12-16,86
2010-12-17,89
2010-12-18,89
2010-12-19,79
2010-12-20,89
2010-12-21,91
2010-12-22,93
2010-12-23,89
2010-12-24,85
2010-12-25,73
2010-12-26,75
2010-12-27,89
2010-12-28,96
2010-12-29,98
2010-12-30,97
2010-12-31,94
2011-01-01,85
2011-01-02,83
2011-01-03,94
2011-01-04,90
2011-01-05,99
2011-01-06,94
2011-01-07,90
2011-01-08,87
2011-01-09,76
2011-01-10,87
2011-01-11,89
2011-01-12,85
2011-01-13,87
2011-01-14,89
2011-01-15,86
2011-01-16,76
2011-01-17,81
2011-01-18,87
2011-01-19,88
2011-01-20,87
2011-01-21,91
2011-01-22,85
2011-01-23,75
2011-01-24,83
2011-01-25,86
2011-01-26,88
2011-01-27,86
2011-01-28,87
2011-01-29,82
2011-01-30,79
2011-01-31,85
2011-02-01,88
2011-02-02,84
2011-02-03,87
2011-02-04,87
2011-02-05,82
2011-02-06,69
2011-02-07,79
2011-02-08,91
2011-02-09,90
2011-02-10,87
2011-02-11,89
2011-02-12,86
2011-02-13,77
2011-02-14,84
2011-02-15,89
2011-02-16,88
2011-02-17,90
2011-02-18,95
2011-02-19,86
2011-02-20,82
2011-02-21,82
2011-02-22,87
2011-02-23,92
2011-02-24,91
2011-02-25,92
2011-02-26,93
2011-02-27,80
2011-02-28,86
2011-03-01,87
2011-03-02,89
2011-03-03,91
2011-03-04,89
2011-03-05,88
2011-03-06,81
2011-03-07,93
2011-03-08,91
2011-03-09,90
2011-03-10,89
2011-03-11,96
2011-03-12,84
2011-03-13,73
2011-03-14,84
2011-03-15,84
2011-03-16,88
2011-03-17,89
2011-03-18,90
2011-03-19,91
2011-03-20,83
2011-03-21,93
2011-03-22,91
2011-03-23,91
2011-03-24,92
2011-03-25,94
2011-03-26,95
2011-03-27,83
2011-03-28,90
2011-03-29,90
2011-03-30,89
2011-03-31,90
2011-04-01,93
2011-04-02,92
2011-04-03,80
2011-04-04,93
2011-04-05,93
2011-04-06,93
2011-04-07,92
2011-04-08,92
2011-04-09,89
2011-04-10,80
2011-04-11,89
2011-04-12,92
2011-04-13,93
2011-04-14,93
2011-04-15,93
2011-04-16,93
2011-04-17,84
2011-04-18,95
2011-04-19,98
2011-04-20,97
2011-04-21,94
2011-04-22,101
2011-04-23,92
2011-04-24,82
2011-04-25,96
2011-04-26,93
2011-04-27,92
2011-04-28,90
2011-04-29,91
2011-04-30,86
2011-05-01,80
2011-05-02,88
2011-05-03,91
2011-05-04,92
2011-05-05,96
2011-05-06,94
2011-05-07,87
2011-05-08,80
2011-05-09,93
2011-05-10,94
2011-05-11,94
