date,CELG,isPartial
2015-08-18,62,False
2015-08-19,52,False
2015-08-20,48,False
2015-08-21,39,False
2015-08-22,14,False
2015-08-23,10,False
2015-08-24,69,False
2015-08-25,49,False
2015-08-26,38,False
2015-08-27,44,False
2015-08-28,51,False
2015-08-29,11,False
2015-08-30,11,False
2015-08-31,50,False
2015-09-01,56,False
2015-09-02,47,False
2015-09-03,42,False
2015-09-04,36,False
2015-09-05,19,False
2015-09-06,10,False
2015-09-07,9,False
2015-09-08,86,False
2015-09-09,65,False
2015-09-10,55,False
2015-09-11,43,False
2015-09-12,14,False
2015-09-13,13,False
2015-09-14,46,False
2015-09-15,38,False
2015-09-16,35,False
2015-09-17,39,False
2015-09-18,40,False
2015-09-19,4,False
2015-09-20,9,False
2015-09-21,64,False
2015-09-22,49,False
2015-09-23,40,False
2015-09-24,52,False
2015-09-25,60,False
2015-09-26,22,False
2015-09-27,11,False
2015-09-28,64,False
2015-09-29,74,False
2015-09-30,78,False
2015-10-01,74,False
2015-10-02,82,False
2015-10-03,32,False
2015-10-04,17,False
2015-10-05,100,False
2015-10-06,84,False
2015-10-07,68,False
2015-10-08,58,False
2015-10-09,36,False
2015-10-10,15,False
2015-10-11,13,False
2015-10-12,14,False
2015-10-13,51,False
2015-10-14,55,False
2015-10-15,50,False
2015-10-16,34,False
2015-10-17,23,False
2015-10-18,5,False
2015-10-19,51,False
2015-10-20,44,False
2015-10-21,50,False
2015-10-22,46,False
2015-10-23,46,False
2015-10-24,19,False
2015-10-25,10,False
2015-10-26,40,False
2015-10-27,61,False
2015-10-28,53,False
2015-10-29,46,False
2015-10-30,44,False
2015-10-31,15,False
2015-11-01,10,False
2015-11-02,18,False
2015-11-03,65,False
2015-11-04,61,False
2015-11-05,57,False
2015-11-06,60,False
2015-11-07,28,False
2015-11-08,19,False
2015-11-09,72,False
2015-11-10,60,False
2015-11-11,59,False
2015-11-12,59,False
2015-11-13,37,False
2015-11-14,19,False
2015-11-15,12,False
2015-11-16,47,False
2015-11-17,56,False
2015-11-18,45,False
2015-11-19,36,False
2015-11-20,35,False
2015-11-21,13,False
2015-11-22,14,False
2015-11-23,41,False
2015-11-24,44,False
2015-11-25,64,False
2015-11-26,43,False
2015-11-27,45,False
2015-11-28,16,False
2015-11-29,8,False
2015-11-30,49,False
2015-12-01,60,False
2015-12-02,43,False
2015-12-03,63,False
2015-12-04,47,False
2015-12-05,17,False
2015-12-06,8,False
2015-12-07,72,False
2015-12-08,54,False
2015-12-09,57,False
2015-12-10,52,False
2015-12-11,48,False
2015-12-12,18,False
2015-12-13,13,False
2015-12-14,51,False
2015-12-15,43,False
2015-12-16,50,False
2015-12-17,29,False
2015-12-18,41,False
2015-12-19,16,False
2015-12-20,7,False
2015-12-21,47,False
2015-12-22,38,False
2015-12-23,42,False
2015-12-24,13,False
2015-12-25,5,False
2015-12-26,11,False
2015-12-27,6,False
2015-12-28,49,False
2015-12-29,49,False
2015-12-30,32,False
2015-12-31,16,False
2016-01-01,9,False
2016-01-02,13,False
2016-01-03,8,False
2016-01-04,57,False
2016-01-05,59,False
2016-01-06,42,False
2016-01-07,58,False
2016-01-08,47,False
2016-01-09,14,False
2016-01-10,14,False
2016-01-11,64,False
2016-01-12,49,False
2016-01-13,37,False
2016-01-14,42,False
2016-01-15,32,False
2016-01-16,15,False
2016-01-17,10,False
2016-01-18,44,False
2016-01-19,40,False
2016-01-20,46,False
2016-01-21,45,False
2016-01-22,40,False
2016-01-23,13,False
2016-01-24,12,False
2016-01-25,56,False
2016-01-26,40,False
2016-01-27,45,False
2016-01-28,43,False
2016-01-29,48,False
2016-01-30,11,False
2016-01-31,8,False
2016-02-01,56,False
2016-02-02,52,False
2016-02-03,53,False
2016-02-04,51,False
2016-02-05,57,False
2016-02-06,11,False
2016-02-07,7,False
2016-02-08,33,False
2016-02-09,25,False
2016-02-10,53,False
2016-02-11,71,False
2016-02-12,54,False
2016-02-13,17,False
2016-02-14,12,False
2016-02-15,65,False
2016-02-16,39,False
2016-02-17,50,False
2016-02-18,50,False
2016-02-19,34,False
2016-02-20,21,False
2016-02-21,11,False
2016-02-22,38,False
2016-02-23,42,False
2016-02-24,39,False
2016-02-25,42,False
2016-02-26,50,False
2016-02-27,15,False
2016-02-28,8,False
2016-02-29,50,False
2016-03-01,48,False
2016-03-02,52,False
2016-03-03,52,False
2016-03-04,55,False
2016-03-05,18,False
2016-03-06,6,False
2016-03-07,47,False
2016-03-08,53,False
2016-03-09,47,False
2016-03-10,51,False
2016-03-11,40,False
2016-03-12,13,False
2016-03-13,4,False
2016-03-14,49,False
2016-03-15,48,False
2016-03-16,50,False
2016-03-17,46,False
2016-03-18,40,False
2016-03-19,15,False
2016-03-20,8,False
2016-03-21,53,False
2016-03-22,48,False
2016-03-23,43,False
2016-03-24,28,False
2016-03-25,12,False
2016-03-26,11,False
2016-03-27,8,False
2016-03-28,44,False
2016-03-29,44,False
2016-03-30,47,False
2016-03-31,42,False
2016-04-01,34,False
2016-04-02,14,False
2016-04-03,14,False
2016-04-04,50,False
2016-04-05,49,False
2016-04-06,51,False
2016-04-07,58,False
2016-04-08,55,False
2016-04-09,14,False
2016-04-10,10,False
2016-04-11,54,False
2016-04-12,42,False
2016-04-13,39,False
2016-04-14,47,False
2016-04-15,35,False
2016-04-16,9,False
2016-04-17,13,False
2016-04-18,48,False
2016-04-19,49,False
2016-04-20,36,False
2016-04-21,16,False
2016-04-22,28,False
2016-04-23,14,False
