date,CELG
2016-07-30,14
2016-07-31,15
2016-08-01,61
2016-08-02,55
2016-08-03,62
2016-08-04,56
2016-08-05,55
2016-08-06,19
2016-08-07,11
2016-08-08,68
2016-08-09,62
2016-08-10,60
2016-08-11,64
2016-08-12,50
2016-08-13,14
2016-08-14,9
2016-08-15,58
2016-08-16,64
2016-08-17,57
2016-08-18,46
2016-08-19,37
2016-08-20,15
2016-08-21,11
2016-08-22,47
2016-08-23,49
2016-08-24,49
2016-08-25,52
2016-08-26,47
2016-08-27,15
2016-08-28,13
2016-08-29,50
2016-08-30,43
2016-08-31,55
2016-09-01,57
2016-09-02,46
2016-09-03,22
2016-09-04,13
2016-09-05,71
2016-09-06,62
2016-09-07,23
2016-09-08,63
2016-09-09,54
2016-09-10,25
2016-09-11,12
2016-09-12,72
2016-09-13,63
2016-09-14,57
2016-09-15,50
2016-09-16,51
2016-09-17,15
2016-09-18,8
2016-09-19,58
2016-09-20,52
2016-09-21,41
2016-09-22,42
2016-09-23,44
2016-09-24,12
2016-09-25,8
2016-09-26,46
2016-09-27,50
2016-09-28,41
2016-09-29,44
2016-09-30,41
2016-10-01,15
2016-10-02,9
2016-10-03,59
2016-10-04,58
2016-10-05,59
2016-10-06,66
2016-10-07,59
2016-10-08,22
2016-10-09,14
2016-10-10,64
2016-10-11,61
2016-10-12,18
2016-10-13,71
2016-10-14,65
2016-10-15,22
2016-10-16,12
2016-10-17,78
2016-10-18,72
2016-10-19,67
2016-10-20,62
2016-10-21,53
2016-10-22,30
2016-10-23,12
2016-10-24,62
2016-10-25,89
2016-10-26,94
2016-10-27,91
2016-10-28,75
2016-10-29,20
2016-10-30,17
2016-10-31,67
2016-11-01,64
2016-11-02,21
2016-11-03,64
2016-11-04,64
2016-11-05,18
2016-11-06,12
2016-11-07,75
2016-11-08,77
2016-11-09,72
2016-11-10,81
2016-11-11,62
2016-11-12,24
2016-11-13,13
2016-11-14,45
2016-11-15,19
2016-11-16,63
2016-11-17,61
2016-11-18,48
2016-11-19,19
2016-11-20,14
2016-11-21,61
2016-11-22,53
2016-11-23,59
2016-11-24,54
2016-11-25,51
2016-11-26,18
2016-11-27,11
2016-11-28,64
2016-11-29,59
2016-11-30,100
2016-12-01,88
2016-12-02,72
2016-12-03,25
2016-12-04,19
2016-12-05,75
2016-12-06,77
2016-12-07,74
2016-12-08,75
2016-12-09,60
2016-12-10,18
2016-12-11,10
2016-12-12,69
2016-12-13,50
2016-12-14,63
2016-12-15,65
2016-12-16,52
2016-12-17,24
2016-12-18,10
2016-12-19,64
2016-12-20,64
2016-12-21,55
2016-12-22,44
2016-12-23,40
2016-12-24,17
2016-12-25,7
2016-12-26,60
2016-12-27,62
2016-12-28,53
2016-12-29,53
2016-12-30,31
2016-12-31,15
2017-01-01,10
2017-01-02,65
2017-01-03,67
2017-01-04,68
2017-01-05,69
2017-01-06,61
2017-01-07,28
2017-01-08,20
2017-01-09,76
2017-01-10,82
2017-01-11,81
2017-01-12,67
2017-01-13,61
2017-01-14,23
2017-01-15,17
2017-01-16,64
2017-01-17,67
2017-01-18,55
2017-01-19,52
2017-01-20,49
2017-01-21,20
2017-01-22,12
2017-01-23,61
2017-01-24,55
2017-01-25,54
2017-01-26,62
2017-01-27,48
2017-01-28,14
2017-01-29,13
2017-01-30,61
2017-01-31,62
2017-02-01,79
2017-02-02,73
2017-02-03,68
2017-02-04,33
2017-02-05,17
2017-02-06,75
2017-02-07,69
2017-02-08,66
2017-02-09,66
2017-02-10,61
2017-02-11,23
2017-02-12,15
2017-02-13,70
2017-02-14,65
2017-02-15,61
2017-02-16,62
2017-02-17,56
2017-02-18,23
2017-02-19,17
2017-02-20,68
2017-02-21,60
2017-02-22,58
2017-02-23,48
2017-02-24,57
2017-02-25,18
2017-02-26,12
2017-02-27,19
2017-02-28,20
2017-03-01,70
2017-03-02,84
2017-03-03,70
2017-03-04,25
2017-03-05,17
2017-03-06,83
2017-03-07,69
2017-03-08,57
2017-03-09,61
2017-03-10,69
2017-03-11,22
2017-03-12,17
2017-03-13,66
2017-03-14,62
2017-03-15,66
2017-03-16,49
2017-03-17,51
2017-03-18,22
2017-03-19,12
2017-03-20,57
2017-03-21,60
2017-03-22,55
2017-03-23,49
2017-03-24,45
2017-03-25,21
2017-03-26,12
2017-03-27,53
2017-03-28,56
2017-03-29,48
2017-03-30,44
2017-03-31,41
2017-04-01,19
2017-04-02,16
2017-04-03,69
2017-04-04,59
2017-04-05,63
2017-04-06,65
2017-04-07,61
2017-04-08,23
2017-04-09,17
2017-04-10,79
2017-04-11,60
2017-04-12,58
2017-04-13,47
2017-04-14,11
