date,CERN
2011-01-01,33
2011-01-02,32
2011-01-03,32
2011-01-04,39
2011-01-05,41
2011-01-06,42
2011-01-07,42
2011-01-08,38
2011-01-09,34
2011-01-10,45
2011-01-11,44
2011-01-12,46
2011-01-13,48
2011-01-14,45
2011-01-15,35
2011-01-16,34
2011-01-17,45
2011-01-18,54
2011-01-19,53
2011-01-20,54
2011-01-21,41
2011-01-22,33
2011-01-23,35
2011-01-24,50
2011-01-25,49
2011-01-26,45
2011-01-27,41
2011-01-28,47
2011-01-29,36
2011-01-30,34
2011-01-31,42
2011-02-01,44
2011-02-02,41
2011-02-03,44
2011-02-04,46
2011-02-05,31
2011-02-06,28
2011-02-07,46
2011-02-08,44
2011-02-09,37
2011-02-10,42
2011-02-11,40
2011-02-12,27
2011-02-13,30
2011-02-14,39
2011-02-15,41
2011-02-16,40
2011-02-17,46
2011-02-18,43
2011-02-19,34
2011-02-20,32
2011-02-21,47
2011-02-22,47
2011-02-23,43
2011-02-24,38
2011-02-25,35
2011-02-26,33
2011-02-27,36
2011-02-28,44
2011-03-01,43
2011-03-02,48
2011-03-03,45
2011-03-04,44
2011-03-05,37
2011-03-06,41
2011-03-07,52
2011-03-08,42
2011-03-09,43
2011-03-10,45
2011-03-11,46
2011-03-12,37
2011-03-13,42
2011-03-14,52
2011-03-15,49
2011-03-16,56
2011-03-17,47
2011-03-18,49
2011-03-19,32
2011-03-20,34
2011-03-21,47
2011-03-22,49
2011-03-23,46
2011-03-24,49
2011-03-25,42
2011-03-26,32
2011-03-27,34
2011-03-28,47
2011-03-29,43
2011-03-30,40
2011-03-31,47
2011-04-01,47
2011-04-02,29
2011-04-03,32
2011-04-04,46
2011-04-05,44
2011-04-06,47
2011-04-07,49
2011-04-08,49
2011-04-09,34
2011-04-10,33
2011-04-11,37
2011-04-12,51
2011-04-13,47
2011-04-14,43
2011-04-15,39
2011-04-16,31
2011-04-17,42
2011-04-18,39
2011-04-19,38
2011-04-20,34
2011-04-21,35
2011-04-22,37
2011-04-23,34
2011-04-24,53
2011-04-25,48
2011-04-26,59
2011-04-27,51
2011-04-28,49
2011-04-29,42
2011-04-30,33
2011-05-01,39
2011-05-02,45
2011-05-03,40
2011-05-04,47
2011-05-05,55
2011-05-06,49
2011-05-07,30
2011-05-08,39
2011-05-09,41
2011-05-10,55
2011-05-11,39
2011-05-12,46
2011-05-13,38
2011-05-14,26
2011-05-15,33
2011-05-16,49
2011-05-17,47
2011-05-18,45
2011-05-19,45
2011-05-20,34
2011-05-21,28
2011-05-22,36
2011-05-23,51
2011-05-24,42
2011-05-25,44
2011-05-26,40
2011-05-27,44
2011-05-28,27
2011-05-29,33
2011-05-30,38
2011-05-31,37
2011-06-01,100
2011-06-02,34
2011-06-03,36
2011-06-04,28
2011-06-05,40
2011-06-06,90
2011-06-07,76
2011-06-08,66
2011-06-09,54
2011-06-10,48
2011-06-11,37
2011-06-12,36
2011-06-13,35
2011-06-14,43
2011-06-15,44
2011-06-16,43
2011-06-17,41
2011-06-18,31
2011-06-19,42
2011-06-20,48
2011-06-21,41
2011-06-22,48
2011-06-23,35
2011-06-24,40
2011-06-25,31
2011-06-26,27
2011-06-27,48
2011-06-28,39
2011-06-29,44
2011-06-30,42
2011-07-01,38
2011-07-02,29
2011-07-03,35
2011-07-04,38
2011-07-05,36
2011-07-06,35
2011-07-07,45
2011-07-08,35
2011-07-09,32
2011-07-10,38
2011-07-11,41
2011-07-12,41
2011-07-13,36
2011-07-14,39
2011-07-15,46
2011-07-16,32
2011-07-17,31
2011-07-18,35
2011-07-19,45
2011-07-20,38
2011-07-21,47
2011-07-22,36
2011-07-23,31
2011-07-24,35
2011-07-25,58
2011-07-26,43
2011-07-27,49
2011-07-28,40
2011-07-29,44
2011-07-30,35
2011-07-31,32
2011-08-01,43
2011-08-02,45
2011-08-03,45
2011-08-04,36
2011-08-05,32
2011-08-06,37
2011-08-07,54
2011-08-08,62
2011-08-09,48
2011-08-10,46
2011-08-11,39
2011-08-12,42
2011-08-13,34
2011-08-14,28
2011-08-15,34
2011-08-16,33
2011-08-17,32
2011-08-18,33
2011-08-19,34
2011-08-20,24
2011-08-21,23
2011-08-22,39
2011-08-23,33
2011-08-24,42
2011-08-25,40
2011-08-26,46
2011-08-27,33
2011-08-28,40
2011-08-29,39
2011-08-30,63
2011-08-31,57
2011-09-01,56
2011-09-02,43
2011-09-03,38
2011-09-04,43
2011-09-05,49
2011-09-06,46
2011-09-07,47
2011-09-08,42
2011-09-09,39
2011-09-10,30
2011-09-11,35
2011-09-12,34
2011-09-13,36
2011-09-14,49
2011-09-15,40
2011-09-16,42
2011-09-17,29
2011-09-18,43
