date,CERN,isPartial
2017-01-19,51,False
2017-01-20,38,False
2017-01-21,28,False
2017-01-22,33,False
2017-01-23,40,False
2017-01-24,43,False
2017-01-25,43,False
2017-01-26,34,False
2017-01-27,43,False
2017-01-28,35,False
2017-01-29,34,False
2017-01-30,44,False
2017-01-31,43,False
2017-02-01,40,False
2017-02-02,43,False
2017-02-03,32,False
2017-02-04,30,False
2017-02-05,38,False
2017-02-06,51,False
2017-02-07,43,False
2017-02-08,35,False
2017-02-09,42,False
2017-02-10,36,False
2017-02-11,31,False
2017-02-12,30,False
2017-02-13,39,False
2017-02-14,34,False
2017-02-15,30,False
2017-02-16,40,False
2017-02-17,41,False
2017-02-18,32,False
2017-02-19,30,False
2017-02-20,42,False
2017-02-21,36,False
2017-02-22,40,False
2017-02-23,36,False
2017-02-24,42,False
2017-02-25,33,False
2017-02-26,32,False
2017-02-27,40,False
2017-02-28,47,False
2017-03-01,42,False
2017-03-02,40,False
2017-03-03,39,False
2017-03-04,34,False
2017-03-05,33,False
2017-03-06,41,False
2017-03-07,42,False
2017-03-08,35,False
2017-03-09,38,False
2017-03-10,37,False
2017-03-11,25,False
2017-03-12,27,False
2017-03-13,35,False
2017-03-14,43,False
2017-03-15,40,False
2017-03-16,43,False
2017-03-17,45,False
2017-03-18,31,False
2017-03-19,31,False
2017-03-20,39,False
2017-03-21,39,False
2017-03-22,40,False
2017-03-23,41,False
2017-03-24,37,False
2017-03-25,29,False
2017-03-26,27,False
2017-03-27,45,False
2017-03-28,43,False
2017-03-29,38,False
2017-03-30,45,False
2017-03-31,41,False
2017-04-01,35,False
2017-04-02,34,False
2017-04-03,42,False
2017-04-04,43,False
2017-04-05,35,False
2017-04-06,45,False
2017-04-07,29,False
2017-04-08,28,False
2017-04-09,33,False
2017-04-10,37,False
2017-04-11,38,False
2017-04-12,41,False
2017-04-13,35,False
2017-04-14,32,False
2017-04-15,20,False
2017-04-16,22,False
2017-04-17,29,False
2017-04-18,43,False
2017-04-19,40,False
2017-04-20,42,False
2017-04-21,39,False
2017-04-22,26,False
2017-04-23,30,False
2017-04-24,82,False
2017-04-25,100,False
2017-04-26,69,False
2017-04-27,49,False
2017-04-28,43,False
2017-04-29,31,False
2017-04-30,39,False
2017-05-01,42,False
2017-05-02,45,False
2017-05-03,46,False
2017-05-04,42,False
2017-05-05,42,False
2017-05-06,31,False
2017-05-07,30,False
2017-05-08,40,False
2017-05-09,48,False
2017-05-10,45,False
2017-05-11,41,False
2017-05-12,38,False
2017-05-13,33,False
2017-05-14,36,False
2017-05-15,41,False
2017-05-16,49,False
2017-05-17,41,False
2017-05-18,39,False
2017-05-19,42,False
2017-05-20,38,False
2017-05-21,40,False
2017-05-22,51,False
2017-05-23,41,False
2017-05-24,33,False
2017-05-25,35,False
2017-05-26,35,False
2017-05-27,23,False
2017-05-28,32,False
2017-05-29,42,False
2017-05-30,38,False
2017-05-31,37,False
2017-06-01,39,False
2017-06-02,40,False
2017-06-03,39,False
2017-06-04,32,False
2017-06-05,39,False
2017-06-06,47,False
2017-06-07,42,False
2017-06-08,40,False
2017-06-09,30,False
2017-06-10,32,False
2017-06-11,31,False
2017-06-12,39,False
2017-06-13,38,False
2017-06-14,35,False
2017-06-15,40,False
2017-06-16,36,False
2017-06-17,28,False
2017-06-18,30,False
2017-06-19,44,False
2017-06-20,37,False
2017-06-21,43,False
2017-06-22,45,False
2017-06-23,34,False
2017-06-24,25,False
2017-06-25,36,False
2017-06-26,32,False
2017-06-27,36,False
2017-06-28,43,False
2017-06-29,38,False
2017-06-30,33,False
2017-07-01,33,False
2017-07-02,32,False
2017-07-03,39,False
2017-07-04,32,False
2017-07-05,40,False
2017-07-06,56,False
2017-07-07,48,False
2017-07-08,34,False
2017-07-09,45,False
2017-07-10,46,False
2017-07-11,46,False
2017-07-12,46,False
2017-07-13,37,False
2017-07-14,38,False
2017-07-15,36,False
2017-07-16,27,False
2017-07-17,32,False
2017-07-18,39,False
2017-07-19,38,False
2017-07-20,39,False
2017-07-21,31,False
2017-07-22,26,False
2017-07-23,34,False
2017-07-24,31,False
2017-07-25,40,False
2017-07-26,27,False
2017-07-27,31,False
2017-07-28,26,False
2017-07-29,26,False
2017-07-30,34,False
2017-07-31,42,False
2017-08-01,42,False
2017-08-02,36,False
2017-08-03,36,False
2017-08-04,35,False
2017-08-05,29,False
2017-08-06,35,False
2017-08-07,38,False
2017-08-08,31,False
2017-08-09,35,False
2017-08-10,35,False
2017-08-11,35,False
2017-08-12,37,False
2017-08-13,36,False
2017-08-14,32,False
2017-08-15,30,False
2017-08-16,39,False
2017-08-17,32,False
2017-08-18,25,False
2017-08-19,25,False
2017-08-20,38,False
2017-08-21,35,False
2017-08-22,32,False
2017-08-23,31,False
2017-08-24,34,False
2017-08-25,32,False
2017-08-26,21,False
2017-08-27,25,False
2017-08-28,34,False
2017-08-29,39,False
2017-08-30,36,False
2017-08-31,39,False
2017-09-01,41,False
2017-09-02,31,False
2017-09-03,27,False
2017-09-04,40,False
2017-09-05,39,False
2017-09-06,37,False
2017-09-07,34,False
2017-09-08,40,False
2017-09-09,38,False
2017-09-10,38,False
2017-09-11,43,False
2017-09-12,36,False
2017-09-13,41,False
2017-09-14,35,False
2017-09-15,41,False
2017-09-16,32,False
2017-09-17,31,False
2017-09-18,39,False
2017-09-19,42,False
2017-09-20,52,False
2017-09-21,41,False
2017-09-22,50,False
2017-09-23,36,False
2017-09-24,42,False
2017-09-25,39,False
2017-09-26,40,False
2017-09-27,41,False
2017-09-28,45,False
2017-09-29,44,False
2017-09-30,43,False
2017-10-01,34,False
2017-10-02,46,False
2017-10-03,49,False
2017-10-04,48,False
2017-10-05,45,False
2017-10-06,41,False
