date,value
2016-08-21,91.0
2016-08-22,83.0
2016-08-23,74.0
2016-08-24,71.0
2016-08-25,58.0
2016-08-26,52.0
2016-08-27,43.0
2016-08-28,50.0
2016-08-29,63.0
2016-08-30,48.0
2016-08-31,53.0
2016-09-01,54.0
2016-09-02,54.0
2016-09-03,35.0
2016-09-04,59.0
2016-09-05,61.0
2016-09-06,50.0
2016-09-07,47.0
2016-09-08,45.0
2016-09-09,44.0
2016-09-10,39.0
2016-09-11,39.0
2016-09-12,53.0
2016-09-13,49.0
2016-09-14,49.0
2016-09-15,45.0
2016-09-16,46.0
2016-09-17,35.0
2016-09-18,39.0
2016-09-19,43.0
2016-09-20,48.0
2016-09-21,55.0
2016-09-22,50.0
2016-09-23,47.0
2016-09-24,34.0
2016-09-25,45.0
2016-09-26,46.0
2016-09-27,47.0
2016-09-28,49.0
2016-09-29,46.0
2016-09-30,41.0
2016-10-01,31.0
2016-10-02,34.0
2016-10-03,47.0
2016-10-04,39.0
2016-10-05,48.0
2016-10-06,49.0
2016-10-07,44.0
2016-10-08,30.0
2016-10-09,43.0
2016-10-10,44.0
2016-10-11,54.0
2016-10-12,47.0
2016-10-13,53.0
2016-10-14,48.0
2016-10-15,43.0
2016-10-16,41.0
2016-10-17,53.0
2016-10-18,53.0
2016-10-19,53.0
2016-10-20,45.0
2016-10-21,43.0
2016-10-22,35.0
2016-10-23,39.0
2016-10-24,42.0
2016-10-25,44.0
2016-10-26,42.0
2016-10-27,43.0
2016-10-28,43.0
2016-10-29,42.0
2016-10-30,47.0
2016-10-31,46.0
2016-11-01,50.0
2016-11-02,47.0
2016-11-03,45.0
2016-11-04,52.0
2016-11-05,35.0
2016-11-06,42.0
2016-11-07,48.0
2016-11-08,45.0
2016-11-09,36.0
2016-11-10,45.0
2016-11-11,45.0
2016-11-12,28.0
2016-11-13,33.0
2016-11-14,41.0
2016-11-15,47.0
2016-11-16,41.0
2016-11-17,46.0
2016-11-18,46.0
2016-11-19,36.0
2016-11-20,34.0
2016-11-21,50.0
2016-11-22,55.0
2016-11-23,52.0
2016-11-24,46.0
2016-11-25,42.0
2016-11-26,33.0
2016-11-27,33.0
2016-11-28,46.0
2016-11-29,34.0
2016-11-30,41.0
2016-12-01,41.0
2016-12-02,42.0
2016-12-03,27.0
2016-12-04,35.0
2016-12-05,45.0
2016-12-06,42.0
2016-12-07,54.0
2016-12-08,48.0
2016-12-09,55.0
2016-12-10,22.0
2016-12-11,27.0
2016-12-12,37.0
2016-12-13,38.0
2016-12-14,47.0
2016-12-15,44.0
2016-12-16,42.0
2016-12-17,33.0
2016-12-18,36.0
2016-12-19,37.0
2016-12-20,49.0
2016-12-21,45.0
2016-12-22,39.0
2016-12-23,32.0
2016-12-24,37.0
2016-12-25,37.0
2016-12-26,30.0
2016-12-27,26.0
2016-12-28,34.0
2016-12-29,33.0
2016-12-30,32.0
2016-12-31,27.0
2017-01-01,31.0
2017-01-02,35.0
2017-01-03,31.0
2017-01-04,36.0
2017-01-05,43.0
2017-01-06,38.0
2017-01-07,30.0
2017-01-08,43.0
2017-01-09,43.0
2017-01-10,36.0
2017-01-11,43.0
2017-01-12,40.0
2017-01-13,47.0
2017-01-14,28.0
2017-01-15,32.0
2017-01-16,44.0
2017-01-17,51.0
2017-01-18,59.0
2017-01-19,47.0
2017-01-20,43.0
2017-01-21,31.0
2017-01-22,35.0
2017-01-23,45.0
2017-01-24,55.0
2017-01-25,46.0
2017-01-26,50.0
2017-01-27,56.0
2017-01-28,44.0
2017-01-29,34.0
2017-01-30,46.0
2017-01-31,50.0
2017-02-01,43.0
2017-02-02,39.0
2017-02-03,45.0
2017-02-04,47.0
2017-02-05,43.0
2017-02-06,42.0
2017-02-07,45.0
2017-02-08,43.0
2017-02-09,51.0
2017-02-10,43.0
2017-02-11,37.0
2017-02-12,35.0
2017-02-13,42.0
2017-02-14,39.0
2017-02-15,39.0
2017-02-16,40.0
2017-02-17,47.0
2017-02-18,30.0
2017-02-19,34.0
2017-02-20,42.0
2017-02-21,46.0
2017-02-22,38.0
2017-02-23,48.0
2017-02-24,46.0
2017-02-25,41.0
2017-02-26,34.0
2017-02-27,38.0
2017-02-28,44.0
2017-03-01,41.0
2017-03-02,45.0
2017-03-03,43.0
2017-03-04,45.0
2017-03-05,36.0
2017-03-06,40.0
2017-03-07,44.0
2017-03-08,38.0
2017-03-09,45.0
2017-03-10,43.0
2017-03-11,33.0
2017-03-12,28.0
2017-03-13,44.0
2017-03-14,44.0
2017-03-15,44.0
2017-03-16,45.0
2017-03-17,43.0
2017-03-18,31.0
2017-03-19,32.0
2017-03-20,44.0
2017-03-21,44.0
2017-03-22,51.0
2017-03-23,45.0
2017-03-24,46.0
2017-03-25,30.0
2017-03-26,32.0
2017-03-27,45.0
2017-03-28,39.0
2017-03-29,39.0
2017-03-30,37.0
2017-03-31,38.0
2017-04-01,37.0
2017-04-02,39.0
2017-04-03,49.0
2017-04-04,47.0
2017-04-05,39.0
2017-04-06,42.0
2017-04-07,46.0
2017-04-08,28.0
2017-04-09,34.0
2017-04-10,46.0
2017-04-11,44.0
2017-04-12,41.0
2017-04-13,38.0
2017-04-14,34.0
2017-04-15,27.0
2017-04-16,27.0
2017-04-17,30.0
2017-04-18,40.0
2017-04-19,44.0
2017-04-20,45.0
2017-04-21,32.0
2017-04-22,28.0
2017-04-23,33.0
2017-04-24,85.0
2017-04-25,100.0
2017-04-26,69.0
2017-04-27,55.0
2017-04-28,55.0
2017-04-29,32.0
2017-04-30,28.0
2017-05-01,43.0
2017-05-02,51.0
2017-05-03,44.0
2017-05-04,47.0
2017-05-05,48.0
2017-05-06,34.0
2017-05-06,34.38108604123934
2017-05-07,33.580373529094246
2017-05-08,45.7961351613948
