date,CHKP
2016-08-02,16
2016-08-03,25
2016-08-04,17
2016-08-05,9
2016-08-06,0
2016-08-07,10
2016-08-08,21
2016-08-09,16
2016-08-10,12
2016-08-11,13
2016-08-12,17
2016-08-13,15
2016-08-14,10
2016-08-15,17
2016-08-16,21
2016-08-17,13
2016-08-18,25
2016-08-19,9
2016-08-20,0
2016-08-21,9
2016-08-22,8
2016-08-23,25
2016-08-24,0
2016-08-25,17
2016-08-26,26
2016-08-27,10
2016-08-28,0
2016-08-29,8
2016-08-30,12
2016-08-31,8
2016-09-01,33
2016-09-02,8
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,0
2016-09-07,16
2016-09-08,24
2016-09-09,20
2016-09-10,14
2016-09-11,19
2016-09-12,24
2016-09-13,16
2016-09-14,16
2016-09-15,24
2016-09-16,8
2016-09-17,9
2016-09-18,9
2016-09-19,8
2016-09-20,16
2016-09-21,12
2016-09-22,12
2016-09-23,8
2016-09-24,0
2016-09-25,0
2016-09-26,31
2016-09-27,8
2016-09-28,12
2016-09-29,12
2016-09-30,12
2016-10-01,9
2016-10-02,0
2016-10-03,8
2016-10-04,23
2016-10-05,19
2016-10-06,20
2016-10-07,16
2016-10-08,0
2016-10-09,0
2016-10-10,8
2016-10-11,16
2016-10-12,12
2016-10-13,8
2016-10-14,24
2016-10-15,9
2016-10-16,9
2016-10-17,19
2016-10-18,15
2016-10-19,0
2016-10-20,30
2016-10-21,8
2016-10-22,9
2016-10-23,18
2016-10-24,8
2016-10-25,30
2016-10-26,8
2016-10-27,12
2016-10-28,12
2016-10-29,0
2016-10-30,9
2016-10-31,67
2016-11-01,28
2016-11-02,31
2016-11-03,19
2016-11-04,16
2016-11-05,9
2016-11-06,9
2016-11-07,19
2016-11-08,15
2016-11-09,14
2016-11-10,23
2016-11-11,8
2016-11-12,9
2016-11-13,0
2016-11-14,30
2016-11-15,7
2016-11-16,15
2016-11-17,8
2016-11-18,8
2016-11-19,9
2016-11-20,9
2016-11-21,8
2016-11-22,19
2016-11-23,31
2016-11-24,0
2016-11-25,8
2016-11-26,0
2016-11-27,9
2016-11-28,15
2016-11-29,15
2016-11-30,11
2016-12-01,15
2016-12-02,12
2016-12-03,0
2016-12-04,0
2016-12-05,15
2016-12-06,7
2016-12-07,15
2016-12-08,8
2016-12-09,8
2016-12-10,0
2016-12-11,0
2016-12-12,7
2016-12-13,7
2016-12-14,8
2016-12-15,19
2016-12-16,12
2016-12-17,9
2016-12-18,9
2016-12-19,15
2016-12-20,23
2016-12-21,16
2016-12-22,12
2016-12-23,0
2016-12-24,0
2016-12-25,10
2016-12-26,26
2016-12-27,8
2016-12-28,0
2016-12-29,0
2016-12-30,13
2016-12-31,0
2017-01-01,10
2017-01-02,24
2017-01-03,15
2017-01-04,15
2017-01-05,15
2017-01-06,16
2017-01-07,0
2017-01-08,9
2017-01-09,11
2017-01-10,11
2017-01-11,15
2017-01-12,15
2017-01-13,38
2017-01-14,9
2017-01-15,8
2017-01-16,11
2017-01-17,18
2017-01-18,26
2017-01-19,100
2017-01-20,49
2017-01-21,9
2017-01-22,8
2017-01-23,33
2017-01-24,29
2017-01-25,40
2017-01-26,41
2017-01-27,31
2017-01-28,21
2017-01-29,9
2017-01-30,29
2017-01-31,26
2017-02-01,36
2017-02-02,25
2017-02-03,27
2017-02-04,25
2017-02-05,8
2017-02-06,25
2017-02-07,40
2017-02-08,40
2017-02-09,29
2017-02-10,34
2017-02-11,25
2017-02-12,17
2017-02-13,32
2017-02-14,29
2017-02-15,22
2017-02-16,15
2017-02-17,11
2017-02-18,25
2017-02-19,13
2017-02-20,15
2017-02-21,18
2017-02-22,14
2017-02-23,26
2017-02-24,35
2017-02-25,9
2017-02-26,17
2017-02-27,33
2017-02-28,33
2017-03-01,11
2017-03-02,33
2017-03-03,15
2017-03-04,8
2017-03-05,8
2017-03-06,14
2017-03-07,14
2017-03-08,29
2017-03-09,18
2017-03-10,41
2017-03-11,25
2017-03-12,8
2017-03-13,18
2017-03-14,7
2017-03-15,36
2017-03-16,29
2017-03-17,8
2017-03-18,0
2017-03-19,0
2017-03-20,22
2017-03-21,22
2017-03-22,25
2017-03-23,11
2017-03-24,11
2017-03-25,25
2017-03-26,9
2017-03-27,25
2017-03-28,29
2017-03-29,7
2017-03-30,26
2017-03-31,27
2017-04-01,9
2017-04-02,26
2017-04-03,22
2017-04-04,7
2017-04-05,11
2017-04-06,22
2017-04-07,12
2017-04-08,0
2017-04-09,17
2017-04-10,15
2017-04-11,15
2017-04-12,22
2017-04-13,19
2017-04-14,8
2017-04-15,0
2017-04-16,9
2017-04-17,31
2017-04-18,11
