date,value
2016-08-21,13.0
2016-08-22,22.0
2016-08-23,56.0
2016-08-24,0.0
2016-08-25,11.0
2016-08-26,12.0
2016-08-27,0.0
2016-08-28,13.0
2016-08-29,22.0
2016-08-30,11.0
2016-08-31,22.0
2016-09-01,22.0
2016-09-02,11.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,22.0
2016-09-06,11.0
2016-09-07,11.0
2016-09-08,11.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,13.0
2016-09-12,22.0
2016-09-13,32.0
2016-09-14,33.0
2016-09-15,11.0
2016-09-16,23.0
2016-09-17,0.0
2016-09-18,12.0
2016-09-19,21.0
2016-09-20,31.0
2016-09-21,21.0
2016-09-22,0.0
2016-09-23,11.0
2016-09-24,0.0
2016-09-25,12.0
2016-09-26,21.0
2016-09-27,11.0
2016-09-28,21.0
2016-09-29,21.0
2016-09-30,0.0
2016-10-01,12.0
2016-10-02,0.0
2016-10-03,21.0
2016-10-04,0.0
2016-10-05,0.0
2016-10-06,0.0
2016-10-07,0.0
2016-10-08,12.0
2016-10-09,12.0
2016-10-10,21.0
2016-10-11,11.0
2016-10-12,11.0
2016-10-13,0.0
2016-10-14,11.0
2016-10-15,12.0
2016-10-16,12.0
2016-10-17,0.0
2016-10-18,0.0
2016-10-19,0.0
2016-10-20,10.0
2016-10-21,11.0
2016-10-22,0.0
2016-10-23,0.0
2016-10-24,21.0
2016-10-25,0.0
2016-10-26,41.0
2016-10-27,10.0
2016-10-28,22.0
2016-10-29,0.0
2016-10-30,0.0
2016-10-31,54.0
2016-11-01,53.0
2016-11-02,42.0
2016-11-03,31.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,12.0
2016-11-07,10.0
2016-11-08,51.0
2016-11-09,38.0
2016-11-10,10.0
2016-11-11,11.0
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,0.0
2016-11-15,31.0
2016-11-16,10.0
2016-11-17,0.0
2016-11-18,21.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,10.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,11.0
2016-11-25,0.0
