date,CHTR
2016-05-04,13
2016-05-05,32
2016-05-06,14
2016-05-07,16
2016-05-08,21
2016-05-09,27
2016-05-10,46
2016-05-11,13
2016-05-12,36
2016-05-13,19
2016-05-14,31
2016-05-15,16
2016-05-16,45
2016-05-17,62
2016-05-18,71
2016-05-19,75
2016-05-20,51
2016-05-21,54
2016-05-22,40
2016-05-23,67
2016-05-24,31
2016-05-25,31
2016-05-26,56
2016-05-27,38
2016-05-28,24
2016-05-29,21
2016-05-30,28
2016-05-31,31
2016-06-01,40
2016-06-02,64
2016-06-03,43
2016-06-04,0
2016-06-05,16
2016-06-06,50
2016-06-07,47
2016-06-08,27
2016-06-09,32
2016-06-10,71
2016-06-11,21
2016-06-12,16
2016-06-13,27
2016-06-14,27
2016-06-15,31
2016-06-16,34
2016-06-17,21
2016-06-18,16
2016-06-19,24
2016-06-20,27
2016-06-21,27
2016-06-22,32
2016-06-23,14
2016-06-24,47
2016-06-25,16
2016-06-26,16
2016-06-27,27
2016-06-28,36
2016-06-29,27
2016-06-30,21
2016-07-01,14
2016-07-02,25
2016-07-03,17
2016-07-04,33
2016-07-05,37
2016-07-06,21
2016-07-07,35
2016-07-08,24
2016-07-09,33
2016-07-10,16
2016-07-11,21
2016-07-12,50
2016-07-13,49
2016-07-14,38
2016-07-15,52
2016-07-16,16
2016-07-17,33
2016-07-18,37
2016-07-19,37
2016-07-20,35
2016-07-21,56
2016-07-22,57
2016-07-23,24
2016-07-24,16
2016-07-25,32
2016-07-26,46
2016-07-27,32
2016-07-28,28
2016-07-29,15
2016-07-30,17
2016-07-31,16
2016-08-01,14
2016-08-02,14
2016-08-03,34
2016-08-04,32
2016-08-05,53
2016-08-06,33
2016-08-07,32
2016-08-08,36
2016-08-09,100
2016-08-10,55
2016-08-11,70
2016-08-12,38
2016-08-13,25
2016-08-14,16
2016-08-15,48
2016-08-16,50
2016-08-17,23
2016-08-18,42
2016-08-19,24
2016-08-20,0
2016-08-21,21
2016-08-22,34
2016-08-23,55
2016-08-24,36
2016-08-25,32
2016-08-26,21
2016-08-27,32
2016-08-28,37
2016-08-29,36
2016-08-30,44
2016-08-31,53
2016-09-01,72
2016-09-02,70
2016-09-03,32
2016-09-04,16
2016-09-05,14
2016-09-06,48
2016-09-07,58
2016-09-08,47
2016-09-09,59
2016-09-10,31
2016-09-11,31
2016-09-12,27
2016-09-13,44
2016-09-14,40
2016-09-15,32
2016-09-16,32
2016-09-17,15
2016-09-18,23
2016-09-19,13
2016-09-20,34
2016-09-21,35
2016-09-22,31
2016-09-23,37
2016-09-24,31
2016-09-25,25
2016-09-26,52
2016-09-27,22
2016-09-28,47
2016-09-29,31
2016-09-30,46
2016-10-01,25
2016-10-02,15
2016-10-03,43
2016-10-04,30
2016-10-05,32
2016-10-06,22
2016-10-07,27
2016-10-08,23
2016-10-09,45
2016-10-10,17
2016-10-11,26
2016-10-12,18
2016-10-13,39
2016-10-14,31
2016-10-15,30
2016-10-16,20
2016-10-17,34
2016-10-18,21
2016-10-19,38
2016-10-20,58
2016-10-21,26
2016-10-22,22
2016-10-23,15
2016-10-24,34
2016-10-25,29
2016-10-26,38
2016-10-27,60
2016-10-28,31
2016-10-29,15
2016-10-30,35
2016-10-31,20
2016-11-01,18
2016-11-02,47
2016-11-03,59
2016-11-04,66
2016-11-05,22
2016-11-06,14
2016-11-07,29
2016-11-08,50
2016-11-09,51
2016-11-10,68
2016-11-11,66
2016-11-12,15
2016-11-13,22
2016-11-14,33
2016-11-15,51
2016-11-16,46
2016-11-17,21
2016-11-18,22
2016-11-19,44
2016-11-20,14
2016-11-21,25
2016-11-22,37
2016-11-23,38
2016-11-24,26
2016-11-25,35
2016-11-26,36
2016-11-27,24
2016-11-28,37
2016-11-29,37
2016-11-30,67
2016-12-01,21
2016-12-02,22
2016-12-03,15
2016-12-04,36
2016-12-05,37
2016-12-06,33
2016-12-07,80
2016-12-08,43
2016-12-09,60
2016-12-10,28
2016-12-11,35
2016-12-12,31
2016-12-13,25
2016-12-14,17
2016-12-15,43
2016-12-16,36
2016-12-17,25
2016-12-18,15
2016-12-19,13
2016-12-20,35
2016-12-21,44
2016-12-22,36
2016-12-23,21
2016-12-24,16
2016-12-25,17
2016-12-26,42
2016-12-27,31
2016-12-28,36
2016-12-29,40
2016-12-30,37
2016-12-31,39
2017-01-01,16
2017-01-02,18
2017-01-03,29
2017-01-04,46
2017-01-05,30
2017-01-06,65
2017-01-07,42
2017-01-08,14
2017-01-09,41
2017-01-10,41
2017-01-11,31
2017-01-12,12
2017-01-13,17
2017-01-14,50
2017-01-15,35
2017-01-16,12
2017-01-17,37
2017-01-18,16
2017-01-19,41
