date,value
2016-08-21,28.0
2016-08-22,12.0
2016-08-23,12.0
2016-08-24,36.0
2016-08-25,48.0
2016-08-26,13.0
2016-08-27,28.0
2016-08-28,28.0
2016-08-29,0.0
2016-08-30,46.0
2016-08-31,23.0
2016-09-01,70.0
2016-09-02,24.0
2016-09-03,28.0
2016-09-04,27.0
2016-09-05,0.0
2016-09-06,35.0
2016-09-07,59.0
2016-09-08,71.0
2016-09-09,47.0
2016-09-10,0.0
2016-09-11,40.0
2016-09-12,23.0
2016-09-13,23.0
2016-09-14,12.0
2016-09-15,0.0
2016-09-16,24.0
2016-09-17,27.0
2016-09-18,53.0
2016-09-19,34.0
2016-09-20,34.0
2016-09-21,23.0
2016-09-22,34.0
2016-09-23,12.0
2016-09-24,14.0
2016-09-25,27.0
2016-09-26,57.0
2016-09-27,23.0
2016-09-28,23.0
2016-09-29,23.0
2016-09-30,60.0
2016-10-01,13.0
2016-10-02,13.0
2016-10-03,0.0
2016-10-04,0.0
2016-10-05,0.0
2016-10-06,0.0
2016-10-07,12.0
2016-10-08,27.0
2016-10-09,13.0
2016-10-10,11.0
2016-10-11,23.0
2016-10-12,11.0
2016-10-13,22.0
2016-10-14,23.0
2016-10-15,0.0
2016-10-16,13.0
2016-10-17,11.0
2016-10-18,11.0
2016-10-19,22.0
2016-10-20,11.0
2016-10-21,0.0
2016-10-22,26.0
2016-10-23,13.0
2016-10-24,22.0
2016-10-25,11.0
2016-10-26,22.0
2016-10-27,11.0
2016-10-28,0.0
2016-10-29,13.0
2016-10-30,13.0
2016-10-31,46.0
2016-11-01,23.0
2016-11-02,34.0
2016-11-03,100.0
2016-11-04,69.0
2016-11-05,0.0
2016-11-06,25.0
2016-11-07,22.0
2016-11-08,22.0
2016-11-09,20.0
2016-11-10,22.0
2016-11-11,47.0
2016-11-12,25.0
2016-11-13,0.0
2016-11-14,11.0
2016-11-15,33.0
2016-11-16,33.0
2016-11-17,34.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,22.0
2016-11-23,33.0
2016-11-24,23.0
2016-11-25,23.0
2016-11-26,38.0
2016-11-27,37.0
2016-11-28,11.0
2016-11-29,0.0
2016-11-30,44.0
2016-12-01,22.0
2016-12-02,11.0
2016-12-03,13.0
2016-12-04,13.0
2016-12-05,22.0
2016-12-06,32.0
2016-12-07,33.0
2016-12-08,56.0
2016-12-09,35.0
2016-12-10,0.0
2016-12-11,26.0
2016-12-12,33.0
2016-12-13,33.0
2016-12-14,44.0
2016-12-15,22.0
2016-12-16,35.0
2016-12-17,13.0
2016-12-18,13.0
2016-12-19,11.0
2016-12-20,22.0
2016-12-21,35.0
2016-12-22,35.0
2016-12-23,63.0
2016-12-24,0.0
2016-12-25,14.0
2016-12-26,25.0
2016-12-27,23.0
2016-12-28,12.0
2016-12-29,12.0
2016-12-30,37.0
2016-12-31,27.0
2017-01-01,14.0
2017-01-02,0.0
2017-01-03,44.0
2017-01-04,21.0
2017-01-05,33.0
2017-01-06,35.0
2017-01-07,12.0
2017-01-08,37.0
2017-01-09,21.0
2017-01-10,32.0
2017-01-11,21.0
2017-01-12,21.0
2017-01-13,22.0
2017-01-14,12.0
2017-01-15,24.0
2017-01-16,21.0
2017-01-17,32.0
2017-01-18,21.0
2017-01-19,21.0
2017-01-20,22.0
2017-01-21,12.0
2017-01-22,24.0
2017-01-23,32.0
2017-01-24,11.0
2017-01-25,53.0
2017-01-26,87.0
2017-01-27,44.0
2017-01-28,38.0
2017-01-29,12.0
2017-01-30,11.0
2017-01-31,32.0
2017-02-01,10.0
2017-02-02,32.0
2017-02-03,76.0
2017-02-04,49.0
2017-02-05,0.0
2017-02-06,31.0
2017-02-07,41.0
2017-02-08,32.0
2017-02-09,32.0
2017-02-10,33.0
2017-02-11,25.0
2017-02-12,12.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,11.0
2017-02-16,64.0
2017-02-17,66.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,21.0
2017-02-21,31.0
2017-02-22,21.0
2017-02-23,53.0
2017-02-24,0.0
2017-02-25,25.0
2017-02-26,37.0
2017-02-27,32.0
2017-02-28,43.0
2017-03-01,31.0
2017-03-02,84.0
2017-03-03,86.0
2017-03-04,36.0
2017-03-05,48.0
2017-03-06,41.0
2017-03-07,21.0
2017-03-08,0.0
2017-03-09,32.0
2017-03-10,32.0
2017-03-11,24.0
2017-03-12,0.0
2017-03-13,21.0
2017-03-14,41.0
2017-03-15,10.0
2017-03-16,95.0
2017-03-17,11.0
2017-03-18,36.0
2017-03-19,12.0
2017-03-20,32.0
2017-03-21,31.0
2017-03-22,10.0
2017-03-23,85.0
2017-03-24,78.0
2017-03-25,25.0
2017-03-26,37.0
2017-03-27,21.0
2017-03-28,31.0
2017-03-29,10.0
2017-03-30,11.0
2017-03-31,22.0
2017-04-01,0.0
2017-04-02,25.0
2017-04-03,11.0
2017-04-04,32.0
2017-04-05,32.0
2017-04-06,64.0
2017-04-07,33.0
2017-04-08,25.0
2017-04-09,25.0
2017-04-10,43.0
2017-04-11,43.0
2017-04-12,44.0
2017-04-13,11.0
2017-04-14,12.0
2017-04-15,26.0
2017-04-16,0.0
2017-04-17,23.0
2017-04-18,42.0
2017-04-19,32.0
2017-04-20,0.0
2017-04-21,45.0
2017-04-22,25.0
2017-04-23,25.0
2017-04-24,11.0
2017-04-25,42.0
2017-04-26,52.0
2017-04-27,43.0
2017-04-28,44.0
2017-04-29,0.0
2017-04-30,13.0
2017-05-01,35.0
2017-05-02,42.0
2017-05-03,52.0
2017-05-04,32.0
2017-05-05,22.0
2017-05-06,0.0
2017-05-06,6.365217391304347
