date,CMCSA
2013-06-29,4
2013-06-30,4
2013-07-01,15
2013-07-02,15
2013-07-03,12
2013-07-04,4
2013-07-05,9
2013-07-06,4
2013-07-07,4
2013-07-08,13
2013-07-09,15
2013-07-10,22
2013-07-11,19
2013-07-12,12
2013-07-13,4
2013-07-14,4
2013-07-15,20
2013-07-16,15
2013-07-17,25
2013-07-18,26
2013-07-19,20
2013-07-20,10
2013-07-21,4
2013-07-22,7
2013-07-23,29
2013-07-24,20
2013-07-25,27
2013-07-26,11
2013-07-27,6
2013-07-28,4
2013-07-29,18
2013-07-30,37
2013-07-31,44
2013-08-01,31
2013-08-02,27
2013-08-03,6
2013-08-04,4
2013-08-05,20
2013-08-06,14
2013-08-07,10
2013-08-08,17
2013-08-09,14
2013-08-10,6
2013-08-11,8
2013-08-12,7
2013-08-13,17
2013-08-14,7
2013-08-15,18
2013-08-16,18
2013-08-17,6
2013-08-18,4
2013-08-19,13
2013-08-20,20
2013-08-21,20
2013-08-22,14
2013-08-23,11
2013-08-24,6
2013-08-25,0
2013-08-26,11
2013-08-27,11
2013-08-28,10
2013-08-29,21
2013-08-30,19
2013-08-31,6
2013-09-01,6
2013-09-02,3
2013-09-03,16
2013-09-04,13
2013-09-05,11
2013-09-06,14
2013-09-07,8
2013-09-08,7
2013-09-09,13
2013-09-10,11
2013-09-11,14
2013-09-12,10
2013-09-13,18
2013-09-14,6
2013-09-15,7
2013-09-16,16
2013-09-17,17
2013-09-18,19
2013-09-19,13
2013-09-20,17
2013-09-21,8
2013-09-22,11
2013-09-23,17
2013-09-24,14
2013-09-25,17
2013-09-26,24
2013-09-27,17
2013-09-28,0
2013-09-29,4
2013-09-30,11
2013-10-01,19
2013-10-02,9
2013-10-03,13
2013-10-04,15
2013-10-05,7
2013-10-06,11
2013-10-07,12
2013-10-08,11
2013-10-09,11
2013-10-10,6
2013-10-11,15
2013-10-12,4
2013-10-13,0
2013-10-14,16
2013-10-15,14
2013-10-16,22
2013-10-17,18
2013-10-18,10
2013-10-19,6
2013-10-20,4
2013-10-21,25
2013-10-22,20
2013-10-23,34
2013-10-24,13
2013-10-25,21
2013-10-26,11
2013-10-27,7
2013-10-28,12
2013-10-29,15
2013-10-30,28
2013-10-31,19
2013-11-01,20
2013-11-02,0
2013-11-03,4
2013-11-04,20
2013-11-05,18
2013-11-06,8
2013-11-07,12
2013-11-08,14
2013-11-09,0
2013-11-10,4
2013-11-11,14
2013-11-12,15
2013-11-13,19
2013-11-14,5
2013-11-15,8
2013-11-16,7
2013-11-17,0
2013-11-18,15
2013-11-19,8
2013-11-20,3
2013-11-21,11
2013-11-22,34
2013-11-23,16
2013-11-24,9
2013-11-25,18
2013-11-26,15
2013-11-27,14
2013-11-28,13
2013-11-29,8
2013-11-30,0
2013-12-01,0
2013-12-02,6
2013-12-03,12
2013-12-04,23
2013-12-05,20
2013-12-06,13
2013-12-07,5
2013-12-08,4
2013-12-09,17
2013-12-10,11
2013-12-11,9
2013-12-12,8
2013-12-13,13
2013-12-14,4
2013-12-15,4
2013-12-16,14
2013-12-17,8
2013-12-18,11
2013-12-19,15
2013-12-20,22
2013-12-21,8
2013-12-22,4
2013-12-23,15
2013-12-24,8
2013-12-25,4
2013-12-26,11
2013-12-27,10
2013-12-28,7
2013-12-29,6
2013-12-30,12
2013-12-31,9
2014-01-01,8
2014-01-02,11
2014-01-03,14
2014-01-04,5
2014-01-05,11
2014-01-06,15
2014-01-07,22
2014-01-08,22
2014-01-09,13
2014-01-10,15
2014-01-11,14
2014-01-12,0
2014-01-13,13
2014-01-14,25
2014-01-15,26
2014-01-16,21
2014-01-17,17
2014-01-18,5
2014-01-19,10
2014-01-20,3
2014-01-21,12
2014-01-22,17
2014-01-23,7
2014-01-24,11
2014-01-25,9
2014-01-26,3
2014-01-27,12
2014-01-28,30
2014-01-29,14
2014-01-30,16
2014-01-31,18
2014-02-01,3
2014-02-02,5
2014-02-03,16
2014-02-04,14
2014-02-05,12
2014-02-06,8
2014-02-07,12
2014-02-08,9
2014-02-09,3
2014-02-10,7
2014-02-11,9
2014-02-12,14
2014-02-13,100
2014-02-14,50
2014-02-15,15
2014-02-16,10
2014-02-17,17
2014-02-18,16
2014-02-19,13
2014-02-20,18
2014-02-21,14
2014-02-22,3
2014-02-23,10
2014-02-24,31
2014-02-25,23
2014-02-26,13
2014-02-27,9
2014-02-28,21
2014-03-01,8
2014-03-02,10
2014-03-03,10
2014-03-04,15
2014-03-05,19
2014-03-06,16
2014-03-07,15
2014-03-08,7
2014-03-09,10
2014-03-10,18
2014-03-11,13
2014-03-12,16
2014-03-13,12
2014-03-14,20
2014-03-15,7
2014-03-16,3
