date,value
2010-08-24,1
2010-08-25,1
2010-08-26,1
2010-08-27,94
2010-08-28,1
2010-08-29,1
2010-08-30,18
2010-08-31,18
2010-09-01,1
2010-09-02,18
2010-09-03,37
2010-09-04,23
2010-09-05,23
2010-09-06,1
2010-09-07,1
2010-09-08,18
2010-09-09,1
2010-09-10,37
2010-09-11,1
2010-09-12,1
2010-09-13,1
2010-09-14,34
2010-09-15,35
2010-09-16,18
2010-09-17,1
2010-09-18,23
2010-09-19,43
2010-09-20,18
2010-09-21,18
2010-09-22,35
2010-09-23,1
2010-09-24,19
2010-09-25,22
2010-09-26,1
2010-09-27,17
2010-09-28,1
2010-09-29,1
2010-09-30,1
2010-10-01,19
2010-10-02,1
2010-10-03,1
2010-10-04,1
2010-10-05,1
2010-10-06,17
2010-10-07,18
2010-10-08,19
2010-10-09,22
2010-10-10,22
2010-10-11,1
2010-10-12,18
2010-10-13,1
2010-10-14,67
2010-10-15,53
2010-10-16,1
2010-10-17,1
2010-10-18,65
2010-10-19,1
2010-10-20,17
2010-10-21,34
2010-10-22,35
2010-10-23,21
2010-10-24,21
2010-10-25,65
2010-10-26,17
2010-10-27,17
2010-10-28,33
2010-10-29,18
2010-10-30,22
2010-10-31,1
2010-11-01,34
2010-11-02,1
2010-11-03,32
2010-11-04,17
2010-11-05,18
2010-11-06,1
2010-11-07,20
2010-11-08,47
2010-11-09,17
2010-11-10,1
2010-11-11,33
2010-11-12,67
2010-11-13,1
2010-11-14,1
2010-11-15,1
2010-11-16,1
2010-11-17,49
2010-11-18,33
2010-11-19,1
2010-11-20,1
2010-11-21,1
2010-11-22,16
2010-11-23,1
2010-11-24,17
2010-11-25,1
2010-11-26,1
2010-11-27,1
2010-11-28,1
2010-11-29,16
2010-11-30,16
2010-12-01,78
2010-12-02,48
2010-12-03,17
2010-12-04,1
2010-12-05,1
2010-12-06,17
2010-12-07,63
2010-12-08,17
2010-12-09,17
2010-12-10,1
2010-12-11,1
2010-12-12,1
2010-12-13,17
2010-12-14,47
2010-12-15,49
2010-12-16,33
2010-12-17,35
2010-12-18,21
2010-12-19,1
2010-12-20,49
2010-12-21,17
2010-12-22,35
2010-12-23,19
2010-12-24,43
2010-12-25,1
2010-12-26,23
2010-12-27,18
2010-12-28,18
2010-12-29,53
2010-12-30,19
2010-12-31,64
2011-01-01,1
2011-01-02,1
2011-01-03,17
2011-01-04,16
2011-01-05,63
2011-01-06,33
2011-01-07,66
2011-01-08,1
2011-01-09,1
2011-01-10,31
2011-01-11,30
2011-01-12,31
2011-01-13,16
2011-01-14,32
2011-01-15,1
2011-01-16,1
2011-01-17,1
2011-01-18,45
2011-01-19,30
2011-01-20,1
2011-01-21,77
2011-01-22,1
2011-01-23,19
2011-01-24,30
2011-01-25,74
2011-01-26,74
2011-01-27,75
2011-01-28,64
2011-01-29,37
2011-01-30,1
2011-01-31,15
2011-02-01,28
2011-02-02,43
2011-02-03,15
2011-02-04,46
2011-02-05,18
2011-02-06,36
2011-02-07,57
2011-02-08,1
2011-02-09,58
2011-02-10,45
2011-02-11,47
2011-02-12,19
2011-02-13,19
2011-02-14,15
2011-02-15,57
2011-02-16,57
2011-02-17,88
2011-02-18,77
2011-02-19,36
2011-02-20,1
2011-02-21,15
2011-02-22,29
2011-02-23,73
2011-02-24,45
2011-02-25,31
2011-02-26,1
2011-02-27,36
2011-02-28,42
2011-03-01,57
2011-03-02,29
2011-03-03,44
2011-03-04,77
2011-03-05,1
2011-03-06,1
2011-03-07,30
2011-03-08,1
2011-03-09,1
2011-03-10,29
2011-03-11,89
2011-03-12,19
2011-03-13,1
2011-03-14,31
2011-03-15,101
2011-03-16,1
2011-03-17,15
2011-03-18,31
2011-03-19,1
2011-03-20,1
2011-03-21,57
2011-03-22,57
2011-03-23,43
2011-03-24,15
2011-03-25,46
2011-03-26,1
2011-03-27,19
2011-03-28,56
2011-03-29,43
2011-03-30,29
2011-03-31,29
2011-04-01,31
2011-04-02,19
2011-04-03,36
2011-04-04,1
2011-04-05,15
2011-04-06,43
2011-04-07,1
2011-04-08,46
2011-04-09,1
2011-04-10,1
2011-04-11,15
2011-04-12,29
2011-04-13,15
2011-04-14,45
2011-04-15,31
2011-04-16,1
2011-04-17,19
2011-04-18,1
2011-04-19,44
2011-04-20,16
2011-04-21,1
2011-04-22,53
2011-04-23,1
2011-04-24,1
2011-04-25,17
2011-04-26,58
2011-04-27,1
2011-04-28,58
2011-04-29,16
2011-04-30,1
2011-05-01,19
2011-05-02,43
2011-05-03,29
2011-05-04,58
2011-05-05,58
2011-05-06,1
2011-05-07,37
2011-05-08,1
2011-05-09,15
2011-05-10,29
2011-05-11,29
