date,CSCO,isPartial
2011-01-01,11,False
2011-01-02,7,False
2011-01-03,23,False
2011-01-04,23,False
2011-01-05,27,False
2011-01-06,29,False
2011-01-07,22,False
2011-01-08,7,False
2011-01-09,5,False
2011-01-10,18,False
2011-01-11,20,False
2011-01-12,25,False
2011-01-13,17,False
2011-01-14,18,False
2011-01-15,9,False
2011-01-16,6,False
2011-01-17,11,False
2011-01-18,25,False
2011-01-19,16,False
2011-01-20,14,False
2011-01-21,15,False
2011-01-22,4,False
2011-01-23,5,False
2011-01-24,15,False
2011-01-25,21,False
2011-01-26,19,False
2011-01-27,19,False
2011-01-28,18,False
2011-01-29,7,False
2011-01-30,5,False
2011-01-31,20,False
2011-02-01,21,False
2011-02-02,20,False
2011-02-03,16,False
2011-02-04,23,False
2011-02-05,8,False
2011-02-06,6,False
2011-02-07,21,False
2011-02-08,31,False
2011-02-09,49,False
2011-02-10,100,False
2011-02-11,61,False
2011-02-12,18,False
2011-02-13,16,False
2011-02-14,27,False
2011-02-15,28,False
2011-02-16,31,False
2011-02-17,27,False
2011-02-18,29,False
2011-02-19,14,False
2011-02-20,7,False
2011-02-21,12,False
2011-02-22,23,False
2011-02-23,34,False
2011-02-24,19,False
2011-02-25,20,False
2011-02-26,8,False
2011-02-27,7,False
2011-02-28,20,False
2011-03-01,18,False
2011-03-02,14,False
2011-03-03,17,False
2011-03-04,22,False
2011-03-05,8,False
2011-03-06,7,False
2011-03-07,18,False
2011-03-08,23,False
2011-03-09,20,False
2011-03-10,25,False
2011-03-11,18,False
2011-03-12,7,False
2011-03-13,3,False
2011-03-14,20,False
2011-03-15,23,False
2011-03-16,18,False
2011-03-17,26,False
2011-03-18,30,False
2011-03-19,8,False
2011-03-20,6,False
2011-03-21,19,False
2011-03-22,24,False
2011-03-23,19,False
2011-03-24,23,False
2011-03-25,23,False
2011-03-26,12,False
2011-03-27,10,False
2011-03-28,19,False
2011-03-29,18,False
2011-03-30,22,False
2011-03-31,20,False
2011-04-01,18,False
2011-04-02,12,False
2011-04-03,7,False
2011-04-04,19,False
2011-04-05,22,False
2011-04-06,41,False
2011-04-07,26,False
2011-04-08,26,False
2011-04-09,9,False
2011-04-10,5,False
2011-04-11,21,False
2011-04-12,26,False
2011-04-13,32,False
2011-04-14,25,False
2011-04-15,26,False
2011-04-16,8,False
2011-04-17,7,False
2011-04-18,23,False
2011-04-19,18,False
2011-04-20,29,False
2011-04-21,24,False
2011-04-22,16,False
2011-04-23,8,False
2011-04-24,5,False
2011-04-25,25,False
2011-04-26,21,False
2011-04-27,23,False
2011-04-28,22,False
2011-04-29,24,False
2011-04-30,9,False
2011-05-01,7,False
2011-05-02,19,False
2011-05-03,15,False
2011-05-04,20,False
2011-05-05,18,False
2011-05-06,19,False
2011-05-07,6,False
2011-05-08,3,False
2011-05-09,18,False
2011-05-10,26,False
2011-05-11,60,False
2011-05-12,59,False
2011-05-13,30,False
2011-05-14,7,False
2011-05-15,8,False
2011-05-16,24,False
2011-05-17,18,False
2011-05-18,24,False
2011-05-19,21,False
2011-05-20,20,False
2011-05-21,8,False
2011-05-22,8,False
2011-05-23,18,False
2011-05-24,19,False
2011-05-25,19,False
2011-05-26,18,False
2011-05-27,20,False
2011-05-28,9,False
2011-05-29,6,False
2011-05-30,7,False
2011-05-31,19,False
2011-06-01,20,False
2011-06-02,21,False
2011-06-03,18,False
2011-06-04,5,False
2011-06-05,6,False
2011-06-06,16,False
2011-06-07,30,False
2011-06-08,28,False
2011-06-09,26,False
2011-06-10,23,False
2011-06-11,11,False
2011-06-12,8,False
2011-06-13,20,False
2011-06-14,25,False
2011-06-15,20,False
2011-06-16,19,False
2011-06-17,17,False
2011-06-18,9,False
2011-06-19,4,False
2011-06-20,12,False
2011-06-21,20,False
2011-06-22,18,False
2011-06-23,25,False
2011-06-24,21,False
2011-06-25,10,False
2011-06-26,6,False
2011-06-27,17,False
2011-06-28,19,False
2011-06-29,17,False
2011-06-30,17,False
2011-07-01,19,False
2011-07-02,7,False
2011-07-03,7,False
2011-07-04,5,False
2011-07-05,22,False
2011-07-06,23,False
2011-07-07,14,False
2011-07-08,18,False
2011-07-09,10,False
2011-07-10,9,False
2011-07-11,19,False
2011-07-12,23,False
2011-07-13,26,False
2011-07-14,16,False
2011-07-15,22,False
2011-07-16,6,False
2011-07-17,5,False
2011-07-18,26,False
2011-07-19,29,False
2011-07-20,26,False
2011-07-21,29,False
2011-07-22,20,False
2011-07-23,10,False
2011-07-24,8,False
2011-07-25,20,False
2011-07-26,17,False
2011-07-27,17,False
