date,CSCO
2015-08-18,30
2015-08-19,26
2015-08-20,27
2015-08-21,43
2015-08-22,22
2015-08-23,6
2015-08-24,74
2015-08-25,49
2015-08-26,42
2015-08-27,44
2015-08-28,24
2015-08-29,13
2015-08-30,9
2015-08-31,32
2015-09-01,45
2015-09-02,36
2015-09-03,27
2015-09-04,34
2015-09-05,16
2015-09-06,8
2015-09-07,15
2015-09-08,30
2015-09-09,36
2015-09-10,34
2015-09-11,36
2015-09-12,14
2015-09-13,9
2015-09-14,33
2015-09-15,38
2015-09-16,30
2015-09-17,38
2015-09-18,31
2015-09-19,11
2015-09-20,7
2015-09-21,27
2015-09-22,30
2015-09-23,29
2015-09-24,27
2015-09-25,32
2015-09-26,9
2015-09-27,10
2015-09-28,22
2015-09-29,20
2015-09-30,25
2015-10-01,22
2015-10-02,26
2015-10-03,10
2015-10-04,3
2015-10-05,30
2015-10-06,42
2015-10-07,38
2015-10-08,31
2015-10-09,27
2015-10-10,10
2015-10-11,9
2015-10-12,30
2015-10-13,24
2015-10-14,19
2015-10-15,27
2015-10-16,28
2015-10-17,16
2015-10-18,6
2015-10-19,23
2015-10-20,29
2015-10-21,29
2015-10-22,40
2015-10-23,48
2015-10-24,16
2015-10-25,9
2015-10-26,33
2015-10-27,34
2015-10-28,37
2015-10-29,31
2015-10-30,22
2015-10-31,13
2015-11-01,16
2015-11-02,30
2015-11-03,32
2015-11-04,31
2015-11-05,33
2015-11-06,24
2015-11-07,8
2015-11-08,5
2015-11-09,31
2015-11-10,26
2015-11-11,25
2015-11-12,59
2015-11-13,74
2015-11-14,13
2015-11-15,6
2015-11-16,34
2015-11-17,29
2015-11-18,23
2015-11-19,29
2015-11-20,28
2015-11-21,13
2015-11-22,11
2015-11-23,21
2015-11-24,26
2015-11-25,23
2015-11-26,14
2015-11-27,13
2015-11-28,10
2015-11-29,9
2015-11-30,14
2015-12-01,25
2015-12-02,22
2015-12-03,26
2015-12-04,17
2015-12-05,13
2015-12-06,6
2015-12-07,19
2015-12-08,24
2015-12-09,20
2015-12-10,27
2015-12-11,21
2015-12-12,13
2015-12-13,8
2015-12-14,22
2015-12-15,20
2015-12-16,29
2015-12-17,23
2015-12-18,23
2015-12-19,10
2015-12-20,7
2015-12-21,18
2015-12-22,16
2015-12-23,26
2015-12-24,17
2015-12-25,9
2015-12-26,6
2015-12-27,5
2015-12-28,17
2015-12-29,17
2015-12-30,24
2015-12-31,22
2016-01-01,16
2016-01-02,11
2016-01-03,4
2016-01-04,35
2016-01-05,34
2016-01-06,29
2016-01-07,40
2016-01-08,39
2016-01-09,11
2016-01-10,10
2016-01-11,35
2016-01-12,34
2016-01-13,34
2016-01-14,38
2016-01-15,36
2016-01-16,15
2016-01-17,12
2016-01-18,17
2016-01-19,34
2016-01-20,39
2016-01-21,41
2016-01-22,30
2016-01-23,16
2016-01-24,6
2016-01-25,23
2016-01-26,35
2016-01-27,30
2016-01-28,34
2016-01-29,34
2016-01-30,19
2016-01-31,9
2016-02-01,27
2016-02-02,37
2016-02-03,35
2016-02-04,36
2016-02-05,29
2016-02-06,14
2016-02-07,8
2016-02-08,31
2016-02-09,32
2016-02-10,77
2016-02-11,100
2016-02-12,64
2016-02-13,18
2016-02-14,11
2016-02-15,19
2016-02-16,53
2016-02-17,47
2016-02-18,38
2016-02-19,42
2016-02-20,12
2016-02-21,9
2016-02-22,36
2016-02-23,38
2016-02-24,33
2016-02-25,28
2016-02-26,31
2016-02-27,8
2016-02-28,8
2016-02-29,37
2016-03-01,32
2016-03-02,26
2016-03-03,30
2016-03-04,19
2016-03-05,14
2016-03-06,9
2016-03-07,28
2016-03-08,26
2016-03-09,30
2016-03-10,28
2016-03-11,23
2016-03-12,10
2016-03-13,15
2016-03-14,22
2016-03-15,27
2016-03-16,24
2016-03-17,29
2016-03-18,30
2016-03-19,11
2016-03-20,6
2016-03-21,26
2016-03-22,27
2016-03-23,22
2016-03-24,30
2016-03-25,24
2016-03-26,4
2016-03-27,6
2016-03-28,20
2016-03-29,25
2016-03-30,26
2016-03-31,30
2016-04-01,31
2016-04-02,8
2016-04-03,9
2016-04-04,21
2016-04-05,25
2016-04-06,23
2016-04-07,24
2016-04-08,23
2016-04-09,9
2016-04-10,8
2016-04-11,21
2016-04-12,26
2016-04-13,27
2016-04-14,34
2016-04-15,24
2016-04-16,13
2016-04-17,10
2016-04-18,25
2016-04-19,21
2016-04-20,22
2016-04-21,22
2016-04-22,22
2016-04-23,16
2016-04-24,8
2016-04-25,20
2016-04-26,26
2016-04-27,28
2016-04-28,25
2016-04-29,19
2016-04-30,7
2016-05-01,11
2016-05-02,24
2016-05-03,33
2016-05-04,25
