date,CTSH
2015-08-18,33
2015-08-19,23
2015-08-20,24
2015-08-21,37
2015-08-22,7
2015-08-23,10
2015-08-24,63
2015-08-25,72
2015-08-26,49
2015-08-27,44
2015-08-28,39
2015-08-29,7
2015-08-30,11
2015-08-31,43
2015-09-01,34
2015-09-02,35
2015-09-03,29
2015-09-04,41
2015-09-05,5
2015-09-06,10
2015-09-07,16
2015-09-08,31
2015-09-09,28
2015-09-10,21
2015-09-11,21
2015-09-12,5
2015-09-13,6
2015-09-14,19
2015-09-15,34
2015-09-16,33
2015-09-17,23
2015-09-18,23
2015-09-19,6
2015-09-20,3
2015-09-21,18
2015-09-22,24
2015-09-23,32
2015-09-24,25
2015-09-25,18
2015-09-26,3
2015-09-27,5
2015-09-28,21
2015-09-29,25
2015-09-30,33
2015-10-01,29
2015-10-02,41
2015-10-03,9
2015-10-04,9
2015-10-05,35
2015-10-06,29
2015-10-07,28
2015-10-08,32
2015-10-09,22
2015-10-10,14
2015-10-11,5
2015-10-12,37
2015-10-13,36
2015-10-14,21
2015-10-15,41
2015-10-16,34
2015-10-17,17
2015-10-18,8
2015-10-19,35
2015-10-20,32
2015-10-21,27
2015-10-22,38
2015-10-23,43
2015-10-24,15
2015-10-25,9
2015-10-26,25
2015-10-27,25
2015-10-28,45
2015-10-29,35
2015-10-30,27
2015-10-31,16
2015-11-01,14
2015-11-02,46
2015-11-03,34
2015-11-04,89
2015-11-05,52
2015-11-06,59
2015-11-07,20
2015-11-08,10
2015-11-09,41
2015-11-10,34
2015-11-11,36
2015-11-12,32
2015-11-13,27
2015-11-14,11
2015-11-15,6
2015-11-16,32
2015-11-17,26
2015-11-18,34
2015-11-19,38
2015-11-20,35
2015-11-21,10
2015-11-22,3
2015-11-23,31
2015-11-24,30
2015-11-25,22
2015-11-26,15
2015-11-27,25
2015-11-28,11
2015-11-29,13
2015-11-30,24
2015-12-01,35
2015-12-02,18
2015-12-03,36
2015-12-04,32
2015-12-05,12
2015-12-06,15
2015-12-07,17
2015-12-08,29
2015-12-09,39
2015-12-10,21
2015-12-11,41
2015-12-12,14
2015-12-13,13
2015-12-14,38
2015-12-15,28
2015-12-16,43
2015-12-17,23
2015-12-18,29
2015-12-19,10
2015-12-20,6
2015-12-21,40
2015-12-22,25
2015-12-23,34
2015-12-24,34
2015-12-25,11
2015-12-26,11
2015-12-27,6
2015-12-28,25
2015-12-29,31
2015-12-30,30
2015-12-31,21
2016-01-01,9
2016-01-02,8
2016-01-03,12
2016-01-04,32
2016-01-05,34
2016-01-06,32
2016-01-07,38
2016-01-08,30
2016-01-09,16
2016-01-10,9
2016-01-11,47
2016-01-12,53
2016-01-13,33
2016-01-14,56
2016-01-15,55
2016-01-16,15
2016-01-17,4
2016-01-18,22
2016-01-19,43
2016-01-20,38
2016-01-21,37
2016-01-22,43
2016-01-23,15
2016-01-24,7
2016-01-25,41
2016-01-26,37
2016-01-27,37
2016-01-28,41
2016-01-29,33
2016-01-30,13
2016-01-31,7
2016-02-01,40
2016-02-02,43
2016-02-03,34
2016-02-04,49
2016-02-05,40
2016-02-06,9
2016-02-07,9
2016-02-08,100
2016-02-09,60
2016-02-10,53
2016-02-11,55
2016-02-12,46
2016-02-13,11
2016-02-14,6
2016-02-15,24
2016-02-16,47
2016-02-17,47
2016-02-18,34
2016-02-19,34
2016-02-20,9
2016-02-21,20
2016-02-22,44
2016-02-23,32
2016-02-24,28
2016-02-25,36
2016-02-26,48
2016-02-27,14
2016-02-28,11
2016-02-29,26
2016-03-01,55
2016-03-02,17
2016-03-03,24
2016-03-04,40
2016-03-05,15
2016-03-06,10
2016-03-07,31
2016-03-08,24
2016-03-09,33
2016-03-10,29
2016-03-11,26
2016-03-12,15
2016-03-13,6
2016-03-14,31
2016-03-15,32
2016-03-16,38
2016-03-17,28
2016-03-18,31
2016-03-19,12
2016-03-20,11
2016-03-21,36
2016-03-22,39
2016-03-23,39
2016-03-24,27
2016-03-25,19
2016-03-26,6
2016-03-27,3
2016-03-28,27
2016-03-29,33
2016-03-30,32
2016-03-31,41
2016-04-01,27
2016-04-02,15
2016-04-03,7
2016-04-04,31
2016-04-05,34
2016-04-06,24
2016-04-07,26
2016-04-08,19
2016-04-09,20
2016-04-10,10
2016-04-11,21
2016-04-12,27
2016-04-13,24
2016-04-14,22
2016-04-15,31
2016-04-16,14
2016-04-17,17
2016-04-18,25
2016-04-19,32
2016-04-20,22
2016-04-21,26
2016-04-22,18
2016-04-23,14
2016-04-24,13
2016-04-25,23
2016-04-26,30
2016-04-27,21
2016-04-28,18
2016-04-29,25
2016-04-30,17
2016-05-01,0
2016-05-02,28
2016-05-03,25
2016-05-04,25
