date,CTSH,isPartial
2011-05-11,55,False
2011-05-12,31,False
2011-05-13,47,False
2011-05-14,17,False
2011-05-15,33,False
2011-05-16,27,False
2011-05-17,31,False
2011-05-18,31,False
2011-05-19,45,False
2011-05-20,25,False
2011-05-21,9,False
2011-05-22,13,False
2011-05-23,34,False
2011-05-24,24,False
2011-05-25,27,False
2011-05-26,41,False
2011-05-27,51,False
2011-05-28,0,False
2011-05-29,13,False
2011-05-30,14,False
2011-05-31,64,False
2011-06-01,34,False
2011-06-02,29,False
2011-06-03,37,False
2011-06-04,22,False
2011-06-05,17,False
2011-06-06,27,False
2011-06-07,37,False
2011-06-08,27,False
2011-06-09,27,False
2011-06-10,28,False
2011-06-11,9,False
2011-06-12,9,False
2011-06-13,51,False
2011-06-14,27,False
2011-06-15,30,False
2011-06-16,52,False
2011-06-17,40,False
2011-06-18,26,False
2011-06-19,9,False
2011-06-20,30,False
2011-06-21,30,False
2011-06-22,48,False
2011-06-23,43,False
2011-06-24,22,False
2011-06-25,18,False
2011-06-26,18,False
2011-06-27,34,False
2011-06-28,37,False
2011-06-29,14,False
2011-06-30,38,False
2011-07-01,29,False
2011-07-02,18,False
2011-07-03,31,False
2011-07-04,18,False
2011-07-05,28,False
2011-07-06,38,False
2011-07-07,45,False
2011-07-08,44,False
2011-07-09,22,False
2011-07-10,14,False
2011-07-11,21,False
2011-07-12,34,False
2011-07-13,24,False
2011-07-14,39,False
2011-07-15,11,False
2011-07-16,18,False
2011-07-17,9,False
2011-07-18,48,False
2011-07-19,37,False
2011-07-20,48,False
2011-07-21,31,False
2011-07-22,58,False
2011-07-23,0,False
2011-07-24,17,False
2011-07-25,51,False
2011-07-26,48,False
2011-07-27,38,False
2011-07-28,35,False
2011-07-29,55,False
2011-07-30,9,False
2011-07-31,27,False
2011-08-01,31,False
2011-08-02,59,False
2011-08-03,31,False
2011-08-04,69,False
2011-08-05,65,False
2011-08-06,34,False
2011-08-07,34,False
2011-08-08,100,False
2011-08-09,63,False
2011-08-10,41,False
2011-08-11,65,False
