date,CTXS
2016-05-04,32
2016-05-05,49
2016-05-06,11
2016-05-07,0
2016-05-08,0
2016-05-09,43
2016-05-10,10
2016-05-11,26
2016-05-12,16
2016-05-13,44
2016-05-14,12
2016-05-15,12
2016-05-16,11
2016-05-17,26
2016-05-18,32
2016-05-19,21
2016-05-20,33
2016-05-21,26
2016-05-22,13
2016-05-23,37
2016-05-24,32
2016-05-25,59
2016-05-26,50
2016-05-27,23
2016-05-28,0
2016-05-29,0
2016-05-30,11
2016-05-31,11
2016-06-01,21
2016-06-02,16
2016-06-03,23
2016-06-04,26
2016-06-05,25
2016-06-06,16
2016-06-07,16
2016-06-08,32
2016-06-09,55
2016-06-10,17
2016-06-11,0
2016-06-12,12
2016-06-13,21
2016-06-14,21
2016-06-15,21
2016-06-16,32
2016-06-17,45
2016-06-18,13
2016-06-19,13
2016-06-20,26
2016-06-21,27
2016-06-22,16
2016-06-23,22
2016-06-24,100
2016-06-25,13
2016-06-26,13
2016-06-27,74
2016-06-28,32
2016-06-29,32
2016-06-30,11
2016-07-01,28
2016-07-02,0
2016-07-03,26
2016-07-04,11
2016-07-05,11
2016-07-06,17
2016-07-07,23
2016-07-08,23
2016-07-09,13
2016-07-10,13
2016-07-11,27
2016-07-12,27
2016-07-13,22
2016-07-14,28
2016-07-15,34
2016-07-16,0
2016-07-17,13
2016-07-18,44
2016-07-19,17
2016-07-20,0
2016-07-21,11
2016-07-22,39
2016-07-23,13
2016-07-24,26
2016-07-25,32
2016-07-26,81
2016-07-27,49
2016-07-28,72
2016-07-29,34
2016-07-30,33
2016-07-31,0
2016-08-01,27
2016-08-02,43
2016-08-03,22
2016-08-04,38
2016-08-05,29
2016-08-06,26
2016-08-07,0
2016-08-08,33
2016-08-09,38
2016-08-10,16
2016-08-11,50
2016-08-12,51
2016-08-13,13
2016-08-14,13
2016-08-15,51
2016-08-16,33
2016-08-17,22
2016-08-18,28
2016-08-19,11
2016-08-20,12
2016-08-21,12
2016-08-22,27
2016-08-23,44
2016-08-24,32
2016-08-25,33
2016-08-26,28
2016-08-27,13
2016-08-28,0
2016-08-29,21
2016-08-30,16
2016-08-31,37
2016-09-01,11
2016-09-02,17
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,10
2016-09-07,11
2016-09-08,11
2016-09-09,11
2016-09-10,12
2016-09-11,0
2016-09-12,11
2016-09-13,16
2016-09-14,26
2016-09-15,16
2016-09-16,11
2016-09-17,18
2016-09-18,0
2016-09-19,10
2016-09-20,15
2016-09-21,16
2016-09-22,16
2016-09-23,11
2016-09-24,0
2016-09-25,12
2016-09-26,26
2016-09-27,31
2016-09-28,15
2016-09-29,21
2016-09-30,22
2016-10-01,12
2016-10-02,0
2016-10-03,30
2016-10-04,25
2016-10-05,15
2016-10-06,15
2016-10-07,16
2016-10-08,0
2016-10-09,0
2016-10-10,15
2016-10-11,21
2016-10-12,16
2016-10-13,10
2016-10-14,21
2016-10-15,18
2016-10-16,12
2016-10-17,20
2016-10-18,30
2016-10-19,66
2016-10-20,97
2016-10-21,41
2016-10-22,35
2016-10-23,0
2016-10-24,40
2016-10-25,30
2016-10-26,10
2016-10-27,10
2016-10-28,32
2016-10-29,12
2016-10-30,12
2016-10-31,21
2016-11-01,10
2016-11-02,31
2016-11-03,30
2016-11-04,16
2016-11-05,0
2016-11-06,0
2016-11-07,10
2016-11-08,25
2016-11-09,23
2016-11-10,40
2016-11-11,10
2016-11-12,12
2016-11-13,0
2016-11-14,20
2016-11-15,15
2016-11-16,0
2016-11-17,25
2016-11-18,26
2016-11-19,12
2016-11-20,0
2016-11-21,15
2016-11-22,10
2016-11-23,10
2016-11-24,10
2016-11-25,10
2016-11-26,0
2016-11-27,0
2016-11-28,29
2016-11-29,15
2016-11-30,20
2016-12-01,30
2016-12-02,20
2016-12-03,11
2016-12-04,0
2016-12-05,10
2016-12-06,20
2016-12-07,40
2016-12-08,51
2016-12-09,75
2016-12-10,0
2016-12-11,12
2016-12-12,30
2016-12-13,25
2016-12-14,35
2016-12-15,35
2016-12-16,32
2016-12-17,12
2016-12-18,23
2016-12-19,30
2016-12-20,26
2016-12-21,16
2016-12-22,32
2016-12-23,22
2016-12-24,0
2016-12-25,26
2016-12-26,34
2016-12-27,26
2016-12-28,21
2016-12-29,16
2016-12-30,17
2016-12-31,0
2017-01-01,0
2017-01-02,11
2017-01-03,10
2017-01-04,10
2017-01-05,10
2017-01-06,21
2017-01-07,11
2017-01-08,0
2017-01-09,10
2017-01-10,24
2017-01-11,29
2017-01-12,49
2017-01-13,25
2017-01-14,34
2017-01-15,11
2017-01-16,19
2017-01-17,10
2017-01-18,20
2017-01-19,15
