date,DISCA
2017-01-19,85
2017-01-20,33
2017-01-21,23
2017-01-22,42
2017-01-23,72
2017-01-24,64
2017-01-25,44
2017-01-26,57
2017-01-27,55
2017-01-28,47
2017-01-29,42
2017-01-30,48
2017-01-31,69
2017-02-01,64
2017-02-02,65
2017-02-03,96
2017-02-04,69
2017-02-05,45
2017-02-06,79
2017-02-07,67
2017-02-08,52
2017-02-09,48
2017-02-10,83
2017-02-11,42
2017-02-12,37
2017-02-13,83
2017-02-14,100
2017-02-15,53
2017-02-16,57
2017-02-17,58
2017-02-18,42
2017-02-19,51
2017-02-20,60
2017-02-21,96
2017-02-22,56
2017-02-23,85
2017-02-24,76
2017-02-25,24
2017-02-26,46
2017-02-27,45
2017-02-28,69
2017-03-01,48
2017-03-02,36
2017-03-03,66
2017-03-04,41
2017-03-05,36
2017-03-06,79
2017-03-07,83
2017-03-08,63
2017-03-09,68
2017-03-10,78
2017-03-11,32
2017-03-12,32
2017-03-13,51
2017-03-14,59
2017-03-15,51
2017-03-16,54
2017-03-17,58
2017-03-18,50
2017-03-19,54
2017-03-20,91
2017-03-21,63
2017-03-22,63
2017-03-23,52
2017-03-24,68
2017-03-25,14
2017-03-26,33
2017-03-27,67
2017-03-28,52
2017-03-29,76
2017-03-30,74
2017-03-31,63
2017-04-01,85
