date,DISCA,isPartial
2017-05-29,21,False
2017-05-30,30,False
2017-05-31,20,False
2017-06-01,31,False
2017-06-02,22,False
2017-06-03,36,False
2017-06-04,47,False
2017-06-05,30,False
2017-06-06,20,False
2017-06-07,10,False
2017-06-08,51,False
2017-06-09,42,False
2017-06-10,36,False
2017-06-11,36,False
2017-06-12,40,False
2017-06-13,50,False
2017-06-14,20,False
2017-06-15,10,False
2017-06-16,54,False
2017-06-17,12,False
2017-06-18,48,False
2017-06-19,30,False
2017-06-20,39,False
2017-06-21,20,False
2017-06-22,88,False
2017-06-23,21,False
2017-06-24,47,False
2017-06-25,36,False
2017-06-26,41,False
2017-06-27,41,False
2017-06-28,21,False
2017-06-29,85,False
2017-06-30,33,False
2017-07-01,12,False
2017-07-02,60,False
2017-07-03,53,False
2017-07-04,64,False
2017-07-05,42,False
2017-07-06,32,False
2017-07-07,22,False
2017-07-08,12,False
2017-07-09,0,False
2017-07-10,52,False
2017-07-11,10,False
2017-07-12,21,False
2017-07-13,0,False
2017-07-14,43,False
2017-07-15,36,False
2017-07-16,12,False
2017-07-17,10,False
2017-07-18,31,False
2017-07-19,93,False
2017-07-20,83,False
2017-07-21,32,False
2017-07-22,36,False
2017-07-23,12,False
2017-07-24,71,False
2017-07-25,71,False
2017-07-26,10,False
2017-07-27,72,False
2017-07-28,32,False
2017-07-29,36,False
2017-07-30,83,False
2017-07-31,91,False
2017-08-01,88,False
2017-08-02,19,False
2017-08-03,30,False
2017-08-04,52,False
2017-08-05,24,False
2017-08-06,47,False
2017-08-07,49,False
2017-08-08,48,False
2017-08-09,60,False
2017-08-10,20,False
2017-08-11,52,False
2017-08-12,35,False
2017-08-13,12,False
2017-08-14,41,False
2017-08-15,52,False
2017-08-16,30,False
2017-08-17,50,False
2017-08-18,72,False
2017-08-19,34,False
2017-08-20,23,False
2017-08-21,20,False
2017-08-22,40,False
2017-08-23,20,False
2017-08-24,20,False
2017-08-25,0,False
2017-08-26,59,False
2017-08-27,34,False
2017-08-28,20,False
2017-08-29,40,False
2017-08-30,30,False
2017-08-31,30,False
2017-09-01,52,False
2017-09-02,23,False
2017-09-03,23,False
2017-09-04,31,False
2017-09-05,29,False
2017-09-06,49,False
2017-09-07,40,False
2017-09-08,51,False
2017-09-09,91,False
2017-09-10,56,False
2017-09-11,49,False
2017-09-12,19,False
2017-09-13,48,False
2017-09-14,88,False
2017-09-15,51,False
2017-09-16,34,False
2017-09-17,0,False
2017-09-18,58,False
2017-09-19,68,False
2017-09-20,10,False
2017-09-21,20,False
2017-09-22,31,False
2017-09-23,11,False
2017-09-24,34,False
2017-09-25,39,False
2017-09-26,19,False
2017-09-27,29,False
2017-09-28,49,False
2017-09-29,21,False
2017-09-30,11,False
2017-10-01,11,False
2017-10-02,20,False
2017-10-03,10,False
2017-10-04,19,False
2017-10-05,20,False
2017-10-06,90,False
2017-10-07,0,False
2017-10-08,0,False
2017-10-09,39,False
2017-10-10,29,False
2017-10-11,87,False
2017-10-12,89,False
2017-10-13,40,False
2017-10-14,23,False
2017-10-15,44,False
2017-10-16,39,False
2017-10-17,0,False
2017-10-18,29,False
2017-10-19,79,False
2017-10-20,51,False
2017-10-21,22,False
2017-10-22,32,False
2017-10-23,38,False
2017-10-24,38,False
2017-10-25,19,False
2017-10-26,39,False
2017-10-27,10,False
2017-10-28,0,False
2017-10-29,32,False
2017-10-30,38,False
2017-10-31,29,False
2017-11-01,20,False
2017-11-02,39,False
2017-11-03,100,False
2017-11-04,22,False
2017-11-05,32,False
2017-11-06,38,False
2017-11-07,46,False
2017-11-08,57,False
2017-11-09,28,False
2017-11-10,59,False
2017-11-11,33,False
2017-11-12,32,False
2017-11-13,9,False
2017-11-14,47,False
2017-11-15,75,False
2017-11-16,47,False
2017-11-17,29,False
2017-11-18,32,False
2017-11-19,0,False
2017-11-20,28,False
2017-11-21,56,False
2017-11-22,38,False
2017-11-23,29,False
2017-11-24,59,False
2017-11-25,32,False
2017-11-26,21,False
2017-11-27,37,False
2017-11-28,46,False
2017-11-29,57,False
2017-11-30,19,False
2017-12-01,49,False
2017-12-02,22,False
2017-12-03,11,False
2017-12-04,84,False
2017-12-05,47,False
2017-12-06,56,False
2017-12-07,48,False
2017-12-08,20,False
2017-12-09,11,False
2017-12-10,21,False
2017-12-11,28,False
2017-12-12,37,False
2017-12-13,28,False
2017-12-14,58,False
2017-12-15,10,False
2017-12-16,22,False
2017-12-17,65,False
2017-12-18,38,False
2017-12-19,39,False
2017-12-20,49,False
2017-12-21,91,False
2017-12-22,53,False
2017-12-23,57,False
2017-12-24,12,False
2017-12-25,74,False
2017-12-26,63,False
2017-12-27,30,False
2017-12-28,51,False
2017-12-29,64,False
2017-12-30,34,False
2017-12-31,23,False
2018-01-01,12,False
2018-01-02,29,False
2018-01-03,38,False
2018-01-04,57,False
2018-01-05,39,False
2018-01-06,43,False
2018-01-07,0,False
2018-01-08,18,False
2018-01-09,64,False
2018-01-10,93,False
2018-01-11,47,False
2018-01-12,48,False
2018-01-13,11,False
2018-01-14,42,False
2018-01-15,18,False
2018-01-16,18,False
2018-01-17,72,False
2018-01-18,36,False
2018-01-19,67,False
2018-01-20,42,False
2018-01-21,21,False
2018-01-22,45,False
2018-01-23,9,False
2018-01-24,36,False
2018-01-25,64,False
2018-01-26,29,False
2018-01-27,11,False
2018-01-28,21,False
2018-01-29,36,False
2018-01-30,36,False
2018-01-31,27,False
2018-02-01,27,False
2018-02-02,57,False
2018-02-03,10,False
2018-02-04,21,False
2018-02-05,55,False
2018-02-06,27,False
2018-02-07,45,False
2018-02-08,37,False
2018-02-09,47,False
2018-02-10,21,False
2018-02-11,0,False
2018-02-12,28,False
2018-02-13,28,False
