date,DISCK
2011-05-11,57
2011-05-12,86
2011-05-13,66
2011-05-14,65
2011-05-15,74
2011-05-16,64
2011-05-17,54
2011-05-18,46
2011-05-19,50
2011-05-20,61
2011-05-21,56
2011-05-22,48
2011-05-23,48
2011-05-24,62
2011-05-25,58
2011-05-26,41
2011-05-27,54
2011-05-28,42
2011-05-29,53
2011-05-30,66
2011-05-31,78
2011-06-01,39
2011-06-02,64
2011-06-03,68
2011-06-04,79
2011-06-05,55
2011-06-06,54
2011-06-07,40
2011-06-08,71
2011-06-09,73
2011-06-10,60
2011-06-11,56
2011-06-12,28
2011-06-13,69
2011-06-14,61
2011-06-15,38
2011-06-16,63
2011-06-17,63
2011-06-18,52
2011-06-19,38
2011-06-20,53
2011-06-21,53
2011-06-22,49
2011-06-23,39
2011-06-24,41
2011-06-25,32
2011-06-26,32
2011-06-27,60
2011-06-28,62
2011-06-29,55
2011-06-30,47
2011-07-01,62
2011-07-02,54
2011-07-03,57
2011-07-04,49
2011-07-05,61
2011-07-06,49
2011-07-07,64
2011-07-08,50
2011-07-09,54
2011-07-10,78
2011-07-11,55
2011-07-12,46
2011-07-13,55
2011-07-14,70
2011-07-15,68
2011-07-16,57
2011-07-17,39
2011-07-18,76
2011-07-19,70
2011-07-20,47
2011-07-21,45
2011-07-22,61
2011-07-23,55
2011-07-24,66
2011-07-25,60
2011-07-26,57
2011-07-27,61
2011-07-28,59
2011-07-29,58
2011-07-30,81
2011-07-31,50
2011-08-01,56
2011-08-02,36
2011-08-03,30
2011-08-04,41
2011-08-05,46
2011-08-06,75
2011-08-07,64
2011-08-08,45
2011-08-09,43
2011-08-10,62
2011-08-11,57
2011-08-12,49
2011-08-13,49
2011-08-14,34
2011-08-15,31
2011-08-16,40
2011-08-17,57
2011-08-18,49
2011-08-19,61
2011-08-20,64
2011-08-21,40
2011-08-22,53
2011-08-23,62
2011-08-24,47
2011-08-25,39
2011-08-26,58
2011-08-27,32
2011-08-28,62
2011-08-29,37
2011-08-30,58
2011-08-31,58
2011-09-01,66
2011-09-02,66
2011-09-03,45
2011-09-04,54
2011-09-05,55
2011-09-06,68
2011-09-07,53
2011-09-08,48
2011-09-09,61
2011-09-10,50
2011-09-11,80
2011-09-12,40
2011-09-13,62
2011-09-14,65
2011-09-15,61
2011-09-16,24
2011-09-17,60
2011-09-18,63
2011-09-19,27
2011-09-20,47
2011-09-21,32
2011-09-22,65
2011-09-23,66
2011-09-24,37
2011-09-25,68
2011-09-26,52
2011-09-27,56
2011-09-28,42
2011-09-29,63
2011-09-30,50
2011-10-01,38
2011-10-02,43
2011-10-03,55
2011-10-04,74
2011-10-05,49
2011-10-06,77
2011-10-07,49
2011-10-08,61
2011-10-09,60
2011-10-10,54
2011-10-11,42
2011-10-12,72
2011-10-13,42
2011-10-14,56
2011-10-15,61
2011-10-16,39
2011-10-17,48
2011-10-18,53
2011-10-19,56
2011-10-20,42
2011-10-21,72
2011-10-22,72
2011-10-23,62
2011-10-24,33
2011-10-25,89
2011-10-26,56
2011-10-27,47
2011-10-28,49
2011-10-29,57
2011-10-30,74
2011-10-31,70
2011-11-01,55
2011-11-02,66
2011-11-03,46
2011-11-04,58
2011-11-05,53
2011-11-06,81
2011-11-07,55
2011-11-08,55
2011-11-09,53
2011-11-10,65
2011-11-11,43
2011-11-12,59
2011-11-13,69
2011-11-14,66
2011-11-15,41
2011-11-16,31
2011-11-17,70
2011-11-18,55
2011-11-19,58
2011-11-20,80
2011-11-21,45
2011-11-22,50
2011-11-23,65
2011-11-24,88
2011-11-25,83
2011-11-26,64
2011-11-27,76
2011-11-28,51
2011-11-29,56
2011-11-30,52
2011-12-01,60
2011-12-02,57
2011-12-03,57
2011-12-04,39
2011-12-05,51
2011-12-06,54
2011-12-07,80
2011-12-08,39
2011-12-09,35
2011-12-10,49
2011-12-11,48
2011-12-12,39
2011-12-13,56
2011-12-14,56
2011-12-15,58
2011-12-16,68
2011-12-17,70
2011-12-18,52
2011-12-19,88
2011-12-20,68
2011-12-21,47
2011-12-22,56
2011-12-23,55
2011-12-24,58
2011-12-25,100
2011-12-26,48
2011-12-27,33
2011-12-28,56
2011-12-29,86
2011-12-30,43
2011-12-31,47
2012-01-01,58
2012-01-02,52
2012-01-03,61
2012-01-04,79
2012-01-05,47
2012-01-06,61
2012-01-07,55
2012-01-08,58
2012-01-09,54
2012-01-10,38
2012-01-11,59
2012-01-12,46
2012-01-13,68
2012-01-14,72
2012-01-15,54
2012-01-16,55
2012-01-17,65
2012-01-18,50
2012-01-19,70
2012-01-20,49
2012-01-21,50
2012-01-22,52
2012-01-23,64
2012-01-24,62
2012-01-25,62
2012-01-26,65
