date,value
2017-09-17,29.0
2017-09-18,81.0
2017-09-19,50.0
2017-09-20,56.0
2017-09-21,36.0
2017-09-22,38.0
2017-09-23,30.0
2017-09-24,63.0
2017-09-25,55.0
2017-09-26,55.0
2017-09-27,51.0
2017-09-28,36.0
2017-09-29,75.0
2017-09-30,18.0
2017-10-01,29.0
2017-10-02,45.0
2017-10-03,61.0
2017-10-04,55.0
2017-10-05,26.0
2017-10-06,47.0
2017-10-07,41.0
2017-10-08,58.0
2017-10-09,75.0
2017-10-10,59.0
2017-10-11,45.0
2017-10-12,26.0
2017-10-13,42.0
2017-10-14,47.0
2017-10-15,52.0
2017-10-16,60.0
2017-10-17,30.0
2017-10-18,55.0
2017-10-19,76.0
2017-10-20,48.0
2017-10-21,58.0
2017-10-22,28.0
2017-10-23,29.0
2017-10-24,40.0
2017-10-25,45.0
2017-10-26,60.0
2017-10-27,37.0
2017-10-28,58.0
2017-10-29,50.0
2017-10-30,64.0
2017-10-31,51.0
2017-11-01,46.0
2017-11-02,46.0
2017-11-03,67.0
2017-11-04,34.0
2017-11-05,49.0
2017-11-06,44.0
2017-11-07,53.0
2017-11-08,39.0
2017-11-09,39.0
2017-11-10,46.0
2017-11-11,45.0
2017-11-12,56.0
2017-11-13,34.0
2017-11-14,49.0
2017-11-15,63.0
2017-11-16,44.0
2017-11-17,20.0
2017-11-18,45.0
2017-11-19,16.0
2017-11-20,49.0
2017-11-21,49.0
2017-11-22,64.0
2017-11-23,65.0
2017-11-24,20.0
2017-11-25,55.0
2017-11-26,61.0
2017-11-27,47.0
2017-11-28,19.0
2017-11-29,39.0
2017-11-30,70.0
2017-12-01,66.0
2017-12-02,0.0
2017-12-03,56.0
2017-12-04,53.0
2017-12-05,48.0
2017-12-06,54.0
2017-12-07,49.0
2017-12-08,16.0
2017-12-09,40.0
2017-12-10,22.0
2017-12-11,58.0
2017-12-12,53.0
2017-12-13,49.0
2017-12-14,84.0
2017-12-15,67.0
2017-12-16,86.0
2017-12-17,45.0
2017-12-18,44.0
2017-12-19,25.0
2017-12-20,66.0
2017-12-21,32.0
2017-12-22,71.0
2017-12-23,48.0
2017-12-24,63.0
2017-12-25,38.0
2017-12-26,50.0
2017-12-27,69.0
2017-12-28,21.0
2017-12-29,93.0
2017-12-30,35.0
2017-12-31,49.0
2018-01-01,48.0
2018-01-02,61.0
2018-01-03,34.0
2018-01-04,44.0
2018-01-05,65.0
2018-01-06,22.0
2018-01-07,55.0
2018-01-08,72.0
2018-01-09,52.0
2018-01-10,48.0
2018-01-11,78.0
2018-01-12,60.0
2018-01-13,44.0
2018-01-14,38.0
2018-01-15,29.0
2018-01-16,62.0
2018-01-17,66.0
2018-01-18,71.0
2018-01-19,65.0
2018-01-20,54.0
2018-01-21,32.0
2018-01-22,42.0
2018-01-23,33.0
2018-01-24,42.0
2018-01-25,47.0
2018-01-26,60.0
2018-01-27,55.0
2018-01-28,43.0
2018-01-29,57.0
2018-01-30,52.0
2018-01-31,47.0
2018-02-01,43.0
2018-02-02,29.0
2018-02-03,38.0
2018-02-04,48.0
2018-02-05,57.0
2018-02-06,52.0
2018-02-07,43.0
2018-02-08,38.0
2018-02-09,64.0
2018-02-10,59.0
2018-02-11,33.0
2018-02-12,43.0
2018-02-13,86.0
2018-02-14,33.0
2018-02-15,43.0
2018-02-16,55.0
2018-02-17,33.0
2018-02-18,43.0
2018-02-19,56.0
2018-02-20,33.0
2018-02-21,98.0
2018-02-22,33.0
2018-02-23,74.0
2018-02-24,54.0
2018-02-25,47.0
2018-02-26,42.0
2018-02-27,37.0
2018-02-28,51.0
2018-03-01,46.0
2018-03-02,39.0
2018-03-03,76.0
2018-03-04,21.0
2018-03-05,36.0
2018-03-06,74.0
2018-03-07,47.0
2018-03-08,57.0
2018-03-09,29.0
2018-03-10,38.0
2018-03-11,48.0
2018-03-12,46.0
2018-03-13,70.0
2018-03-14,69.0
2018-03-15,62.0
2018-03-16,44.0
2018-03-17,38.0
2018-03-18,37.0
2018-03-19,70.0
2018-03-20,37.0
2018-03-21,70.0
2018-03-22,67.0
2018-03-23,69.0
2018-03-24,33.0
2018-03-25,38.0
2018-03-26,24.0
2018-03-27,52.0
2018-03-28,39.0
2018-03-29,66.0
2018-03-30,59.0
2018-03-31,67.0
2018-04-01,34.0
2018-04-02,75.0
2018-04-03,61.0
2018-04-04,67.0
2018-04-05,39.0
2018-04-06,69.0
2018-04-07,16.0
2018-04-08,43.0
2018-04-09,47.0
2018-04-10,33.0
2018-04-11,56.0
2018-04-12,53.0
2018-04-13,59.0
2018-04-14,66.0
2018-04-15,76.0
2018-04-16,28.0
2018-04-17,42.0
2018-04-18,28.0
2018-04-19,68.0
2018-04-20,25.0
2018-04-21,56.0
2018-04-22,33.0
2018-04-23,41.0
2018-04-24,56.0
2018-04-25,62.0
2018-04-26,38.0
