date,DISH
2015-04-10,70
2015-04-11,75
2015-04-12,75
2015-04-13,67
2015-04-14,65
2015-04-15,65
2015-04-16,63
2015-04-17,65
2015-04-18,74
2015-04-19,74
2015-04-20,64
2015-04-21,65
2015-04-22,62
2015-04-23,63
2015-04-24,66
2015-04-25,74
2015-04-26,72
2015-04-27,66
2015-04-28,63
2015-04-29,65
2015-04-30,67
2015-05-01,78
2015-05-02,95
2015-05-03,96
2015-05-04,66
2015-05-05,64
2015-05-06,64
2015-05-07,60
2015-05-08,64
2015-05-09,73
2015-05-10,69
2015-05-11,62
2015-05-12,65
2015-05-13,63
2015-05-14,63
2015-05-15,65
2015-05-16,70
2015-05-17,69
2015-05-18,62
2015-05-19,60
2015-05-20,59
2015-05-21,59
2015-05-22,63
2015-05-23,68
2015-05-24,69
2015-05-25,62
2015-05-26,62
2015-05-27,61
2015-05-28,61
2015-05-29,63
2015-05-30,69
2015-05-31,67
2015-06-01,64
2015-06-02,64
2015-06-03,62
2015-06-04,68
2015-06-05,69
2015-06-06,71
2015-06-07,66
2015-06-08,65
2015-06-09,63
2015-06-10,62
2015-06-11,62
2015-06-12,66
2015-06-13,70
2015-06-14,72
2015-06-15,65
2015-06-16,65
2015-06-17,65
2015-06-18,66
2015-06-19,68
2015-06-20,71
2015-06-21,68
2015-06-22,65
2015-06-23,64
2015-06-24,61
2015-06-25,61
2015-06-26,65
2015-06-27,71
2015-06-28,68
2015-06-29,66
2015-06-30,64
2015-07-01,66
2015-07-02,64
2015-07-03,64
2015-07-04,67
2015-07-05,67
2015-07-06,66
2015-07-07,65
2015-07-08,66
2015-07-09,64
2015-07-10,65
2015-07-11,71
2015-07-12,71
2015-07-13,64
2015-07-14,64
2015-07-15,63
2015-07-16,62
2015-07-17,65
2015-07-18,69
2015-07-19,69
2015-07-20,64
2015-07-21,64
2015-07-22,66
2015-07-23,64
2015-07-24,64
2015-07-25,70
2015-07-26,70
2015-07-27,66
2015-07-28,66
2015-07-29,63
2015-07-30,63
2015-07-31,66
2015-08-01,74
2015-08-02,77
2015-08-03,66
2015-08-04,67
2015-08-05,69
2015-08-06,71
2015-08-07,73
2015-08-08,70
2015-08-09,72
2015-08-10,67
2015-08-11,69
2015-08-12,67
2015-08-13,67
2015-08-14,73
2015-08-15,78
2015-08-16,77
2015-08-17,70
2015-08-18,66
2015-08-19,65
2015-08-20,65
2015-08-21,66
2015-08-22,73
2015-08-23,74
2015-08-24,69
2015-08-25,66
2015-08-26,71
2015-08-27,63
2015-08-28,67
2015-08-29,75
2015-08-30,77
2015-08-31,69
2015-09-01,67
2015-09-02,68
2015-09-03,70
2015-09-04,71
2015-09-05,91
2015-09-06,75
2015-09-07,65
2015-09-08,66
2015-09-09,65
2015-09-10,65
2015-09-11,66
2015-09-12,93
2015-09-13,90
2015-09-14,68
2015-09-15,69
2015-09-16,65
2015-09-17,66
2015-09-18,68
2015-09-19,85
2015-09-20,90
2015-09-21,66
2015-09-22,64
2015-09-23,68
2015-09-24,66
2015-09-25,65
2015-09-26,81
2015-09-27,80
2015-09-28,67
2015-09-29,67
2015-09-30,68
2015-10-01,65
2015-10-02,70
2015-10-03,85
2015-10-04,80
2015-10-05,68
2015-10-06,66
2015-10-07,67
2015-10-08,74
2015-10-09,74
2015-10-10,99
2015-10-11,100
2015-10-12,77
2015-10-13,70
2015-10-14,70
2015-10-15,67
2015-10-16,71
2015-10-17,87
2015-10-18,83
2015-10-19,71
2015-10-20,69
2015-10-21,67
2015-10-22,65
2015-10-23,67
2015-10-24,82
2015-10-25,78
2015-10-26,67
2015-10-27,69
2015-10-28,72
2015-10-29,71
2015-10-30,69
2015-10-31,80
2015-11-01,77
2015-11-02,71
2015-11-03,72
2015-11-04,70
2015-11-05,69
2015-11-06,71
2015-11-07,84
2015-11-08,82
2015-11-09,68
2015-11-10,72
2015-11-11,70
2015-11-12,65
2015-11-13,72
2015-11-14,86
2015-11-15,89
2015-11-16,70
2015-11-17,69
2015-11-18,69
2015-11-19,70
2015-11-20,74
2015-11-21,97
2015-11-22,94
2015-11-23,73
2015-11-24,71
2015-11-25,75
2015-11-26,77
2015-11-27,74
2015-11-28,89
2015-11-29,81
2015-11-30,69
2015-12-01,70
2015-12-02,69
2015-12-03,69
2015-12-04,71
2015-12-05,78
2015-12-06,78
2015-12-07,69
2015-12-08,70
2015-12-09,69
2015-12-10,66
2015-12-11,70
2015-12-12,82
2015-12-13,81
2015-12-14,66
2015-12-15,71
2015-12-16,69
2015-12-17,71
2015-12-18,72
2015-12-19,83
2015-12-20,86
2015-12-21,74
2015-12-22,75
2015-12-23,77
2015-12-24,82
2015-12-25,79
2015-12-26,83
