date,DLTR
2015-04-10,25
2015-04-11,23
2015-04-12,28
2015-04-13,34
2015-04-14,23
2015-04-15,12
2015-04-16,17
2015-04-17,24
2015-04-18,27
2015-04-19,20
2015-04-20,34
2015-04-21,19
2015-04-22,11
2015-04-23,17
2015-04-24,30
2015-04-25,14
2015-04-26,0
2015-04-27,23
2015-04-28,23
2015-04-29,17
2015-04-30,12
2015-05-01,26
2015-05-02,27
2015-05-03,13
2015-05-04,35
2015-05-05,19
2015-05-06,23
2015-05-07,17
2015-05-08,24
2015-05-09,14
2015-05-10,14
2015-05-11,12
2015-05-12,19
2015-05-13,11
2015-05-14,12
2015-05-15,12
2015-05-16,14
2015-05-17,13
2015-05-18,11
2015-05-19,19
2015-05-20,28
2015-05-21,27
2015-05-22,36
2015-05-23,34
2015-05-24,0
2015-05-25,0
2015-05-26,23
2015-05-27,17
2015-05-28,23
2015-05-29,24
2015-05-30,0
2015-05-31,14
2015-06-01,11
2015-06-02,19
2015-06-03,34
2015-06-04,16
2015-06-05,18
2015-06-06,14
2015-06-07,0
2015-06-08,11
2015-06-09,28
2015-06-10,17
2015-06-11,12
2015-06-12,12
2015-06-13,21
2015-06-14,0
2015-06-15,17
2015-06-16,23
2015-06-17,19
2015-06-18,18
2015-06-19,24
2015-06-20,34
2015-06-21,0
2015-06-22,27
2015-06-23,27
2015-06-24,12
2015-06-25,15
2015-06-26,24
2015-06-27,28
2015-06-28,14
2015-06-29,11
2015-06-30,40
2015-07-01,19
2015-07-02,20
2015-07-03,12
2015-07-04,14
2015-07-05,14
2015-07-06,23
2015-07-07,45
2015-07-08,27
2015-07-09,39
2015-07-10,20
2015-07-11,14
2015-07-12,14
2015-07-13,23
2015-07-14,17
2015-07-15,23
2015-07-16,12
2015-07-17,25
2015-07-18,15
2015-07-19,22
2015-07-20,20
2015-07-21,23
2015-07-22,31
2015-07-23,19
2015-07-24,24
2015-07-25,0
2015-07-26,14
2015-07-27,29
2015-07-28,17
2015-07-29,29
2015-07-30,12
2015-07-31,24
2015-08-01,0
2015-08-02,14
2015-08-03,12
2015-08-04,15
2015-08-05,16
2015-08-06,18
2015-08-07,24
2015-08-08,28
2015-08-09,28
2015-08-10,27
2015-08-11,23
2015-08-12,29
2015-08-13,23
2015-08-14,12
2015-08-15,14
2015-08-16,27
2015-08-17,28
2015-08-18,19
2015-08-19,17
2015-08-20,35
2015-08-21,20
2015-08-22,54
2015-08-23,13
2015-08-24,100
2015-08-25,17
2015-08-26,26
2015-08-27,19
2015-08-28,41
2015-08-29,27
2015-08-30,0
2015-08-31,61
2015-09-01,99
2015-09-02,55
2015-09-03,34
2015-09-04,31
2015-09-05,27
2015-09-06,0
2015-09-07,23
2015-09-08,33
2015-09-09,17
2015-09-10,15
2015-09-11,23
2015-09-12,26
2015-09-13,0
2015-09-14,43
2015-09-15,33
2015-09-16,16
2015-09-17,11
2015-09-18,11
2015-09-19,13
2015-09-20,25
2015-09-21,22
2015-09-22,25
2015-09-23,27
2015-09-24,17
2015-09-25,12
2015-09-26,13
2015-09-27,0
2015-09-28,32
2015-09-29,32
2015-09-30,11
2015-10-01,18
2015-10-02,28
2015-10-03,13
2015-10-04,25
2015-10-05,25
2015-10-06,25
2015-10-07,25
2015-10-08,22
2015-10-09,57
2015-10-10,19
2015-10-11,13
2015-10-12,26
2015-10-13,54
2015-10-14,21
2015-10-15,21
2015-10-16,17
2015-10-17,25
2015-10-18,12
2015-10-19,16
2015-10-20,26
2015-10-21,16
2015-10-22,16
2015-10-23,26
2015-10-24,13
2015-10-25,0
2015-10-26,21
2015-10-27,0
2015-10-28,21
2015-10-29,11
2015-10-30,19
2015-10-31,19
2015-11-01,0
2015-11-02,16
2015-11-03,32
2015-11-04,21
2015-11-05,21
2015-11-06,0
2015-11-07,13
2015-11-08,0
2015-11-09,11
2015-11-10,14
2015-11-11,16
2015-11-12,22
2015-11-13,19
2015-11-14,0
2015-11-15,12
2015-11-16,18
2015-11-17,21
2015-11-18,18
2015-11-19,14
2015-11-20,37
2015-11-21,12
2015-11-22,0
2015-11-23,21
2015-11-24,52
2015-11-25,43
2015-11-26,22
2015-11-27,23
2015-11-28,19
2015-11-29,12
2015-11-30,31
2015-12-01,26
2015-12-02,16
2015-12-03,32
2015-12-04,11
2015-12-05,13
2015-12-06,21
2015-12-07,28
2015-12-08,36
2015-12-09,14
2015-12-10,27
2015-12-11,17
2015-12-12,12
2015-12-13,12
2015-12-14,28
2015-12-15,44
2015-12-16,26
2015-12-17,34
2015-12-18,24
2015-12-19,13
2015-12-20,13
2015-12-21,23
2015-12-22,23
2015-12-23,28
2015-12-24,0
2015-12-25,14
2015-12-26,13
