date,EA
2012-01-26,57
2012-01-27,58
2012-01-28,62
2012-01-29,62
2012-01-30,55
2012-01-31,59
2012-02-01,56
2012-02-02,64
2012-02-03,64
2012-02-04,64
2012-02-05,64
2012-02-06,54
2012-02-07,60
2012-02-08,57
2012-02-09,57
2012-02-10,57
2012-02-11,63
2012-02-12,59
2012-02-13,56
2012-02-14,61
2012-02-15,60
2012-02-16,56
2012-02-17,58
2012-02-18,68
2012-02-19,64
2012-02-20,56
2012-02-21,56
2012-02-22,56
2012-02-23,57
2012-02-24,57
2012-02-25,63
2012-02-26,68
2012-02-27,54
2012-02-28,55
2012-02-29,57
2012-03-01,61
2012-03-02,58
2012-03-03,68
2012-03-04,69
2012-03-05,58
2012-03-06,59
2012-03-07,61
2012-03-08,60
2012-03-09,61
2012-03-10,65
2012-03-11,63
2012-03-12,58
2012-03-13,56
2012-03-14,57
2012-03-15,55
2012-03-16,57
2012-03-17,64
2012-03-18,60
2012-03-19,57
2012-03-20,55
2012-03-21,54
2012-03-22,51
2012-03-23,53
2012-03-24,59
2012-03-25,56
2012-03-26,54
2012-03-27,53
2012-03-28,56
2012-03-29,56
2012-03-30,56
2012-03-31,62
2012-04-01,59
2012-04-02,53
2012-04-03,56
2012-04-04,58
2012-04-05,62
2012-04-06,69
2012-04-07,65
2012-04-08,64
2012-04-09,60
2012-04-10,60
2012-04-11,55
2012-04-12,55
2012-04-13,54
2012-04-14,57
2012-04-15,58
2012-04-16,53
2012-04-17,52
2012-04-18,50
2012-04-19,53
2012-04-20,51
2012-04-21,55
2012-04-22,58
2012-04-23,56
2012-04-24,57
2012-04-25,55
2012-04-26,57
2012-04-27,55
2012-04-28,61
2012-04-29,61
2012-04-30,54
2012-05-01,55
2012-05-02,53
2012-05-03,56
2012-05-04,51
2012-05-05,71
2012-05-06,56
2012-05-07,52
2012-05-08,55
2012-05-09,52
2012-05-10,50
2012-05-11,48
2012-05-12,56
2012-05-13,56
2012-05-14,50
2012-05-15,51
2012-05-16,49
2012-05-17,51
2012-05-18,50
2012-05-19,55
2012-05-20,56
2012-05-21,49
2012-05-22,49
2012-05-23,48
2012-05-24,52
2012-05-25,50
2012-05-26,58
2012-05-27,55
2012-05-28,55
2012-05-29,50
2012-05-30,53
2012-05-31,54
2012-06-01,55
2012-06-02,57
2012-06-03,59
2012-06-04,83
2012-06-05,68
2012-06-06,59
2012-06-07,59
2012-06-08,56
2012-06-09,58
2012-06-10,63
2012-06-11,54
2012-06-12,53
2012-06-13,53
2012-06-14,56
2012-06-15,56
2012-06-16,60
2012-06-17,61
2012-06-18,53
2012-06-19,51
2012-06-20,53
2012-06-21,59
2012-06-22,53
2012-06-23,61
2012-06-24,59
2012-06-25,54
2012-06-26,56
2012-06-27,54
2012-06-28,52
2012-06-29,53
2012-06-30,56
2012-07-01,56
2012-07-02,53
2012-07-03,54
2012-07-04,53
2012-07-05,55
2012-07-06,57
2012-07-07,58
2012-07-08,59
2012-07-09,52
2012-07-10,54
2012-07-11,54
2012-07-12,53
2012-07-13,54
2012-07-14,58
2012-07-15,58
2012-07-16,53
2012-07-17,51
2012-07-18,55
2012-07-19,66
2012-07-20,55
2012-07-21,59
2012-07-22,59
2012-07-23,52
2012-07-24,50
2012-07-25,51
2012-07-26,53
2012-07-27,53
2012-07-28,54
2012-07-29,55
2012-07-30,46
2012-07-31,49
2012-08-01,54
2012-08-02,53
2012-08-03,49
2012-08-04,54
2012-08-05,55
2012-08-06,56
2012-08-07,54
2012-08-08,50
2012-08-09,50
2012-08-10,50
2012-08-11,52
2012-08-12,57
2012-08-13,49
2012-08-14,60
2012-08-15,54
2012-08-16,54
2012-08-17,54
2012-08-18,54
2012-08-19,59
2012-08-20,53
2012-08-21,56
2012-08-22,51
2012-08-23,51
2012-08-24,53
2012-08-25,56
2012-08-26,57
2012-08-27,55
2012-08-28,62
2012-08-29,58
2012-08-30,56
2012-08-31,55
2012-09-01,59
2012-09-02,60
2012-09-03,57
2012-09-04,51
2012-09-05,52
2012-09-06,53
2012-09-07,53
2012-09-08,60
2012-09-09,59
2012-09-10,56
2012-09-11,79
2012-09-12,67
2012-09-13,58
2012-09-14,56
2012-09-15,62
2012-09-16,65
2012-09-17,56
2012-09-18,82
2012-09-19,92
2012-09-20,85
2012-09-21,79
2012-09-22,88
2012-09-23,80
2012-09-24,69
2012-09-25,76
2012-09-26,81
2012-09-27,82
2012-09-28,96
2012-09-29,93
2012-09-30,88
2012-10-01,77
2012-10-02,71
2012-10-03,72
2012-10-04,67
2012-10-05,70
2012-10-06,100
2012-10-07,78
2012-10-08,69
2012-10-09,62
2012-10-10,64
2012-10-11,65
2012-10-12,66
