date,EBAY
2011-09-18,93
2011-09-19,80
2011-09-20,78
2011-09-21,76
2011-09-22,75
2011-09-23,75
2011-09-24,82
2011-09-25,92
2011-09-26,78
2011-09-27,76
2011-09-28,75
2011-09-29,75
2011-09-30,74
2011-10-01,79
2011-10-02,87
2011-10-03,78
2011-10-04,77
2011-10-05,77
2011-10-06,76
2011-10-07,76
2011-10-08,85
2011-10-09,94
2011-10-10,80
2011-10-11,78
2011-10-12,77
2011-10-13,75
2011-10-14,75
2011-10-15,81
2011-10-16,91
2011-10-17,79
2011-10-18,77
2011-10-19,77
2011-10-20,75
2011-10-21,75
2011-10-22,81
2011-10-23,89
2011-10-24,77
2011-10-25,76
2011-10-26,76
2011-10-27,76
2011-10-28,73
2011-10-29,80
2011-10-30,89
2011-10-31,75
2011-11-01,79
2011-11-02,77
2011-11-03,76
2011-11-04,76
2011-11-05,83
2011-11-06,92
2011-11-07,81
2011-11-08,79
2011-11-09,77
2011-11-10,78
2011-11-11,78
2011-11-12,86
2011-11-13,96
2011-11-14,82
2011-11-15,81
2011-11-16,80
2011-11-17,79
2011-11-18,78
2011-11-19,85
2011-11-20,97
2011-11-21,83
2011-11-22,81
2011-11-23,80
2011-11-24,80
2011-11-25,81
2011-11-26,89
2011-11-27,97
2011-11-28,85
2011-11-29,82
2011-11-30,82
2011-12-01,82
2011-12-02,82
2011-12-03,90
2011-12-04,99
2011-12-05,84
2011-12-06,84
2011-12-07,82
2011-12-08,82
2011-12-09,82
2011-12-10,88
2011-12-11,100
2011-12-12,86
2011-12-13,82
2011-12-14,81
2011-12-15,80
2011-12-16,78
2011-12-17,84
2011-12-18,89
2011-12-19,79
2011-12-20,75
2011-12-21,72
2011-12-22,71
2011-12-23,68
2011-12-24,66
2011-12-25,77
2011-12-26,82
2011-12-27,83
2011-12-28,80
2011-12-29,81
2011-12-30,81
2011-12-31,74
2012-01-01,85
2012-01-02,84
2012-01-03,80
2012-01-04,79
2012-01-05,77
2012-01-06,78
2012-01-07,85
2012-01-08,93
2012-01-09,79
2012-01-10,77
2012-01-11,75
2012-01-12,77
2012-01-13,75
2012-01-14,85
2012-01-15,92
2012-01-16,79
2012-01-17,78
2012-01-18,77
2012-01-19,77
2012-01-20,79
2012-01-21,87
2012-01-22,96
2012-01-23,79
2012-01-24,80
2012-01-25,77
2012-01-26,78
2012-01-27,77
2012-01-28,86
2012-01-29,96
2012-01-30,79
2012-01-31,78
2012-02-01,77
2012-02-02,77
2012-02-03,75
2012-02-04,85
2012-02-05,92
2012-02-06,78
2012-02-07,78
2012-02-08,77
2012-02-09,76
2012-02-10,76
2012-02-11,84
2012-02-12,90
2012-02-13,75
2012-02-14,74
2012-02-15,76
2012-02-16,76
2012-02-17,76
2012-02-18,85
2012-02-19,92
2012-02-20,82
2012-02-21,78
2012-02-22,77
2012-02-23,76
2012-02-24,76
2012-02-25,84
2012-02-26,92
2012-02-27,79
2012-02-28,78
2012-02-29,77
2012-03-01,76
2012-03-02,77
2012-03-03,86
2012-03-04,97
2012-03-05,81
2012-03-06,78
2012-03-07,77
2012-03-08,77
2012-03-09,75
2012-03-10,83
2012-03-11,91
2012-03-12,78
2012-03-13,76
2012-03-14,76
2012-03-15,74
2012-03-16,74
2012-03-17,81
2012-03-18,91
2012-03-19,78
2012-03-20,76
2012-03-21,75
2012-03-22,75
2012-03-23,72
2012-03-24,78
2012-03-25,88
2012-03-26,75
2012-03-27,72
2012-03-28,73
2012-03-29,72
2012-03-30,70
2012-03-31,79
2012-04-01,86
2012-04-02,75
2012-04-03,75
2012-04-04,75
2012-04-05,74
2012-04-06,78
2012-04-07,81
2012-04-08,85
2012-04-09,75
2012-04-10,75
2012-04-11,75
2012-04-12,76
2012-04-13,76
2012-04-14,80
2012-04-15,90
2012-04-16,78
2012-04-17,75
2012-04-18,75
2012-04-19,75
2012-04-20,73
2012-04-21,81
2012-04-22,91
2012-04-23,78
2012-04-24,75
2012-04-25,74
2012-04-26,74
2012-04-27,72
2012-04-28,79
2012-04-29,90
2012-04-30,77
2012-05-01,81
2012-05-02,75
2012-05-03,73
2012-05-04,73
2012-05-05,80
2012-05-06,85
2012-05-07,77
2012-05-08,76
2012-05-09,74
2012-05-10,72
2012-05-11,71
2012-05-12,77
2012-05-13,85
2012-05-14,75
2012-05-15,74
2012-05-16,72
2012-05-17,72
2012-05-18,72
2012-05-19,77
2012-05-20,85
2012-05-21,73
2012-05-22,70
2012-05-23,69
2012-05-24,67
2012-05-25,66
2012-05-26,70
2012-05-27,78
2012-05-28,73
2012-05-29,69
2012-05-30,69
2012-05-31,70
2012-06-01,68
2012-06-02,76
2012-06-03,83
2012-06-04,71
