date,ESRX
2014-03-16,0
2014-03-17,36
2014-03-18,36
2014-03-19,27
2014-03-20,52
2014-03-21,28
2014-03-22,11
2014-03-23,14
2014-03-24,18
2014-03-25,41
2014-03-26,42
2014-03-27,14
2014-03-28,31
2014-03-29,0
2014-03-30,11
2014-03-31,33
2014-04-01,60
2014-04-02,36
2014-04-03,40
2014-04-04,41
2014-04-05,32
2014-04-06,11
2014-04-07,36
2014-04-08,33
2014-04-09,21
2014-04-10,31
2014-04-11,35
2014-04-12,11
2014-04-13,11
2014-04-14,18
2014-04-15,39
2014-04-16,40
2014-04-17,39
2014-04-18,35
2014-04-19,23
2014-04-20,0
2014-04-21,46
2014-04-22,24
2014-04-23,18
2014-04-24,27
2014-04-25,32
2014-04-26,22
2014-04-27,16
2014-04-28,35
2014-04-29,50
2014-04-30,100
2014-05-01,73
2014-05-02,33
2014-05-03,15
2014-05-04,11
2014-05-05,21
2014-05-06,33
2014-05-07,39
2014-05-08,45
2014-05-09,28
2014-05-10,11
2014-05-11,11
2014-05-12,26
2014-05-13,30
2014-05-14,24
2014-05-15,30
2014-05-16,16
2014-05-17,22
2014-05-18,0
2014-05-19,24
2014-05-20,21
2014-05-21,29
2014-05-22,36
2014-05-23,28
2014-05-24,12
2014-05-25,12
2014-05-26,13
2014-05-27,39
2014-05-28,13
2014-05-29,27
2014-05-30,24
2014-05-31,12
2014-06-01,0
2014-06-02,40
2014-06-03,33
2014-06-04,20
2014-06-05,24
2014-06-06,26
2014-06-07,19
2014-06-08,0
2014-06-09,24
2014-06-10,20
2014-06-11,20
2014-06-12,10
2014-06-13,26
2014-06-14,24
2014-06-15,0
2014-06-16,39
2014-06-17,15
2014-06-18,57
2014-06-19,28
2014-06-20,25
2014-06-21,44
2014-06-22,19
2014-06-23,15
2014-06-24,27
2014-06-25,17
2014-06-26,10
2014-06-27,21
2014-06-28,0
2014-06-29,0
2014-06-30,20
2014-07-01,17
2014-07-02,14
2014-07-03,32
2014-07-04,22
2014-07-05,12
2014-07-06,25
2014-07-07,23
2014-07-08,30
2014-07-09,30
2014-07-10,24
2014-07-11,21
2014-07-12,25
2014-07-13,16
2014-07-14,35
2014-07-15,24
2014-07-16,73
2014-07-17,59
2014-07-18,21
2014-07-19,17
2014-07-20,19
2014-07-21,20
2014-07-22,43
2014-07-23,45
2014-07-24,24
2014-07-25,25
2014-07-26,29
2014-07-27,19
2014-07-28,41
2014-07-29,86
2014-07-30,69
2014-07-31,20
2014-08-01,36
2014-08-02,25
2014-08-03,12
2014-08-04,34
2014-08-05,34
2014-08-06,20
2014-08-07,15
2014-08-08,11
2014-08-09,0
2014-08-10,12
2014-08-11,20
2014-08-12,23
2014-08-13,37
2014-08-14,27
2014-08-15,15
2014-08-16,18
2014-08-17,24
2014-08-18,47
2014-08-19,37
2014-08-20,47
2014-08-21,24
2014-08-22,28
2014-08-23,16
2014-08-24,12
2014-08-25,16
2014-08-26,42
2014-08-27,23
2014-08-28,23
2014-08-29,26
2014-08-30,20
2014-08-31,17
2014-09-01,10
2014-09-02,13
2014-09-03,32
2014-09-04,32
2014-09-05,50
2014-09-06,12
2014-09-07,11
2014-09-08,33
2014-09-09,50
2014-09-10,19
2014-09-11,29
2014-09-12,27
2014-09-13,11
2014-09-14,15
2014-09-15,29
2014-09-16,19
2014-09-17,29
2014-09-18,25
2014-09-19,13
2014-09-20,23
2014-09-21,11
2014-09-22,28
2014-09-23,28
2014-09-24,14
2014-09-25,26
2014-09-26,23
2014-09-27,11
2014-09-28,11
2014-09-29,24
2014-09-30,46
2014-10-01,29
2014-10-02,24
2014-10-03,27
2014-10-04,23
2014-10-05,11
2014-10-06,19
2014-10-07,14
2014-10-08,24
2014-10-09,10
2014-10-10,10
2014-10-11,11
2014-10-12,11
2014-10-13,37
2014-10-14,46
2014-10-15,16
2014-10-16,16
2014-10-17,23
2014-10-18,23
2014-10-19,11
2014-10-20,28
2014-10-21,25
2014-10-22,28
2014-10-23,22
2014-10-24,43
2014-10-25,17
2014-10-26,11
2014-10-27,32
2014-10-28,59
2014-10-29,34
2014-10-30,34
2014-10-31,27
2014-11-01,30
2014-11-02,11
2014-11-03,32
2014-11-04,24
2014-11-05,34
2014-11-06,40
2014-11-07,26
2014-11-08,11
2014-11-09,11
2014-11-10,12
2014-11-11,24
2014-11-12,18
2014-11-13,28
2014-11-14,32
2014-11-15,32
2014-11-16,21
2014-11-17,24
2014-11-18,39
2014-11-19,28
2014-11-20,22
2014-11-21,25
2014-11-22,11
2014-11-23,11
2014-11-24,27
2014-11-25,36
2014-11-26,15
2014-11-27,10
2014-11-28,26
2014-11-29,11
2014-11-30,10
2014-12-01,9
