date,ESRX,isPartial
2014-12-01,20,False
2014-12-02,40,False
2014-12-03,27,False
2014-12-04,41,False
2014-12-05,99,False
2014-12-06,0,False
2014-12-07,16,False
2014-12-08,62,False
2014-12-09,60,False
2014-12-10,61,False
2014-12-11,27,False
2014-12-12,43,False
2014-12-13,16,False
2014-12-14,16,False
2014-12-15,34,False
2014-12-16,61,False
2014-12-17,77,False
2014-12-18,43,False
2014-12-19,52,False
2014-12-20,25,False
2014-12-21,17,False
2014-12-22,94,False
2014-12-23,75,False
2014-12-24,50,False
2014-12-25,18,False
2014-12-26,40,False
2014-12-27,0,False
2014-12-28,16,False
2014-12-29,36,False
2014-12-30,45,False
2014-12-31,66,False
2015-01-01,17,False
2015-01-02,45,False
2015-01-03,32,False
2015-01-04,15,False
2015-01-05,13,False
2015-01-06,40,False
2015-01-07,40,False
2015-01-08,46,False
2015-01-09,47,False
2015-01-10,30,False
2015-01-11,15,False
2015-01-12,71,False
2015-01-13,39,False
2015-01-14,26,False
2015-01-15,52,False
2015-01-16,41,False
2015-01-17,31,False
2015-01-18,0,False
2015-01-19,26,False
2015-01-20,26,False
2015-01-21,38,False
2015-01-22,65,False
2015-01-23,40,False
2015-01-24,15,False
2015-01-25,0,False
2015-01-26,38,False
2015-01-27,32,False
2015-01-28,32,False
2015-01-29,39,False
2015-01-30,33,False
2015-01-31,15,False
2015-02-01,0,False
2015-02-02,25,False
2015-02-03,13,False
2015-02-04,13,False
2015-02-05,32,False
2015-02-06,13,False
2015-02-07,15,False
2015-02-08,45,False
2015-02-09,13,False
2015-02-10,13,False
2015-02-11,32,False
2015-02-12,39,False
2015-02-13,34,False
2015-02-14,23,False
2015-02-15,15,False
2015-02-16,20,False
2015-02-17,46,False
2015-02-18,19,False
2015-02-19,20,False
2015-02-20,68,False
2015-02-21,30,False
2015-02-22,60,False
2015-02-23,44,False
2015-02-24,57,False
2015-02-25,44,False
2015-02-26,51,False
2015-02-27,27,False
2015-02-28,15,False
2015-03-01,15,False
2015-03-02,63,False
2015-03-03,38,False
2015-03-04,51,False
2015-03-05,32,False
2015-03-06,41,False
2015-03-07,30,False
2015-03-08,30,False
2015-03-09,19,False
2015-03-10,31,False
2015-03-11,26,False
2015-03-12,26,False
2015-03-13,46,False
2015-03-14,45,False
2015-03-15,15,False
2015-03-16,45,False
2015-03-17,38,False
2015-03-18,32,False
2015-03-19,19,False
2015-03-20,39,False
2015-03-21,37,False
2015-03-22,15,False
2015-03-23,13,False
2015-03-24,32,False
2015-03-25,19,False
2015-03-26,74,False
2015-03-27,27,False
2015-03-28,24,False
2015-03-29,0,False
2015-03-30,25,False
2015-03-31,32,False
2015-04-01,46,False
2015-04-02,20,False
2015-04-03,22,False
2015-04-04,15,False
2015-04-05,0,False
2015-04-06,41,False
2015-04-07,32,False
2015-04-08,38,False
2015-04-09,90,False
2015-04-10,61,False
2015-04-11,46,False
2015-04-12,15,False
2015-04-13,38,False
2015-04-14,25,False
2015-04-15,26,False
2015-04-16,32,False
2015-04-17,40,False
2015-04-18,0,False
2015-04-19,0,False
2015-04-20,25,False
2015-04-21,32,False
2015-04-22,32,False
2015-04-23,45,False
2015-04-24,40,False
2015-04-25,30,False
2015-04-26,15,False
2015-04-27,25,False
2015-04-28,100,False
2015-04-29,70,False
2015-04-30,66,False
2015-05-01,51,False
