date,value
2017-09-17,34.0
2017-09-18,35.0
2017-09-19,27.0
2017-09-20,20.0
2017-09-21,33.0
2017-09-22,29.0
2017-09-23,3.0
2017-09-24,11.0
2017-09-25,35.0
2017-09-26,32.0
2017-09-27,30.0
2017-09-28,25.0
2017-09-29,26.0
2017-09-30,21.0
2017-10-01,11.0
2017-10-02,32.0
2017-10-03,45.0
2017-10-04,35.0
2017-10-05,38.0
2017-10-06,28.0
2017-10-07,11.0
2017-10-08,20.0
2017-10-09,17.0
2017-10-10,27.0
2017-10-11,32.0
2017-10-12,25.0
2017-10-13,23.0
2017-10-14,14.0
2017-10-15,23.0
2017-10-16,30.0
2017-10-17,22.0
2017-10-18,32.0
2017-10-19,23.0
2017-10-20,21.0
2017-10-21,26.0
2017-10-22,17.0
2017-10-23,41.0
2017-10-24,24.0
2017-10-25,32.0
2017-10-26,60.0
2017-10-27,66.0
2017-10-28,40.0
2017-10-29,20.0
2017-10-30,44.0
2017-10-31,30.0
2017-11-01,69.0
2017-11-02,43.0
2017-11-03,28.0
2017-11-04,19.0
2017-11-05,25.0
2017-11-06,24.0
2017-11-07,36.0
2017-11-08,61.0
2017-11-09,27.0
2017-11-10,30.0
2017-11-11,28.0
2017-11-12,22.0
2017-11-13,46.0
2017-11-14,36.0
2017-11-15,31.0
2017-11-16,31.0
2017-11-17,30.0
2017-11-18,11.0
2017-11-19,35.0
2017-11-20,52.0
2017-11-21,19.0
2017-11-22,36.0
2017-11-23,45.0
2017-11-24,23.0
2017-11-25,24.0
2017-11-26,24.0
2017-11-27,26.0
2017-11-28,41.0
2017-11-29,41.0
2017-11-30,24.0
2017-12-01,33.0
2017-12-02,17.0
2017-12-03,35.0
2017-12-04,57.0
2017-12-05,38.0
2017-12-06,41.0
2017-12-07,35.0
2017-12-08,36.0
2017-12-09,14.0
2017-12-10,16.0
2017-12-11,52.0
2017-12-12,29.0
2017-12-13,29.0
2017-12-14,25.0
2017-12-15,38.0
2017-12-16,20.0
2017-12-17,31.0
2017-12-18,29.0
2017-12-19,45.0
2017-12-20,20.0
2017-12-21,28.0
2017-12-22,47.0
2017-12-23,18.0
2017-12-24,9.0
2017-12-25,34.0
2017-12-26,35.0
2017-12-27,23.0
2017-12-28,36.0
2017-12-29,30.0
2017-12-30,17.0
2017-12-31,21.0
2018-01-01,21.0
2018-01-02,33.0
2018-01-03,39.0
