date,EXPE
2013-02-19,30
2013-02-20,29
2013-02-21,29
2013-02-22,30
2013-02-23,27
2013-02-24,41
2013-02-25,39
2013-02-26,33
2013-02-27,39
2013-02-28,35
2013-03-01,30
2013-03-02,40
2013-03-03,23
2013-03-04,45
2013-03-05,46
2013-03-06,52
2013-03-07,39
2013-03-08,31
2013-03-09,30
2013-03-10,24
2013-03-11,39
2013-03-12,41
2013-03-13,40
2013-03-14,29
2013-03-15,43
2013-03-16,15
2013-03-17,32
2013-03-18,33
2013-03-19,41
2013-03-20,43
2013-03-21,37
2013-03-22,40
2013-03-23,29
2013-03-24,22
2013-03-25,31
2013-03-26,30
2013-03-27,33
2013-03-28,29
2013-03-29,25
2013-03-30,19
2013-03-31,16
2013-04-01,27
2013-04-02,29
2013-04-03,30
2013-04-04,37
2013-04-05,30
2013-04-06,30
2013-04-07,27
2013-04-08,38
2013-04-09,44
2013-04-10,36
2013-04-11,30
2013-04-12,41
2013-04-13,31
2013-04-14,31
2013-04-15,34
2013-04-16,33
2013-04-17,29
2013-04-18,22
2013-04-19,27
2013-04-20,34
2013-04-21,32
2013-04-22,32
2013-04-23,29
2013-04-24,33
2013-04-25,37
2013-04-26,49
2013-04-27,25
2013-04-28,29
2013-04-29,41
2013-04-30,32
2013-05-01,27
2013-05-02,29
2013-05-03,30
2013-05-04,31
2013-05-05,31
2013-05-06,29
2013-05-07,19
2013-05-08,28
2013-05-09,27
2013-05-10,26
2013-05-11,32
2013-05-12,14
2013-05-13,32
2013-05-14,30
2013-05-15,29
2013-05-16,37
2013-05-17,27
2013-05-18,29
2013-05-19,23
2013-05-20,34
2013-05-21,30
2013-05-22,35
2013-05-23,29
2013-05-24,27
2013-05-25,23
2013-05-26,23
2013-05-27,22
2013-05-28,25
2013-05-29,26
2013-05-30,34
2013-05-31,25
2013-06-01,27
2013-06-02,24
2013-06-03,19
2013-06-04,20
2013-06-05,31
2013-06-06,35
2013-06-07,28
2013-06-08,30
2013-06-09,26
2013-06-10,30
2013-06-11,30
2013-06-12,30
2013-06-13,32
2013-06-14,30
2013-06-15,22
2013-06-16,20
2013-06-17,24
2013-06-18,36
2013-06-19,31
2013-06-20,29
2013-06-21,27
2013-06-22,19
2013-06-23,20
2013-06-24,32
2013-06-25,18
2013-06-26,51
2013-06-27,27
2013-06-28,27
2013-06-29,13
2013-06-30,30
2013-07-01,36
2013-07-02,33
2013-07-03,26
2013-07-04,37
2013-07-05,28
2013-07-06,10
2013-07-07,22
2013-07-08,45
2013-07-09,44
2013-07-10,23
2013-07-11,30
2013-07-12,30
2013-07-13,35
2013-07-14,14
2013-07-15,23
2013-07-16,38
2013-07-17,17
2013-07-18,22
2013-07-19,31
2013-07-20,24
2013-07-21,27
2013-07-22,38
2013-07-23,34
2013-07-24,14
2013-07-25,50
2013-07-26,100
2013-07-27,26
2013-07-28,28
2013-07-29,57
2013-07-30,40
2013-07-31,39
2013-08-01,36
2013-08-02,37
2013-08-03,22
2013-08-04,19
2013-08-05,37
2013-08-06,39
2013-08-07,34
2013-08-08,42
2013-08-09,29
2013-08-10,24
2013-08-11,14
2013-08-12,37
2013-08-13,33
2013-08-14,25
2013-08-15,18
2013-08-16,28
2013-08-17,27
2013-08-18,26
2013-08-19,33
2013-08-20,27
2013-08-21,36
2013-08-22,34
2013-08-23,40
2013-08-24,32
2013-08-25,18
2013-08-26,29
2013-08-27,36
2013-08-28,25
2013-08-29,29
2013-08-30,31
2013-08-31,18
2013-09-01,25
2013-09-02,28
2013-09-03,18
2013-09-04,33
2013-09-05,29
2013-09-06,39
2013-09-07,30
2013-09-08,23
2013-09-09,31
2013-09-10,33
2013-09-11,38
2013-09-12,27
2013-09-13,35
2013-09-14,20
2013-09-15,21
2013-09-16,29
2013-09-17,30
2013-09-18,29
2013-09-19,30
2013-09-20,17
2013-09-21,28
2013-09-22,21
2013-09-23,43
2013-09-24,30
2013-09-25,28
2013-09-26,36
2013-09-27,25
2013-09-28,18
2013-09-29,26
2013-09-30,27
2013-10-01,26
2013-10-02,29
2013-10-03,36
2013-10-04,32
2013-10-05,41
2013-10-06,21
2013-10-07,27
2013-10-08,31
2013-10-09,29
2013-10-10,41
2013-10-11,29
2013-10-12,18
2013-10-13,20
2013-10-14,49
2013-10-15,45
2013-10-16,25
2013-10-17,28
2013-10-18,32
2013-10-19,14
2013-10-20,23
2013-10-21,34
2013-10-22,30
2013-10-23,31
2013-10-24,28
2013-10-25,26
2013-10-26,18
2013-10-27,14
2013-10-28,29
2013-10-29,32
2013-10-30,66
2013-10-31,56
2013-11-01,36
2013-11-02,17
2013-11-03,32
2013-11-04,37
2013-11-05,37
2013-11-06,34
