date,FAST
2017-01-19,84
2017-01-20,80
2017-01-21,86
2017-01-22,88
2017-01-23,81
2017-01-24,81
2017-01-25,78
2017-01-26,79
2017-01-27,79
2017-01-28,84
2017-01-29,88
2017-01-30,79
2017-01-31,81
2017-02-01,78
2017-02-02,80
2017-02-03,79
2017-02-04,85
2017-02-05,84
2017-02-06,85
2017-02-07,81
2017-02-08,79
2017-02-09,80
2017-02-10,79
2017-02-11,84
2017-02-12,88
2017-02-13,92
2017-02-14,76
2017-02-15,79
2017-02-16,79
2017-02-17,81
2017-02-18,86
2017-02-19,88
2017-02-20,84
2017-02-21,83
2017-02-22,83
2017-02-23,87
2017-02-24,90
2017-02-25,89
2017-02-26,90
2017-02-27,84
2017-02-28,85
2017-03-01,86
2017-03-02,83
2017-03-03,84
2017-03-04,89
2017-03-05,92
2017-03-06,90
2017-03-07,87
2017-03-08,84
2017-03-09,88
2017-03-10,88
2017-03-11,94
2017-03-12,93
2017-03-13,84
2017-03-14,86
2017-03-15,86
2017-03-16,85
2017-03-17,86
2017-03-18,91
2017-03-19,96
2017-03-20,88
2017-03-21,86
2017-03-22,85
2017-03-23,85
2017-03-24,87
2017-03-25,95
2017-03-26,95
2017-03-27,88
2017-03-28,92
2017-03-29,90
2017-03-30,91
2017-03-31,93
2017-04-01,100
