date,FB,isPartial
2016-09-11,72,False
2016-09-12,77,False
2016-09-13,84,False
2016-09-14,86,False
2016-09-15,88,False
2016-09-16,90,False
2016-09-17,94,False
2016-09-18,91,False
2016-09-19,81,False
2016-09-20,86,False
2016-09-21,86,False
2016-09-22,84,False
2016-09-23,86,False
2016-09-24,96,False
2016-09-25,94,False
2016-09-26,84,False
2016-09-27,84,False
2016-09-28,85,False
2016-09-29,84,False
2016-09-30,89,False
2016-10-01,94,False
2016-10-02,91,False
2016-10-03,84,False
2016-10-04,83,False
2016-10-05,84,False
2016-10-06,83,False
2016-10-07,86,False
2016-10-08,93,False
2016-10-09,93,False
2016-10-10,83,False
2016-10-11,83,False
2016-10-12,85,False
2016-10-13,83,False
2016-10-14,87,False
2016-10-15,99,False
2016-10-16,93,False
2016-10-17,83,False
2016-10-18,82,False
2016-10-19,82,False
2016-10-20,81,False
2016-10-21,85,False
2016-10-22,95,False
2016-10-23,94,False
2016-10-24,80,False
2016-10-25,84,False
2016-10-26,81,False
2016-10-27,84,False
2016-10-28,87,False
2016-10-29,93,False
2016-10-30,92,False
2016-10-31,83,False
2016-11-01,84,False
2016-11-02,85,False
2016-11-03,82,False
2016-11-04,86,False
2016-11-05,95,False
2016-11-06,89,False
2016-11-07,79,False
2016-11-08,78,False
2016-11-09,75,False
2016-11-10,80,False
2016-11-11,86,False
2016-11-12,94,False
2016-11-13,87,False
2016-11-14,79,False
2016-11-15,79,False
2016-11-16,81,False
2016-11-17,78,False
2016-11-18,83,False
2016-11-19,88,False
2016-11-20,91,False
2016-11-21,76,False
2016-11-22,76,False
2016-11-23,76,False
2016-11-24,83,False
2016-11-25,81,False
2016-11-26,88,False
2016-11-27,86,False
2016-11-28,77,False
2016-11-29,76,False
2016-11-30,77,False
2016-12-01,79,False
2016-12-02,84,False
2016-12-03,96,False
2016-12-04,86,False
2016-12-05,73,False
2016-12-06,80,False
2016-12-07,79,False
2016-12-08,82,False
2016-12-09,83,False
2016-12-10,91,False
2016-12-11,90,False
2016-12-12,82,False
2016-12-13,81,False
2016-12-14,81,False
2016-12-15,82,False
2016-12-16,86,False
2016-12-17,90,False
2016-12-18,91,False
2016-12-19,82,False
2016-12-20,85,False
2016-12-21,84,False
2016-12-22,84,False
2016-12-23,86,False
2016-12-24,98,False
2016-12-25,97,False
2016-12-26,91,False
2016-12-27,87,False
2016-12-28,87,False
2016-12-29,86,False
2016-12-30,91,False
2016-12-31,100,False
2017-01-01,96,False
2017-01-02,84,False
2017-01-03,85,False
2017-01-04,82,False
2017-01-05,85,False
2017-01-06,86,False
2017-01-07,89,False
2017-01-08,89,False
2017-01-09,80,False
2017-01-10,78,False
2017-01-11,78,False
2017-01-12,79,False
2017-01-13,82,False
2017-01-14,90,False
2017-01-15,87,False
2017-01-16,78,False
2017-01-17,76,False
2017-01-18,78,False
2017-01-19,77,False
2017-01-20,77,False
2017-01-21,88,False
2017-01-22,86,False
2017-01-23,78,False
2017-01-24,77,False
2017-01-25,77,False
2017-01-26,80,False
2017-01-27,83,False
2017-01-28,89,False
2017-01-29,88,False
2017-01-30,75,False
2017-01-31,75,False
2017-02-01,75,False
2017-02-02,78,False
2017-02-03,83,False
2017-02-04,85,False
2017-02-05,85,False
2017-02-06,75,False
2017-02-07,76,False
2017-02-08,77,False
2017-02-09,78,False
2017-02-10,83,False
2017-02-11,88,False
2017-02-12,85,False
2017-02-13,74,False
2017-02-14,79,False
2017-02-15,78,False
2017-02-16,77,False
2017-02-17,79,False
2017-02-18,87,False
2017-02-19,83,False
2017-02-20,78,False
2017-02-21,79,False
2017-02-22,77,False
2017-02-23,79,False
2017-02-24,79,False
2017-02-25,88,False
2017-02-26,87,False
2017-02-27,74,False
2017-02-28,76,False
2017-03-01,78,False
2017-03-02,77,False
2017-03-03,81,False
2017-03-04,87,False
2017-03-05,83,False
2017-03-06,75,False
2017-03-07,74,False
2017-03-08,78,False
2017-03-09,76,False
2017-03-10,81,False
2017-03-11,86,False
2017-03-12,83,False
2017-03-13,72,False
2017-03-14,77,False
2017-03-15,76,False
2017-03-16,75,False
2017-03-17,79,False
2017-03-18,84,False
2017-03-19,80,False
2017-03-20,75,False
2017-03-21,76,False
2017-03-22,76,False
2017-03-23,77,False
2017-03-24,77,False
2017-03-25,86,False
2017-03-26,84,False
2017-03-27,75,False
2017-03-28,74,False
2017-03-29,76,False
2017-03-30,80,False
2017-03-31,80,False
2017-04-01,86,False
2017-04-02,85,False
2017-04-03,75,False
2017-04-04,78,False
2017-04-05,75,False
2017-04-06,75,False
2017-04-07,77,False
2017-04-08,87,False
2017-04-09,85,False
2017-04-10,75,False
2017-04-11,75,False
2017-04-12,76,False
2017-04-13,82,False
2017-04-14,87,False
2017-04-15,87,False
2017-04-16,84,False
2017-04-17,76,False
2017-04-18,76,False
2017-04-19,76,False
2017-04-20,77,False
2017-04-21,80,False
2017-04-22,84,False
2017-04-23,84,False
2017-04-24,76,False
2017-04-25,74,False
2017-04-26,73,False
2017-04-27,75,False
2017-04-28,76,False
2017-04-29,83,False
2017-04-30,82,False
2017-05-01,78,False
2017-05-02,77,False
2017-05-03,76,False
2017-05-04,75,False
2017-05-05,78,False
2017-05-06,86,False
2017-05-07,85,False
2017-05-08,77,False
2017-05-09,75,False
2017-05-10,73,False
2017-05-11,76,False
2017-05-12,77,False
2017-05-13,85,False
2017-05-14,83,False
2017-05-15,77,False
2017-05-16,76,False
2017-05-17,75,False
2017-05-18,74,False
2017-05-19,76,False
2017-05-20,86,False
2017-05-21,83,False
