date,FB
2016-07-30,100
2016-07-31,96
2016-08-01,86
2016-08-02,85
2016-08-03,86
2016-08-04,85
2016-08-05,89
2016-08-06,98
2016-08-07,96
2016-08-08,83
2016-08-09,85
2016-08-10,85
2016-08-11,87
2016-08-12,87
2016-08-13,99
2016-08-14,94
2016-08-15,87
2016-08-16,84
2016-08-17,83
2016-08-18,87
2016-08-19,86
2016-08-20,94
2016-08-21,92
2016-08-22,84
2016-08-23,82
2016-08-24,83
2016-08-25,87
2016-08-26,87
2016-08-27,97
2016-08-28,94
2016-08-29,82
2016-08-30,80
2016-08-31,83
2016-09-01,83
2016-09-02,85
2016-09-03,95
2016-09-04,91
2016-09-05,84
2016-09-06,81
2016-09-07,80
2016-09-08,81
2016-09-09,85
2016-09-10,94
2016-09-11,92
2016-09-12,80
2016-09-13,84
2016-09-14,82
2016-09-15,83
2016-09-16,85
2016-09-17,92
2016-09-18,90
2016-09-19,81
2016-09-20,80
2016-09-21,82
2016-09-22,81
2016-09-23,84
2016-09-24,94
2016-09-25,91
2016-09-26,80
2016-09-27,81
2016-09-28,81
2016-09-29,82
2016-09-30,86
2016-10-01,93
2016-10-02,88
2016-10-03,80
2016-10-04,78
2016-10-05,80
2016-10-06,79
2016-10-07,83
2016-10-08,94
2016-10-09,87
2016-10-10,80
2016-10-11,80
2016-10-12,81
2016-10-13,79
2016-10-14,81
2016-10-15,90
2016-10-16,87
2016-10-17,77
2016-10-18,79
2016-10-19,80
2016-10-20,81
2016-10-21,82
2016-10-22,91
2016-10-23,88
2016-10-24,79
2016-10-25,78
2016-10-26,79
2016-10-27,80
2016-10-28,82
2016-10-29,90
2016-10-30,86
2016-10-31,79
2016-11-01,80
2016-11-02,81
2016-11-03,81
2016-11-04,81
2016-11-05,88
2016-11-06,86
2016-11-07,76
2016-11-08,76
2016-11-09,73
2016-11-10,78
2016-11-11,80
2016-11-12,87
2016-11-13,86
2016-11-14,77
2016-11-15,76
2016-11-16,77
2016-11-17,77
2016-11-18,79
2016-11-19,88
2016-11-20,88
2016-11-21,76
2016-11-22,75
2016-11-23,77
2016-11-24,80
2016-11-25,79
2016-11-26,86
2016-11-27,83
2016-11-28,75
2016-11-29,74
2016-11-30,77
2016-12-01,77
2016-12-02,80
2016-12-03,90
2016-12-04,83
2016-12-05,76
2016-12-06,77
2016-12-07,77
2016-12-08,79
2016-12-09,80
2016-12-10,91
2016-12-11,84
2016-12-12,76
2016-12-13,77
2016-12-14,77
2016-12-15,78
2016-12-16,79
2016-12-17,87
2016-12-18,83
2016-12-19,79
2016-12-20,79
2016-12-21,80
2016-12-22,82
2016-12-23,83
2016-12-24,90
2016-12-25,90
2016-12-26,84
2016-12-27,80
2016-12-28,80
2016-12-29,80
2016-12-30,83
2016-12-31,92
2017-01-01,89
2017-01-02,80
2017-01-03,78
2017-01-04,76
2017-01-05,77
2017-01-06,79
2017-01-07,84
2017-01-08,81
2017-01-09,75
2017-01-10,74
2017-01-11,75
2017-01-12,75
2017-01-13,76
2017-01-14,84
2017-01-15,80
2017-01-16,75
2017-01-17,74
2017-01-18,74
2017-01-19,74
2017-01-20,76
2017-01-21,83
2017-01-22,82
2017-01-23,74
2017-01-24,74
2017-01-25,75
2017-01-26,76
2017-01-27,77
2017-01-28,83
2017-01-29,81
2017-01-30,72
2017-01-31,73
2017-02-01,74
2017-02-02,76
2017-02-03,77
2017-02-04,83
2017-02-05,82
2017-02-06,73
2017-02-07,73
2017-02-08,73
2017-02-09,75
2017-02-10,77
2017-02-11,84
2017-02-12,82
2017-02-13,74
2017-02-14,76
2017-02-15,76
2017-02-16,75
2017-02-17,77
2017-02-18,86
2017-02-19,83
2017-02-20,74
2017-02-21,75
2017-02-22,75
2017-02-23,74
2017-02-24,79
2017-02-25,84
2017-02-26,82
2017-02-27,73
2017-02-28,75
2017-03-01,73
2017-03-02,76
2017-03-03,76
2017-03-04,82
2017-03-05,80
2017-03-06,73
2017-03-07,74
2017-03-08,75
2017-03-09,75
2017-03-10,76
2017-03-11,84
2017-03-12,80
2017-03-13,72
2017-03-14,72
2017-03-15,74
2017-03-16,73
2017-03-17,77
2017-03-18,82
2017-03-19,79
2017-03-20,73
2017-03-21,73
2017-03-22,71
2017-03-23,73
2017-03-24,76
2017-03-25,84
2017-03-26,79
2017-03-27,73
2017-03-28,71
2017-03-29,73
2017-03-30,74
2017-03-31,77
2017-04-01,84
2017-04-02,81
2017-04-03,73
2017-04-04,74
2017-04-05,73
2017-04-06,75
2017-04-07,76
2017-04-08,85
2017-04-09,81
2017-04-10,74
2017-04-11,74
2017-04-12,75
2017-04-13,78
2017-04-14,82
