date,FISV
2012-06-04,15
2012-06-05,15
2012-06-06,15
2012-06-07,16
2012-06-08,16
2012-06-09,0
2012-06-10,0
2012-06-11,37
2012-06-12,37
2012-06-13,15
2012-06-14,38
2012-06-15,24
2012-06-16,0
2012-06-17,0
2012-06-18,22
2012-06-19,15
2012-06-20,15
2012-06-21,30
2012-06-22,48
2012-06-23,0
2012-06-24,19
2012-06-25,22
2012-06-26,38
2012-06-27,31
2012-06-28,39
2012-06-29,16
2012-06-30,19
2012-07-01,0
2012-07-02,46
2012-07-03,15
2012-07-04,0
2012-07-05,47
2012-07-06,0
2012-07-07,0
2012-07-08,19
2012-07-09,0
2012-07-10,30
2012-07-11,15
2012-07-12,16
2012-07-13,16
2012-07-14,19
2012-07-15,19
2012-07-16,45
2012-07-17,45
2012-07-18,23
2012-07-19,16
2012-07-20,0
2012-07-21,0
2012-07-22,0
2012-07-23,15
2012-07-24,46
2012-07-25,16
2012-07-26,23
2012-07-27,33
2012-07-28,0
2012-07-29,57
2012-07-30,30
2012-07-31,30
2012-08-01,15
2012-08-02,16
2012-08-03,0
2012-08-04,19
2012-08-05,19
2012-08-06,38
2012-08-07,0
2012-08-08,0
2012-08-09,0
2012-08-10,16
2012-08-11,19
2012-08-12,19
2012-08-13,15
2012-08-14,15
2012-08-15,0
2012-08-16,0
2012-08-17,32
2012-08-18,0
2012-08-19,0
2012-08-20,0
2012-08-21,39
2012-08-22,15
2012-08-23,0
2012-08-24,16
2012-08-25,18
2012-08-26,55
2012-08-27,30
2012-08-28,15
2012-08-29,15
2012-08-30,15
2012-08-31,0
2012-09-01,18
2012-09-02,0
2012-09-03,31
2012-09-04,15
2012-09-05,37
2012-09-06,53
2012-09-07,0
2012-09-08,18
2012-09-09,0
2012-09-10,29
2012-09-11,36
2012-09-12,44
2012-09-13,59
2012-09-14,15
2012-09-15,0
2012-09-16,0
2012-09-17,44
2012-09-18,14
2012-09-19,29
2012-09-20,37
2012-09-21,15
2012-09-22,18
2012-09-23,17
2012-09-24,100
2012-09-25,29
2012-09-26,36
2012-09-27,15
2012-09-28,16
2012-09-29,18
2012-09-30,0
2012-10-01,0
2012-10-02,0
2012-10-03,14
2012-10-04,29
2012-10-05,30
2012-10-06,26
2012-10-07,0
2012-10-08,14
2012-10-09,28
2012-10-10,14
2012-10-11,14
2012-10-12,23
2012-10-13,17
2012-10-14,16
2012-10-15,14
2012-10-16,14
2012-10-17,21
2012-10-18,28
2012-10-19,15
2012-10-20,17
2012-10-21,17
2012-10-22,28
2012-10-23,27
2012-10-24,14
2012-10-25,43
2012-10-26,15
2012-10-27,0
2012-10-28,0
2012-10-29,0
2012-10-30,14
2012-10-31,28
2012-11-01,29
2012-11-02,30
2012-11-03,17
2012-11-04,0
2012-11-05,20
2012-11-06,0
2012-11-07,20
2012-11-08,28
2012-11-09,29
2012-11-10,16
2012-11-11,0
2012-11-12,27
2012-11-13,42
2012-11-14,28
2012-11-15,28
2012-11-16,43
2012-11-17,0
2012-11-18,0
2012-11-19,27
2012-11-20,14
2012-11-21,34
2012-11-22,0
2012-11-23,15
2012-11-24,0
2012-11-25,0
2012-11-26,13
2012-11-27,20
2012-11-28,40
2012-11-29,27
2012-11-30,21
2012-12-01,0
2012-12-02,32
2012-12-03,13
2012-12-04,13
2012-12-05,40
2012-12-06,34
2012-12-07,14
2012-12-08,16
2012-12-09,16
2012-12-10,13
2012-12-11,0
2012-12-12,27
2012-12-13,14
2012-12-14,14
2012-12-15,16
2012-12-16,0
2012-12-17,0
2012-12-18,14
2012-12-19,14
2012-12-20,14
2012-12-21,15
2012-12-22,17
2012-12-23,17
2012-12-24,34
2012-12-25,18
2012-12-26,23
2012-12-27,29
2012-12-28,15
2012-12-29,17
2012-12-30,17
2012-12-31,17
2013-01-01,52
2013-01-02,27
2013-01-03,20
2013-01-04,28
2013-01-05,16
2013-01-06,15
2013-01-07,26
2013-01-08,13
2013-01-09,20
2013-01-10,26
2013-01-11,13
2013-01-12,15
2013-01-13,15
2013-01-14,51
2013-01-15,19
2013-01-16,19
2013-01-17,19
2013-01-18,26
2013-01-19,15
2013-01-20,0
2013-01-21,19
2013-01-22,19
2013-01-23,13
2013-01-24,19
2013-01-25,40
2013-01-26,15
2013-01-27,15
2013-01-28,13
2013-01-29,19
2013-01-30,19
2013-01-31,19
2013-02-01,40
2013-02-02,0
2013-02-03,0
2013-02-04,38
2013-02-05,19
2013-02-06,38
2013-02-07,13
2013-02-08,54
2013-02-09,0
2013-02-10,23
2013-02-11,26
2013-02-12,26
2013-02-13,13
2013-02-14,33
2013-02-15,27
2013-02-16,15
2013-02-17,15
2013-02-18,13
2013-02-19,19
