date,value
2016-08-21,22.0
2016-08-22,21.0
2016-08-23,20.0
2016-08-24,23.0
2016-08-25,22.0
2016-08-26,22.0
2016-08-27,23.0
2016-08-28,22.0
2016-08-29,21.0
2016-08-30,21.0
2016-08-31,22.0
2016-09-01,22.0
2016-09-02,22.0
2016-09-03,24.0
2016-09-04,22.0
2016-09-05,20.0
2016-09-06,24.0
2016-09-07,25.0
2016-09-08,22.0
2016-09-09,22.0
2016-09-10,23.0
2016-09-11,29.0
2016-09-12,23.0
2016-09-13,23.0
2016-09-14,23.0
2016-09-15,22.0
2016-09-16,22.0
2016-09-17,23.0
2016-09-18,30.0
2016-09-19,24.0
2016-09-20,23.0
2016-09-21,25.0
2016-09-22,25.0
2016-09-23,24.0
2016-09-24,25.0
2016-09-25,26.0
2016-09-26,23.0
2016-09-27,35.0
2016-09-28,25.0
2016-09-29,24.0
2016-09-30,23.0
2016-10-01,22.0
2016-10-02,25.0
2016-10-03,22.0
2016-10-04,22.0
2016-10-05,25.0
2016-10-06,25.0
2016-10-07,26.0
2016-10-08,31.0
2016-10-09,28.0
2016-10-10,31.0
2016-10-11,24.0
2016-10-12,25.0
2016-10-13,24.0
2016-10-14,25.0
2016-10-15,23.0
2016-10-16,26.0
2016-10-17,24.0
2016-10-18,23.0
2016-10-19,26.0
2016-10-20,33.0
2016-10-21,27.0
2016-10-22,23.0
2016-10-23,29.0
2016-10-24,31.0
2016-10-25,24.0
2016-10-26,26.0
2016-10-27,26.0
2016-10-28,28.0
2016-10-29,28.0
2016-10-30,29.0
2016-10-31,30.0
2016-11-01,28.0
2016-11-02,29.0
2016-11-03,34.0
2016-11-04,29.0
2016-11-05,26.0
2016-11-06,30.0
2016-11-07,30.0
2016-11-08,48.0
2016-11-09,100.0
2016-11-10,31.0
2016-11-11,29.0
2016-11-12,26.0
2016-11-13,28.0
2016-11-14,26.0
2016-11-15,25.0
2016-11-16,24.0
2016-11-17,23.0
2016-11-18,24.0
2016-11-19,24.0
2016-11-20,24.0
2016-11-21,23.0
2016-11-22,23.0
2016-11-23,23.0
2016-11-24,23.0
2016-11-25,22.0
2016-11-26,23.0
2016-11-27,23.0
2016-11-28,25.0
2016-11-29,31.0
2016-11-30,24.0
2016-12-01,24.0
2016-12-02,22.0
2016-12-03,25.0
2016-12-04,24.0
2016-12-05,23.0
2016-12-06,23.0
2016-12-07,23.0
2016-12-08,23.0
2016-12-09,22.0
2016-12-10,21.0
2016-12-11,25.0
2016-12-12,25.0
2016-12-13,22.0
2016-12-14,23.0
2016-12-15,26.0
2016-12-16,24.0
2016-12-17,24.0
2016-12-18,25.0
2016-12-19,25.0
2016-12-20,22.0
2016-12-21,22.0
2016-12-22,22.0
2016-12-23,21.0
2016-12-24,23.0
2016-12-25,21.0
2016-12-26,21.0
2016-12-27,23.0
2016-12-28,23.0
2016-12-29,23.0
2016-12-30,23.0
2016-12-31,23.0
2017-01-01,30.0
2017-01-02,24.0
2017-01-03,25.0
2017-01-04,26.0
2017-01-05,27.0
2017-01-06,30.0
2017-01-07,26.0
2017-01-08,27.0
2017-01-09,24.0
2017-01-10,24.0
2017-01-11,26.0
2017-01-12,25.0
2017-01-13,24.0
2017-01-14,26.0
2017-01-15,27.0
2017-01-16,24.0
2017-01-17,24.0
2017-01-18,24.0
2017-01-19,24.0
2017-01-20,41.0
2017-01-21,29.0
2017-01-22,32.0
2017-01-23,26.0
2017-01-24,24.0
2017-01-25,27.0
2017-01-26,26.0
2017-01-27,25.0
2017-01-28,25.0
2017-01-29,30.0
2017-01-30,29.0
2017-01-31,28.0
2017-02-01,26.0
2017-02-02,25.0
2017-02-03,27.0
2017-02-04,25.0
2017-02-05,35.0
2017-02-06,33.0
2017-02-07,25.0
2017-02-08,26.0
2017-02-09,27.0
2017-02-10,24.0
2017-02-11,23.0
2017-02-12,24.0
2017-02-13,25.0
2017-02-14,25.0
2017-02-15,26.0
2017-02-16,24.0
2017-02-17,25.0
2017-02-18,24.0
2017-02-19,25.0
2017-02-20,24.0
2017-02-21,23.0
2017-02-22,23.0
2017-02-23,24.0
2017-02-24,25.0
2017-02-25,24.0
2017-02-26,25.0
2017-02-27,28.0
2017-02-28,24.0
2017-03-01,25.0
2017-03-02,23.0
2017-03-03,23.0
2017-03-04,22.0
2017-03-05,23.0
2017-03-06,23.0
2017-03-07,24.0
2017-03-08,26.0
2017-03-09,23.0
2017-03-10,22.0
2017-03-11,23.0
2017-03-12,22.0
2017-03-13,24.0
2017-03-14,25.0
2017-03-15,24.0
2017-03-16,23.0
2017-03-17,23.0
2017-03-18,22.0
2017-03-19,22.0
2017-03-20,23.0
2017-03-21,22.0
2017-03-22,24.0
2017-03-23,25.0
2017-03-24,25.0
2017-03-25,25.0
2017-03-26,24.0
2017-03-27,23.0
2017-03-28,23.0
2017-03-29,22.0
2017-03-30,22.0
2017-03-31,23.0
2017-04-01,21.0
2017-04-02,23.0
2017-04-03,25.0
2017-04-04,26.0
2017-04-05,29.0
2017-04-06,24.0
2017-04-07,31.0
2017-04-08,25.0
2017-04-09,25.0
2017-04-10,24.0
2017-04-11,25.0
2017-04-12,27.0
2017-04-13,29.0
2017-04-14,26.0
2017-04-15,24.0
2017-04-16,37.0
2017-04-17,25.0
2017-04-18,26.0
2017-04-19,33.0
2017-04-20,28.0
2017-04-21,24.0
2017-04-22,23.0
2017-04-23,26.0
2017-04-24,23.0
2017-04-25,23.0
2017-04-26,24.0
2017-04-27,24.0
2017-04-28,23.0
2017-04-29,22.0
2017-04-30,23.0
2017-05-01,25.0
2017-05-02,24.0
2017-05-03,24.0
2017-05-04,23.0
2017-05-05,21.0
2017-05-06,21.0
2017-05-06,20.46958174904943
2017-05-07,21.370203940546144
2017-05-08,17.147044590390596
