date,FOX
2012-06-04,23
2012-06-05,24
2012-06-06,25
2012-06-07,23
2012-06-08,24
2012-06-09,25
2012-06-10,24
2012-06-11,23
2012-06-12,23
2012-06-13,23
2012-06-14,24
2012-06-15,24
2012-06-16,22
2012-06-17,23
2012-06-18,23
2012-06-19,22
2012-06-20,23
2012-06-21,24
2012-06-22,25
2012-06-23,25
2012-06-24,24
2012-06-25,24
2012-06-26,26
2012-06-27,27
2012-06-28,35
2012-06-29,26
2012-06-30,24
2012-07-01,24
2012-07-02,24
2012-07-03,24
2012-07-04,23
2012-07-05,25
2012-07-06,24
2012-07-07,25
2012-07-08,25
2012-07-09,24
2012-07-10,23
2012-07-11,23
2012-07-12,23
2012-07-13,23
2012-07-14,23
2012-07-15,24
2012-07-16,23
2012-07-17,23
2012-07-18,24
2012-07-19,24
2012-07-20,29
2012-07-21,27
2012-07-22,28
2012-07-23,26
2012-07-24,24
2012-07-25,24
2012-07-26,25
2012-07-27,25
2012-07-28,24
2012-07-29,23
2012-07-30,23
2012-07-31,23
2012-08-01,24
2012-08-02,24
2012-08-03,24
2012-08-04,25
2012-08-05,27
2012-08-06,23
2012-08-07,23
2012-08-08,24
2012-08-09,24
2012-08-10,23
2012-08-11,25
2012-08-12,24
2012-08-13,24
2012-08-14,24
2012-08-15,25
2012-08-16,24
2012-08-17,24
2012-08-18,26
2012-08-19,25
2012-08-20,24
2012-08-21,25
2012-08-22,26
2012-08-23,26
2012-08-24,27
2012-08-25,27
2012-08-26,27
2012-08-27,25
2012-08-28,26
2012-08-29,28
2012-08-30,27
2012-08-31,28
2012-09-01,26
2012-09-02,26
2012-09-03,22
2012-09-04,23
2012-09-05,25
2012-09-06,26
2012-09-07,27
2012-09-08,28
2012-09-09,29
2012-09-10,24
2012-09-11,25
2012-09-12,27
2012-09-13,27
2012-09-14,28
2012-09-15,29
2012-09-16,31
2012-09-17,26
2012-09-18,28
2012-09-19,27
2012-09-20,26
2012-09-21,26
2012-09-22,27
2012-09-23,29
2012-09-24,26
2012-09-25,24
2012-09-26,26
2012-09-27,26
2012-09-28,33
2012-09-29,38
2012-09-30,32
2012-10-01,27
2012-10-02,26
2012-10-03,27
2012-10-04,32
2012-10-05,27
2012-10-06,26
2012-10-07,29
2012-10-08,25
2012-10-09,24
2012-10-10,25
2012-10-11,25
2012-10-12,34
2012-10-13,28
2012-10-14,28
2012-10-15,26
2012-10-16,29
2012-10-17,42
2012-10-18,32
2012-10-19,29
2012-10-20,28
2012-10-21,28
2012-10-22,27
2012-10-23,37
2012-10-24,32
2012-10-25,30
2012-10-26,30
2012-10-27,29
2012-10-28,33
2012-10-29,36
2012-10-30,38
2012-10-31,30
2012-11-01,29
2012-11-02,30
2012-11-03,28
2012-11-04,31
2012-11-05,30
2012-11-06,53
2012-11-07,100
2012-11-08,31
2012-11-09,29
2012-11-10,28
2012-11-11,30
2012-11-12,27
2012-11-13,27
2012-11-14,26
2012-11-15,27
2012-11-16,28
2012-11-17,28
2012-11-18,29
2012-11-19,25
2012-11-20,25
2012-11-21,25
2012-11-22,23
2012-11-23,25
2012-11-24,26
2012-11-25,26
2012-11-26,24
2012-11-27,24
2012-11-28,24
2012-11-29,25
2012-11-30,26
2012-12-01,25
2012-12-02,26
2012-12-03,24
2012-12-04,25
2012-12-05,25
2012-12-06,24
2012-12-07,26
2012-12-08,28
2012-12-09,31
2012-12-10,27
2012-12-11,26
2012-12-12,27
2012-12-13,27
2012-12-14,42
2012-12-15,35
2012-12-16,33
2012-12-17,28
2012-12-18,29
2012-12-19,27
2012-12-20,29
2012-12-21,31
2012-12-22,26
2012-12-23,28
2012-12-24,26
2012-12-25,27
2012-12-26,30
2012-12-27,27
2012-12-28,28
2012-12-29,28
2012-12-30,30
2012-12-31,32
2013-01-01,33
2013-01-02,28
2013-01-03,30
2013-01-04,28
2013-01-05,28
2013-01-06,28
2013-01-07,28
2013-01-08,26
2013-01-09,25
2013-01-10,26
2013-01-11,27
2013-01-12,26
2013-01-13,29
2013-01-14,28
2013-01-15,28
2013-01-16,29
2013-01-17,28
2013-01-18,29
2013-01-19,29
2013-01-20,32
2013-01-21,26
2013-01-22,30
2013-01-23,28
2013-01-24,27
2013-01-25,28
2013-01-26,29
2013-01-27,29
2013-01-28,27
2013-01-29,27
2013-01-30,32
2013-01-31,28
2013-02-01,27
2013-02-02,26
2013-02-03,27
2013-02-04,25
2013-02-05,25
2013-02-06,26
2013-02-07,27
2013-02-08,29
2013-02-09,28
2013-02-10,28
2013-02-11,29
2013-02-12,30
2013-02-13,34
2013-02-14,28
2013-02-15,27
2013-02-16,26
2013-02-17,26
2013-02-18,24
2013-02-19,26
