date,FOXA
2015-12-26,33
2015-12-27,41
2015-12-28,32
2015-12-29,53
2015-12-30,45
2015-12-31,50
2016-01-01,36
2016-01-02,40
2016-01-03,39
2016-01-04,48
2016-01-05,28
2016-01-06,38
2016-01-07,51
2016-01-08,54
2016-01-09,38
2016-01-10,58
2016-01-11,61
2016-01-12,73
2016-01-13,48
2016-01-14,44
2016-01-15,57
2016-01-16,25
2016-01-17,70
2016-01-18,51
2016-01-19,62
2016-01-20,66
2016-01-21,44
2016-01-22,42
2016-01-23,25
2016-01-24,21
2016-01-25,50
2016-01-26,51
2016-01-27,72
2016-01-28,29
2016-01-29,62
2016-01-30,34
2016-01-31,36
2016-02-01,62
2016-02-02,72
2016-02-03,56
2016-02-04,53
2016-02-05,80
2016-02-06,43
2016-02-07,25
2016-02-08,72
2016-02-09,72
2016-02-10,64
2016-02-11,68
2016-02-12,66
2016-02-13,41
2016-02-14,48
2016-02-15,57
2016-02-16,53
2016-02-17,42
2016-02-18,73
2016-02-19,49
2016-02-20,28
2016-02-21,52
2016-02-22,45
2016-02-23,59
2016-02-24,49
2016-02-25,48
2016-02-26,61
2016-02-27,42
2016-02-28,55
2016-02-29,57
2016-03-01,84
2016-03-02,62
2016-03-03,73
2016-03-04,35
2016-03-05,28
2016-03-06,29
2016-03-07,62
2016-03-08,45
2016-03-09,65
2016-03-10,17
2016-03-11,47
2016-03-12,30
2016-03-13,36
2016-03-14,44
2016-03-15,41
2016-03-16,41
2016-03-17,73
2016-03-18,36
2016-03-19,20
2016-03-20,36
2016-03-21,35
2016-03-22,34
2016-03-23,50
2016-03-24,37
2016-03-25,16
2016-03-26,25
2016-03-27,25
2016-03-28,51
2016-03-29,48
2016-03-30,63
2016-03-31,35
2016-04-01,47
2016-04-02,60
2016-04-03,40
2016-04-04,62
2016-04-05,44
2016-04-06,41
2016-04-07,55
2016-04-08,57
2016-04-09,28
2016-04-10,40
2016-04-11,61
2016-04-12,61
2016-04-13,48
2016-04-14,42
2016-04-15,76
2016-04-16,25
2016-04-17,32
2016-04-18,45
2016-04-19,52
2016-04-20,52
2016-04-21,53
2016-04-22,44
2016-04-23,32
2016-04-24,24
2016-04-25,65
2016-04-26,61
2016-04-27,31
2016-04-28,31
2016-04-29,44
2016-04-30,25
2016-05-01,43
2016-05-02,42
2016-05-03,45
2016-05-04,72
2016-05-05,68
2016-05-06,55
2016-05-07,19
2016-05-08,41
2016-05-09,83
2016-05-10,34
2016-05-11,62
2016-05-12,83
2016-05-13,65
2016-05-14,24
2016-05-15,40
2016-05-16,41
2016-05-17,64
2016-05-18,45
2016-05-19,45
2016-05-20,76
2016-05-21,12
2016-05-22,53
2016-05-23,62
2016-05-24,58
2016-05-25,41
2016-05-26,97
2016-05-27,40
2016-05-28,21
2016-05-29,37
2016-05-30,43
2016-05-31,45
2016-06-01,69
2016-06-02,60
2016-06-03,40
2016-06-04,37
2016-06-05,16
2016-06-06,79
2016-06-07,96
2016-06-08,56
2016-06-09,39
2016-06-10,51
2016-06-11,61
2016-06-12,45
2016-06-13,48
2016-06-14,51
2016-06-15,73
2016-06-16,63
2016-06-17,43
2016-06-18,25
2016-06-19,41
2016-06-20,69
2016-06-21,35
2016-06-22,25
2016-06-23,46
2016-06-24,44
2016-06-25,45
2016-06-26,41
2016-06-27,34
2016-06-28,95
2016-06-29,67
2016-06-30,60
2016-07-01,88
2016-07-02,21
2016-07-03,38
2016-07-04,44
2016-07-05,65
2016-07-06,44
2016-07-07,44
2016-07-08,64
2016-07-09,42
2016-07-10,29
2016-07-11,49
2016-07-12,59
2016-07-13,28
2016-07-14,47
2016-07-15,47
2016-07-16,42
2016-07-17,30
2016-07-18,67
2016-07-19,46
2016-07-20,68
2016-07-21,83
2016-07-22,55
2016-07-23,21
2016-07-24,29
2016-07-25,32
2016-07-26,74
2016-07-27,68
2016-07-28,40
2016-07-29,26
2016-07-30,63
2016-07-31,25
2016-08-01,60
2016-08-02,69
2016-08-03,92
2016-08-04,79
2016-08-05,52
2016-08-06,42
2016-08-07,29
2016-08-08,53
2016-08-09,25
2016-08-10,39
2016-08-11,61
2016-08-12,48
2016-08-13,17
2016-08-14,19
2016-08-15,37
2016-08-16,56
2016-08-17,71
2016-08-18,61
2016-08-19,48
2016-08-20,37
2016-08-21,33
2016-08-22,60
2016-08-23,46
2016-08-24,81
2016-08-25,50
2016-08-26,51
2016-08-27,33
2016-08-28,37
2016-08-29,78
2016-08-30,62
2016-08-31,38
2016-09-01,100
2016-09-02,57
2016-09-03,43
2016-09-04,32
2016-09-05,39
2016-09-06,65
2016-09-07,65
2016-09-08,76
2016-09-09,77
2016-09-10,56
2016-09-11,59
