date,FOXA,isPartial
2017-01-19,31,False
2017-01-20,18,False
2017-01-21,27,False
2017-01-22,46,False
2017-01-23,27,False
2017-01-24,27,False
2017-01-25,48,False
2017-01-26,37,False
2017-01-27,36,False
2017-01-28,32,False
2017-01-29,19,False
2017-01-30,34,False
2017-01-31,21,False
2017-02-01,27,False
2017-02-02,38,False
2017-02-03,36,False
2017-02-04,12,False
2017-02-05,8,False
2017-02-06,47,False
2017-02-07,67,False
2017-02-08,30,False
2017-02-09,44,False
2017-02-10,49,False
2017-02-11,8,False
2017-02-12,15,False
2017-02-13,46,False
2017-02-14,51,False
2017-02-15,28,False
2017-02-16,17,False
2017-02-17,40,False
2017-02-18,23,False
2017-02-19,27,False
2017-02-20,17,False
2017-02-21,23,False
2017-02-22,37,False
2017-02-23,24,False
2017-02-24,35,False
2017-02-25,16,False
2017-02-26,15,False
2017-02-27,39,False
2017-02-28,33,False
2017-03-01,49,False
2017-03-02,26,False
2017-03-03,45,False
2017-03-04,19,False
2017-03-05,37,False
2017-03-06,26,False
2017-03-07,16,False
2017-03-08,23,False
2017-03-09,16,False
2017-03-10,21,False
2017-03-11,23,False
2017-03-12,33,False
2017-03-13,31,False
2017-03-14,34,False
2017-03-15,20,False
2017-03-16,24,False
2017-03-17,35,False
2017-03-18,15,False
2017-03-19,19,False
2017-03-20,7,False
2017-03-21,100,False
2017-03-22,64,False
2017-03-23,41,False
2017-03-24,42,False
2017-03-25,16,False
2017-03-26,23,False
2017-03-27,40,False
2017-03-28,47,False
2017-03-29,43,False
2017-03-30,38,False
2017-03-31,46,False
2017-04-01,23,False
2017-04-02,16,False
2017-04-03,20,False
2017-04-04,33,False
2017-04-05,34,False
2017-04-06,41,False
2017-04-07,31,False
2017-04-08,28,False
2017-04-09,16,False
2017-04-10,37,False
2017-04-11,14,False
2017-04-12,17,False
2017-04-13,18,False
2017-04-14,12,False
2017-04-15,20,False
2017-04-16,32,False
2017-04-17,21,False
2017-04-18,37,False
2017-04-19,33,False
2017-04-20,20,False
2017-04-21,25,False
2017-04-22,19,False
2017-04-23,46,False
2017-04-24,30,False
2017-04-25,46,False
2017-04-26,40,False
2017-04-27,34,False
2017-04-28,56,False
2017-04-29,12,False
2017-04-30,0,False
2017-05-01,47,False
2017-05-02,20,False
2017-05-03,50,False
2017-05-04,41,False
2017-05-05,42,False
2017-05-06,16,False
2017-05-07,27,False
2017-05-08,30,False
2017-05-09,40,False
2017-05-10,44,False
2017-05-11,62,False
2017-05-12,25,False
2017-05-13,20,False
2017-05-14,12,False
2017-05-15,28,False
2017-05-16,40,False
2017-05-17,21,False
2017-05-18,43,False
2017-05-19,23,False
2017-05-20,17,False
2017-05-21,17,False
2017-05-22,36,False
2017-05-23,35,False
2017-05-24,33,False
2017-05-25,33,False
2017-05-26,12,False
2017-05-27,26,False
2017-05-28,39,False
2017-05-29,34,False
2017-05-30,39,False
2017-05-31,25,False
2017-06-01,26,False
2017-06-02,34,False
2017-06-03,17,False
2017-06-04,12,False
2017-06-05,39,False
2017-06-06,35,False
2017-06-07,42,False
2017-06-08,46,False
2017-06-09,33,False
2017-06-10,30,False
2017-06-11,21,False
2017-06-12,31,False
2017-06-13,24,False
2017-06-14,32,False
2017-06-15,44,False
2017-06-16,26,False
2017-06-17,22,False
2017-06-18,42,False
2017-06-19,18,False
2017-06-20,34,False
2017-06-21,27,False
2017-06-22,10,False
