date,GILD
2011-05-11,61
2011-05-12,67
2011-05-13,56
2011-05-14,59
2011-05-15,63
2011-05-16,66
2011-05-17,70
2011-05-18,80
2011-05-19,67
2011-05-20,48
2011-05-21,56
2011-05-22,46
2011-05-23,50
2011-05-24,71
2011-05-25,56
2011-05-26,43
2011-05-27,47
2011-05-28,55
2011-05-29,62
2011-05-30,70
2011-05-31,73
2011-06-01,64
2011-06-02,54
2011-06-03,58
2011-06-04,38
2011-06-05,52
2011-06-06,57
2011-06-07,52
2011-06-08,45
2011-06-09,59
2011-06-10,52
2011-06-11,48
2011-06-12,55
2011-06-13,66
2011-06-14,54
2011-06-15,55
2011-06-16,66
2011-06-17,56
2011-06-18,53
2011-06-19,60
2011-06-20,56
2011-06-21,64
2011-06-22,90
2011-06-23,61
2011-06-24,90
2011-06-25,71
2011-06-26,69
2011-06-27,78
2011-06-28,81
2011-06-29,93
2011-06-30,52
2011-07-01,62
2011-07-02,54
2011-07-03,67
2011-07-04,35
2011-07-05,56
2011-07-06,64
2011-07-07,59
2011-07-08,42
2011-07-09,62
2011-07-10,96
2011-07-11,68
2011-07-12,66
2011-07-13,58
2011-07-14,57
2011-07-15,56
2011-07-16,59
2011-07-17,71
2011-07-18,39
2011-07-19,69
2011-07-20,73
2011-07-21,69
2011-07-22,70
2011-07-23,59
2011-07-24,49
2011-07-25,59
2011-07-26,53
2011-07-27,81
2011-07-28,57
2011-07-29,57
2011-07-30,37
2011-07-31,74
2011-08-01,48
2011-08-02,86
2011-08-03,78
2011-08-04,54
2011-08-05,50
2011-08-06,57
2011-08-07,46
2011-08-08,88
2011-08-09,77
2011-08-10,75
2011-08-11,100
2011-08-12,65
2011-08-13,68
2011-08-14,64
2011-08-15,44
2011-08-16,55
2011-08-17,80
2011-08-18,59
2011-08-19,86
2011-08-20,79
2011-08-21,58
2011-08-22,43
2011-08-23,61
2011-08-24,63
2011-08-25,67
2011-08-26,43
2011-08-27,61
2011-08-28,86
2011-08-29,71
2011-08-30,47
2011-08-31,59
2011-09-01,70
2011-09-02,73
2011-09-03,58
2011-09-04,74
2011-09-05,37
2011-09-06,59
2011-09-07,75
2011-09-08,63
2011-09-09,56
2011-09-10,52
2011-09-11,46
2011-09-12,48
2011-09-13,52
2011-09-14,56
2011-09-15,70
2011-09-16,62
2011-09-17,45
2011-09-18,57
2011-09-19,61
2011-09-20,50
2011-09-21,52
2011-09-22,57
2011-09-23,60
2011-09-24,72
2011-09-25,51
2011-09-26,95
2011-09-27,72
2011-09-28,49
2011-09-29,55
2011-09-30,58
2011-10-01,26
2011-10-02,42
2011-10-03,71
2011-10-04,71
2011-10-05,61
2011-10-06,58
2011-10-07,50
2011-10-08,59
2011-10-09,60
2011-10-10,74
2011-10-11,47
2011-10-12,76
2011-10-13,61
2011-10-14,56
2011-10-15,50
2011-10-16,69
2011-10-17,53
2011-10-18,48
2011-10-19,59
2011-10-20,69
2011-10-21,70
2011-10-22,48
2011-10-23,58
2011-10-24,54
2011-10-25,51
2011-10-26,53
2011-10-27,68
2011-10-28,73
2011-10-29,61
2011-10-30,58
2011-10-31,60
2011-11-01,47
2011-11-02,48
2011-11-03,55
2011-11-04,47
2011-11-05,57
2011-11-06,57
2011-11-07,61
2011-11-08,43
2011-11-09,76
2011-11-10,35
2011-11-11,49
2011-11-12,58
2011-11-13,61
2011-11-14,57
2011-11-15,63
2011-11-16,52
2011-11-17,81
2011-11-18,56
2011-11-19,63
2011-11-20,49
2011-11-21,58
2011-11-22,62
2011-11-23,90
2011-11-24,59
2011-11-25,56
2011-11-26,61
2011-11-27,85
2011-11-28,59
2011-11-29,56
2011-11-30,61
2011-12-01,65
2011-12-02,51
2011-12-03,58
2011-12-04,55
2011-12-05,66
2011-12-06,48
2011-12-07,53
2011-12-08,84
2011-12-09,52
2011-12-10,63
2011-12-11,53
2011-12-12,61
2011-12-13,54
2011-12-14,47
2011-12-15,60
2011-12-16,49
2011-12-17,59
2011-12-18,47
2011-12-19,57
2011-12-20,53
2011-12-21,76
2011-12-22,60
2011-12-23,62
2011-12-24,65
2011-12-25,31
2011-12-26,68
2011-12-27,62
2011-12-28,44
2011-12-29,67
2011-12-30,81
2011-12-31,75
2012-01-01,37
2012-01-02,50
2012-01-03,51
2012-01-04,61
2012-01-05,51
2012-01-06,53
2012-01-07,89
2012-01-08,53
2012-01-09,65
2012-01-10,60
2012-01-11,44
2012-01-12,60
2012-01-13,67
2012-01-14,60
2012-01-15,63
2012-01-16,63
2012-01-17,52
2012-01-18,58
2012-01-19,47
2012-01-20,72
2012-01-21,44
2012-01-22,51
2012-01-23,58
2012-01-24,50
2012-01-25,59
2012-01-26,85
