date,value
2017-09-17,39.0
2017-09-18,52.0
2017-09-19,44.0
2017-09-20,40.0
2017-09-21,57.0
2017-09-22,41.0
2017-09-23,36.0
2017-09-24,31.0
2017-09-25,43.0
2017-09-26,54.0
2017-09-27,54.0
2017-09-28,79.0
2017-09-29,76.0
2017-09-30,43.0
2017-10-01,32.0
2017-10-02,53.0
2017-10-03,49.0
2017-10-04,64.0
2017-10-05,50.0
2017-10-06,57.0
2017-10-07,59.0
2017-10-08,30.0
2017-10-09,51.0
2017-10-10,43.0
2017-10-11,44.0
2017-10-12,46.0
2017-10-13,41.0
2017-10-14,48.0
2017-10-15,38.0
2017-10-16,53.0
2017-10-17,64.0
2017-10-18,54.0
2017-10-19,95.0
2017-10-20,72.0
2017-10-21,39.0
2017-10-22,44.0
2017-10-23,38.0
2017-10-24,55.0
2017-10-25,61.0
2017-10-26,77.0
2017-10-27,77.0
2017-10-28,40.0
2017-10-29,37.0
2017-10-30,43.0
2017-10-31,64.0
2017-11-01,53.0
2017-11-02,51.0
2017-11-03,38.0
2017-11-04,40.0
2017-11-05,41.0
2017-11-06,63.0
2017-11-07,51.0
2017-11-08,52.0
2017-11-09,41.0
2017-11-10,65.0
2017-11-11,38.0
2017-11-12,32.0
2017-11-13,40.0
2017-11-14,60.0
2017-11-15,46.0
2017-11-16,38.0
2017-11-17,55.0
2017-11-18,47.0
2017-11-19,46.0
2017-11-20,36.0
2017-11-21,55.0
2017-11-22,44.0
2017-11-23,32.0
2017-11-24,39.0
2017-11-25,48.0
2017-11-26,33.0
2017-11-27,45.0
2017-11-28,54.0
2017-11-29,45.0
2017-11-30,63.0
2017-12-01,47.0
2017-12-02,52.0
2017-12-03,44.0
2017-12-04,49.0
2017-12-05,48.0
2017-12-06,57.0
2017-12-07,50.0
2017-12-08,45.0
2017-12-09,35.0
2017-12-10,36.0
2017-12-11,50.0
2017-12-12,61.0
2017-12-13,58.0
2017-12-14,50.0
2017-12-15,52.0
2017-12-16,36.0
2017-12-17,32.0
2017-12-18,52.0
2017-12-19,70.0
2017-12-20,54.0
2017-12-21,38.0
2017-12-22,43.0
2017-12-23,36.0
2017-12-24,36.0
2017-12-25,45.0
2017-12-26,56.0
2017-12-27,45.0
2017-12-28,53.0
2017-12-29,43.0
2017-12-30,37.0
2017-12-31,44.0
2018-01-01,39.0
2018-01-02,62.0
2018-01-03,49.0
2018-01-04,50.0
2018-01-05,53.0
2018-01-06,37.0
2018-01-07,42.0
2018-01-08,50.0
2018-01-09,58.0
2018-01-10,60.0
2018-01-11,57.0
2018-01-12,64.0
2018-01-13,40.0
2018-01-14,39.0
2018-01-15,37.0
2018-01-16,58.0
2018-01-17,64.0
2018-01-18,56.0
2018-01-19,53.0
2018-01-20,28.0
2018-01-21,46.0
2018-01-22,54.0
2018-01-23,63.0
2018-01-24,35.0
2018-01-25,55.0
2018-01-26,64.0
2018-01-27,57.0
2018-01-28,31.0
2018-01-29,70.0
2018-01-30,59.0
2018-01-31,62.0
2018-02-01,51.0
2018-02-02,71.0
2018-02-03,37.0
2018-02-04,34.0
2018-02-05,51.0
2018-02-06,100.0
2018-02-07,92.0
2018-02-08,67.0
2018-02-09,47.0
2018-02-10,35.0
2018-02-11,39.0
2018-02-12,44.0
2018-02-13,49.0
2018-02-14,51.0
2018-02-15,50.0
2018-02-16,57.0
2018-02-17,58.0
2018-02-18,35.0
2018-02-19,41.0
2018-02-20,59.0
2018-02-21,44.0
2018-02-22,53.0
2018-02-23,49.0
2018-02-24,47.0
2018-02-25,45.0
2018-02-26,42.0
2018-02-27,40.0
2018-02-28,38.0
2018-03-01,44.0
2018-03-02,41.0
2018-03-03,42.0
2018-03-04,34.0
2018-03-05,45.0
2018-03-06,45.0
2018-03-07,40.0
2018-03-08,38.0
2018-03-09,44.0
2018-03-10,39.0
2018-03-11,37.0
2018-03-12,25.0
2018-03-13,49.0
2018-03-14,39.0
2018-03-15,44.0
2018-03-16,40.0
2018-03-17,33.0
2018-03-18,44.0
2018-03-19,36.0
2018-03-20,45.0
2018-03-21,53.0
2018-03-22,44.0
2018-03-23,40.0
2018-03-24,33.0
2018-03-25,39.0
2018-03-26,45.0
2018-03-27,59.0
2018-03-28,41.0
2018-03-29,42.0
2018-03-30,41.0
2018-03-31,36.0
2018-04-01,29.0
2018-04-02,40.0
2018-04-03,41.0
2018-04-04,50.0
2018-04-05,49.0
2018-04-06,41.0
2018-04-07,40.0
2018-04-08,24.0
2018-04-09,41.0
2018-04-10,32.0
2018-04-11,41.0
2018-04-12,53.0
2018-04-13,36.0
2018-04-14,38.0
2018-04-15,38.0
2018-04-16,45.0
2018-04-17,45.0
2018-04-18,47.0
2018-04-19,35.0
2018-04-20,38.0
2018-04-21,31.0
2018-04-22,35.0
2018-04-23,36.0
2018-04-24,35.0
2018-04-25,43.0
2018-04-26,37.0
2018-04-27,50.0
2018-04-28,28.0
2018-04-29,33.0
2018-04-30,47.0
2018-05-01,74.0
2018-05-02,69.0
2018-05-03,71.0
2018-05-04,44.0
2018-05-05,38.0
2018-05-06,28.0
2018-05-07,44.0
2018-05-08,52.0
2018-05-09,40.0
2018-05-10,43.0
2018-05-11,37.0
2018-05-12,45.0
2018-05-13,26.0
2018-05-14,42.0
2018-05-15,43.0
2018-05-16,50.0
2018-05-17,55.0
2018-05-18,55.0
2018-05-19,42.0
2018-05-20,35.0
2018-05-21,52.0
2018-05-22,47.0
2018-05-23,35.0
2018-05-24,40.0
2018-05-25,42.0
2018-05-26,30.0
2018-05-27,32.0
2018-05-28,31.0
2018-05-29,46.0
2018-05-30,43.0
2018-05-31,65.0
2018-06-01,54.0
2018-06-02,40.0
2018-06-02,42.05512489233419
2018-06-03,43.25581395348837
2018-06-04,54.64829170255527
