date,GOOG
2014-07-24,96
2014-07-25,92
2014-07-26,92
2014-07-27,91
2014-07-28,94
2014-07-29,90
2014-07-30,90
2014-07-31,98
2014-08-01,92
2014-08-02,92
2014-08-03,91
2014-08-04,100
2014-08-05,97
2014-08-06,94
2014-08-07,90
2014-08-08,92
2014-08-09,91
2014-08-10,89
2014-08-11,98
2014-08-12,93
2014-08-13,95
2014-08-14,96
2014-08-15,97
2014-08-16,89
2014-08-17,88
2014-08-18,97
2014-08-19,97
2014-08-20,83
2014-08-21,79
2014-08-22,82
2014-08-23,78
2014-08-24,78
2014-08-25,85
2014-08-26,83
2014-08-27,83
2014-08-28,81
2014-08-29,77
2014-08-30,73
2014-08-31,78
2014-09-01,77
2014-09-02,85
2014-09-03,87
2014-09-04,86
2014-09-05,85
2014-09-06,78
2014-09-07,79
2014-09-08,84
2014-09-09,88
2014-09-10,83
2014-09-11,83
2014-09-12,84
2014-09-13,75
2014-09-14,76
2014-09-15,83
2014-09-16,85
2014-09-17,82
2014-09-18,83
2014-09-19,81
2014-09-20,78
2014-09-21,73
2014-09-22,84
2014-09-23,86
2014-09-24,84
2014-09-25,81
2014-09-26,81
2014-09-27,76
2014-09-28,74
2014-09-29,86
2014-09-30,80
2014-10-01,79
2014-10-02,81
2014-10-03,78
2014-10-04,72
2014-10-05,71
2014-10-06,82
2014-10-07,83
2014-10-08,83
2014-10-09,82
2014-10-10,81
2014-10-11,73
2014-10-12,74
2014-10-13,77
2014-10-14,85
2014-10-15,84
2014-10-16,89
2014-10-17,87
2014-10-18,77
2014-10-19,74
2014-10-20,86
2014-10-21,86
2014-10-22,80
2014-10-23,81
2014-10-24,83
2014-10-25,70
2014-10-26,72
2014-10-27,80
2014-10-28,84
2014-10-29,78
2014-10-30,77
2014-10-31,77
2014-11-01,73
2014-11-02,72
2014-11-03,81
2014-11-04,81
2014-11-05,82
2014-11-06,82
2014-11-07,82
2014-11-08,74
2014-11-09,71
2014-11-10,82
2014-11-11,77
2014-11-12,81
2014-11-13,83
2014-11-14,85
2014-11-15,72
2014-11-16,78
2014-11-17,82
2014-11-18,79
2014-11-19,81
2014-11-20,83
2014-11-21,80
2014-11-22,74
2014-11-23,74
2014-11-24,84
2014-11-25,82
2014-11-26,77
2014-11-27,76
2014-11-28,77
2014-11-29,72
2014-11-30,73
2014-12-01,81
2014-12-02,82
2014-12-03,77
2014-12-04,81
2014-12-05,81
2014-12-06,74
2014-12-07,72
2014-12-08,82
2014-12-09,81
2014-12-10,83
2014-12-11,84
2014-12-12,79
2014-12-13,76
2014-12-14,72
2014-12-15,84
2014-12-16,84
2014-12-17,79
2014-12-18,77
2014-12-19,77
2014-12-20,74
2014-12-21,73
2014-12-22,72
2014-12-23,75
2014-12-24,77
2014-12-25,77
2014-12-26,76
2014-12-27,73
2014-12-28,71
2014-12-29,71
2014-12-30,74
2014-12-31,75
2015-01-01,68
2015-01-02,72
2015-01-03,70
2015-01-04,71
2015-01-05,77
2015-01-06,78
2015-01-07,77
2015-01-08,78
2015-01-09,81
2015-01-10,72
2015-01-11,74
2015-01-12,78
2015-01-13,80
2015-01-14,80
2015-01-15,80
2015-01-16,77
2015-01-17,74
2015-01-18,72
2015-01-19,80
2015-01-20,81
2015-01-21,80
2015-01-22,80
2015-01-23,78
2015-01-24,71
2015-01-25,74
2015-01-26,79
2015-01-27,81
2015-01-28,77
2015-01-29,85
2015-01-30,83
2015-01-31,68
2015-02-01,69
2015-02-02,77
2015-02-03,77
2015-02-04,78
2015-02-05,75
2015-02-06,76
2015-02-07,72
2015-02-08,68
2015-02-09,80
2015-02-10,76
2015-02-11,78
2015-02-12,78
2015-02-13,77
2015-02-14,73
2015-02-15,73
2015-02-16,76
2015-02-17,72
2015-02-18,80
2015-02-19,73
2015-02-20,82
2015-02-21,71
2015-02-22,67
2015-02-23,78
2015-02-24,77
2015-02-25,78
2015-02-26,79
2015-02-27,79
2015-02-28,69
2015-03-01,71
2015-03-02,78
2015-03-03,80
2015-03-04,77
2015-03-05,78
2015-03-06,76
2015-03-07,71
2015-03-08,71
2015-03-09,79
2015-03-10,81
2015-03-11,80
2015-03-12,80
2015-03-13,77
2015-03-14,71
2015-03-15,69
2015-03-16,79
2015-03-17,79
2015-03-18,79
2015-03-19,77
2015-03-20,74
2015-03-21,66
2015-03-22,70
2015-03-23,75
2015-03-24,80
2015-03-25,68
2015-03-26,73
2015-03-27,71
2015-03-28,72
2015-03-29,68
2015-03-30,75
2015-03-31,75
2015-04-01,76
2015-04-02,76
2015-04-03,69
2015-04-04,67
2015-04-05,67
2015-04-06,74
2015-04-07,72
2015-04-08,74
2015-04-09,70
2015-04-10,72
