date,value
2017-09-17,57.0
2017-09-18,74.0
2017-09-19,76.0
2017-09-20,71.0
2017-09-21,78.0
2017-09-22,74.0
2017-09-23,58.0
2017-09-24,51.0
2017-09-25,75.0
2017-09-26,75.0
2017-09-27,80.0
2017-09-28,70.0
2017-09-29,75.0
2017-09-30,51.0
2017-10-01,52.0
2017-10-02,77.0
2017-10-03,77.0
2017-10-04,77.0
2017-10-05,79.0
2017-10-06,74.0
2017-10-07,52.0
2017-10-08,54.0
2017-10-09,74.0
2017-10-10,71.0
2017-10-11,73.0
2017-10-12,72.0
2017-10-13,74.0
2017-10-14,55.0
2017-10-15,64.0
2017-10-16,75.0
2017-10-17,73.0
2017-10-18,74.0
2017-10-19,69.0
2017-10-20,71.0
2017-10-21,53.0
2017-10-22,59.0
2017-10-23,78.0
2017-10-24,78.0
2017-10-25,73.0
2017-10-26,93.0
2017-10-27,98.0
2017-10-28,59.0
2017-10-29,52.0
2017-10-30,80.0
2017-10-31,79.0
2017-11-01,80.0
2017-11-02,78.0
2017-11-03,79.0
2017-11-04,57.0
2017-11-05,56.0
2017-11-06,76.0
2017-11-07,81.0
2017-11-08,79.0
2017-11-09,78.0
2017-11-10,76.0
2017-11-11,62.0
2017-11-12,65.0
2017-11-13,81.0
2017-11-14,77.0
2017-11-15,81.0
2017-11-16,73.0
2017-11-17,72.0
2017-11-18,62.0
2017-11-19,57.0
2017-11-20,81.0
2017-11-21,72.0
2017-11-22,74.0
2017-11-23,70.0
2017-11-24,65.0
2017-11-25,60.0
2017-11-26,60.0
2017-11-27,78.0
2017-11-28,70.0
2017-11-29,79.0
2017-11-30,81.0
2017-12-01,73.0
2017-12-02,61.0
2017-12-03,56.0
2017-12-04,79.0
2017-12-05,77.0
2017-12-06,81.0
2017-12-07,78.0
2017-12-08,72.0
2017-12-09,60.0
2017-12-10,59.0
2017-12-11,76.0
2017-12-12,72.0
2017-12-13,73.0
2017-12-14,75.0
2017-12-15,66.0
2017-12-16,60.0
2017-12-17,57.0
2017-12-18,78.0
2017-12-19,73.0
2017-12-20,73.0
2017-12-21,66.0
2017-12-22,71.0
2017-12-23,54.0
2017-12-24,54.0
2017-12-25,51.0
