date,GOOGL
2012-01-26,80
2012-01-27,79
2012-01-28,81
2012-01-29,80
2012-01-30,76
2012-01-31,80
2012-02-01,77
2012-02-02,80
2012-02-03,76
2012-02-04,86
2012-02-05,83
2012-02-06,77
2012-02-07,76
2012-02-08,81
2012-02-09,77
2012-02-10,80
2012-02-11,80
2012-02-12,81
2012-02-13,77
2012-02-14,80
2012-02-15,86
2012-02-16,80
2012-02-17,80
2012-02-18,88
2012-02-19,87
2012-02-20,79
2012-02-21,77
2012-02-22,80
2012-02-23,82
2012-02-24,81
2012-02-25,83
2012-02-26,78
2012-02-27,80
2012-02-28,79
2012-02-29,82
2012-03-01,85
2012-03-02,80
2012-03-03,81
2012-03-04,83
2012-03-05,84
2012-03-06,77
2012-03-07,78
2012-03-08,86
2012-03-09,82
2012-03-10,84
2012-03-11,87
2012-03-12,80
2012-03-13,75
2012-03-14,82
2012-03-15,82
2012-03-16,84
2012-03-17,86
2012-03-18,87
2012-03-19,82
2012-03-20,83
2012-03-21,79
2012-03-22,87
2012-03-23,83
2012-03-24,86
2012-03-25,77
2012-03-26,86
2012-03-27,81
2012-03-28,80
2012-03-29,80
2012-03-30,80
2012-03-31,87
2012-04-01,91
2012-04-02,83
2012-04-03,76
2012-04-04,81
2012-04-05,84
2012-04-06,79
2012-04-07,87
2012-04-08,91
2012-04-09,82
2012-04-10,78
2012-04-11,81
2012-04-12,80
2012-04-13,79
2012-04-14,86
2012-04-15,84
2012-04-16,78
2012-04-17,77
2012-04-18,79
2012-04-19,81
2012-04-20,85
2012-04-21,81
2012-04-22,82
2012-04-23,78
2012-04-24,89
2012-04-25,83
2012-04-26,81
2012-04-27,83
2012-04-28,88
2012-04-29,89
2012-04-30,82
2012-05-01,85
2012-05-02,82
2012-05-03,81
2012-05-04,81
2012-05-05,85
2012-05-06,91
2012-05-07,82
2012-05-08,82
2012-05-09,88
2012-05-10,83
2012-05-11,79
2012-05-12,89
2012-05-13,79
2012-05-14,80
2012-05-15,85
2012-05-16,83
2012-05-17,88
2012-05-18,89
2012-05-19,97
2012-05-20,89
2012-05-21,86
2012-05-22,94
2012-05-23,100
2012-05-24,85
2012-05-25,88
2012-05-26,85
2012-05-27,84
2012-05-28,83
2012-05-29,82
2012-05-30,85
2012-05-31,84
2012-06-01,80
2012-06-02,89
2012-06-03,91
2012-06-04,86
2012-06-05,83
2012-06-06,84
2012-06-07,81
2012-06-08,82
2012-06-09,86
2012-06-10,79
2012-06-11,80
2012-06-12,80
2012-06-13,85
2012-06-14,83
2012-06-15,82
2012-06-16,86
2012-06-17,87
2012-06-18,82
2012-06-19,80
2012-06-20,84
2012-06-21,86
2012-06-22,80
2012-06-23,92
2012-06-24,88
2012-06-25,79
2012-06-26,82
2012-06-27,81
2012-06-28,81
2012-06-29,79
2012-06-30,83
2012-07-01,88
2012-07-02,77
2012-07-03,80
2012-07-04,78
2012-07-05,79
2012-07-06,76
2012-07-07,86
2012-07-08,85
2012-07-09,76
2012-07-10,79
2012-07-11,75
2012-07-12,76
2012-07-13,77
2012-07-14,85
2012-07-15,86
2012-07-16,81
2012-07-17,78
2012-07-18,81
2012-07-19,73
2012-07-20,77
2012-07-21,79
2012-07-22,77
2012-07-23,73
2012-07-24,74
2012-07-25,73
2012-07-26,75
2012-07-27,82
2012-07-28,87
2012-07-29,85
2012-07-30,82
2012-07-31,76
2012-08-01,76
2012-08-02,78
2012-08-03,79
2012-08-04,82
2012-08-05,78
2012-08-06,77
2012-08-07,82
2012-08-08,79
2012-08-09,81
2012-08-10,83
2012-08-11,81
2012-08-12,86
2012-08-13,77
2012-08-14,70
2012-08-15,80
2012-08-16,75
2012-08-17,76
2012-08-18,81
2012-08-19,79
2012-08-20,75
2012-08-21,73
2012-08-22,76
2012-08-23,75
2012-08-24,78
2012-08-25,81
2012-08-26,82
2012-08-27,79
2012-08-28,75
2012-08-29,75
2012-08-30,77
2012-08-31,80
2012-09-01,79
2012-09-02,79
2012-09-03,75
2012-09-04,76
2012-09-05,74
2012-09-06,79
2012-09-07,82
2012-09-08,87
2012-09-09,82
2012-09-10,79
2012-09-11,77
2012-09-12,78
2012-09-13,80
2012-09-14,81
2012-09-15,82
2012-09-16,82
2012-09-17,77
2012-09-18,78
2012-09-19,78
2012-09-20,83
2012-09-21,77
2012-09-22,81
2012-09-23,81
2012-09-24,78
2012-09-25,82
2012-09-26,80
2012-09-27,89
2012-09-28,86
2012-09-29,83
2012-09-30,87
2012-10-01,83
2012-10-02,78
2012-10-03,87
2012-10-04,84
2012-10-05,87
2012-10-06,88
2012-10-07,90
2012-10-08,80
2012-10-09,85
2012-10-10,81
2012-10-11,86
2012-10-12,82
